Stride_Max,Stride_Min,Period
246.383667,-75.164795,        1.4933205843
248.840332,-57.144165,        1.4796274900
180.648804,-58.868408,        1.4009890556
241.119385,-19.195557,        1.4261344671
195.083618,-52.825928,        1.3402194977
256.561279,-28.778076,        1.3766775131
228.881836,-72.982788,        1.3638219833
288.360596,-20.324707,        1.3969320059
245.651245,-46.081543,        1.4186319113
246.612549,-59.188843,        1.3850295544
197.738647,-40.145874,        1.3807604313
182.296753,-60.470581,        1.3975610733
222.213745,-41.656494,        1.3248964548
197.982788,-30.029297,        1.3525900841
217.681885,-46.691895,        1.4348044395
328.964233,-33.996582,        0.7157005072
66.482544,-53.298950,        0.7434180975
213.577271,-102.844238,        1.3852149248
234.909058,-20.004272,        1.4749294519
251.525879,-62.789917,        1.4418694973
317.443848,-85.266113,        1.4178509712
202.194214,-52.490234,        1.3874585629
221.817017,-75.729370,        1.3744759560
229.949951,-53.634644,        1.4136270285
234.527588,-23.223877,        1.3802145720
