Max_accel_y,Min_accel_y,Max_gyro_y,Min_gyro_y,Period
4.350586,-5.598450,210.113525,-122.863770,        0.9360375404
4.619202,-4.693726,244.476318,-122.695923,        0.9271250963
4.532593,-5.537659,199.920654,-114.471436,        0.9644929171
4.389954,-5.908997,230.895996,-132.171631,        0.9639104605
4.551636,-4.020447,158.813477,-134.536743,        0.9365545511
4.487000,-4.860168,180.068970,-126.602173,        0.9760608673
5.533081,-5.998535,239.318848,-234.939575,        0.9554991722
5.396667,-4.669006,157.760620,-124.435425,        0.9241853952
4.721008,-5.788696,210.159302,-150.207520,        0.9646230936
4.805054,-5.225830,225.387573,-151.000977,        0.9817763567
4.548523,-5.330566,177.291870,-158.996582,        0.9640260935
4.608948,-5.951294,288.421631,-185.684204,        0.9648180008
4.675049,-5.921631,296.478271,-154.953003,        0.9636374712
3.897217,-4.966003,146.392822,-164.489746,        1.1328525543
