T_max,Max,T_min,Min
        0.0116784573,362.503052,        0.9072140455,-22.491455
        2.5668979883,34.790039,        2.5324780941,-45.181274
        4.5447680950,76.828003,        4.0820871592,-58.197021
        6.8168464899,83.251953,        6.3655145168,-93.215942
        8.8014130592,89.385986,        8.6493695974,-74.432373
       11.2470245361,74.539185,       10.8397520781,-70.526123
       13.5068814754,79.208374,       12.9571114779,-76.080322
       15.4689511061,73.104858,       15.4981875420,-66.665649
       17.3497641087,97.564697,       17.4606345892,-104.324341
       19.1949886084,55.419922,       18.8469614983,-96.176147
