T_max,Max,T_min,Min
        2.7984186411,246.383667,        2.9528245926,-75.164795
        4.2560285330,248.840332,        4.4211871624,-57.144165
        5.9789161682,180.648804,        5.3981850147,-58.868408
        7.1553670168,241.119385,        7.3446781635,-19.195557
        8.5311405659,195.083618,        8.2251811028,-52.825928
        9.8819966316,256.561279,       10.0988150835,-28.778076
       11.2511765957,228.881836,       10.9474976063,-72.982788
       12.6148955822,288.360596,       12.8549081087,-20.324707
       14.0298039913,245.651245,       14.2191441059,-46.081543
       15.4387096167,246.612549,       15.7647701502,-59.188843
       16.8400205374,197.738647,       16.5039330721,-40.145874
       18.0279486179,182.296753,       18.5303621292,-60.470581
       19.5945160389,222.213745,       19.8951210976,-41.656494
       20.9358316660,197.982788,       20.6150820255,-30.029297
       22.2791355848,217.681885,       22.4777545929,-46.691895
       23.7429180145,328.964233,       23.3945455551,-33.996582
       24.2300261259,66.482544,       24.3756740093,-53.298950
       25.2104125023,213.577271,       25.3563650846,-102.844238
       26.5909405947,234.909058,       26.9351074696,-20.004272
       28.0396575928,251.525879,       28.3775601387,-62.789917
       29.5355681181,317.443848,       29.1637595892,-85.266113
       30.9500191212,202.194214,       30.5786375999,-52.490234
       32.2751981020,221.817017,       32.4797550440,-75.729370
       33.6756895781,229.949951,       33.8751140833,-53.634644
       35.1010000706,234.527588,       35.4227875471,-23.223877
