Seg0_Max,Seg0_Min,Seg1_Max,Seg1_Min,Seg2_Max,Seg2_Min,Seg3_Max,Seg3_Min,Period
362.503052,-361.099243,16.220093,-22.491455,7.919312,-30.151367,73.623657,-95.489502,        2.2234069109
82.916260,-45.181274,11.978149,-25.939941,7.354736,-21.621704,48.538208,-88.973999,        2.2326501608
76.828003,-53.771973,16.433716,-30.075073,3.173828,-36.224365,78.079224,-108.276367,        2.2908478975
83.251953,-39.703369,14.877319,-23.864746,4.379272,-63.446045,89.385986,-123.001099,        2.3396015167
75.241089,-45.318604,32.516479,-26.473999,2.349854,-21.728516,74.539185,-91.964722,        2.1566555500
74.539185,-30.517578,11.871338,-10.330200,-0.305176,-47.439575,73.684692,-96.725464,        2.1213314533
79.208374,-31.936646,9.613037,-31.509399,11.077881,-26.580811,60.607910,-95.947266,        1.9341864586
73.104858,-66.665649,19.042969,-29.754639,-0.045776,-45.089722,78.063965,-70.083618,        1.9513911009
97.564697,-104.324341,7.095337,-27.145386,1.922607,-44.784546,55.419922,-115.478516,        1.9916454554
54.641724,-24.566650,7.202148,-18.325806,7.385254,-37.643433,80.596924,-89.431763,        2.0389660597
