Seg0_Max,Seg0_Min,Seg1_Max,Seg1_Min,Seg2_Max,Seg2_Min,Seg3_Max,Seg3_Min,Period
326.507568,-260.772705,17.776489,-18.875122,9.490967,-39.718628,69.717407,-105.010986,        2.0509470701
87.173462,-41.091919,11.672974,-22.720337,7.614136,-27.114868,88.714600,-122.299194,        2.4122114182
66.604614,-35.675049,10.940552,-16.525269,1.083374,-38.284302,75.820923,-104.934692,        2.2348999977
95.443726,-79.437256,20.858765,-32.211304,2.502441,-29.708862,77.529907,-107.131958,        2.1896259785
72.387695,-28.518677,17.608643,-38.574219,18.127441,-28.762817,69.519043,-89.416504,        2.2904795408
77.209473,-50.292969,15.426636,-17.807007,5.325317,-25.177002,61.004639,-63.522339,        2.2160395384
87.493896,-51.055908,7.659912,-18.753052,4.287720,-26.641846,75.302124,-123.001099,        2.3020744324
89.218140,-46.081543,8.453369,-21.667480,10.986328,-31.234741,76.278687,-109.893799,        2.1657305956
61.553955,-56.091309,5.950928,-25.360107,6.240845,-24.475098,61.859131,-58.654785,        2.1801314354
95.062256,-73.150635,8.392334,-32.730103,6.866455,-29.571533,60.989380,-111.282349,        2.2399659157
61.294556,-32.882690,11.322021,-26.199341,33.477783,-32.791138,68.466187,-105.911255,        2.2471580505
85.586548,-51.895142,13.305664,-24.719238,6.668091,-15.319824,55.068970,-68.496704,        2.4208464622
77.636719,-51.620483,16.326904,-26.397705,22.384644,-29.830933,71.807861,-60.394287,        2.4217780828
57.678223,-53.756714,9.719849,-30.380249,9.201050,-20.248413,59.906006,-102.722168,        2.4455499649
80.291748,-70.144653,14.953613,-21.179199,0.717163,-30.792236,79.132080,-109.008789,        2.4892125130
96.893311,-55.847168,12.207031,-17.288208,0.396729,-25.497437,68.481445,-88.882446,        2.2786865234
84.869385,-52.947998,11.352539,-19.439697,3.234863,-42.999268,67.184448,-131.164551,        2.4659085274
99.090576,-55.297852,10.269165,-13.092041,4.791260,-24.490356,64.926147,-85.357666,        2.3014628887
362.503052,-361.099243,16.220093,-22.491455,7.919312,-30.151367,73.623657,-95.489502,        2.2234069109
82.916260,-45.181274,11.978149,-25.939941,7.354736,-21.621704,48.538208,-88.973999,        2.2326501608
76.828003,-53.771973,16.433716,-30.075073,3.173828,-36.224365,78.079224,-108.276367,        2.2908478975
83.251953,-39.703369,14.877319,-23.864746,4.379272,-63.446045,89.385986,-123.001099,        2.3396015167
75.241089,-45.318604,32.516479,-26.473999,2.349854,-21.728516,74.539185,-91.964722,        2.1566555500
74.539185,-30.517578,11.871338,-10.330200,-0.305176,-47.439575,73.684692,-96.725464,        2.1213314533
79.208374,-31.936646,9.613037,-31.509399,11.077881,-26.580811,60.607910,-95.947266,        1.9341864586
73.104858,-66.665649,19.042969,-29.754639,-0.045776,-45.089722,78.063965,-70.083618,        1.9513911009
97.564697,-104.324341,7.095337,-27.145386,1.922607,-44.784546,55.419922,-115.478516,        1.9916454554
54.641724,-24.566650,7.202148,-18.325806,7.385254,-37.643433,80.596924,-89.431763,        2.0389660597
