S_i,S_t,S_x
1066,        2.8330535889,-231.781006
1632,        4.3515781164,-240.020752
2174,        5.7955106497,-251.083374
2721,        7.2514680624,-243.667603
3242,        8.6427130699,-250.625610
3751,        9.9958250523,-285.629272
4262,       11.3550956249,-238.647461
4785,       12.7456175089,-245.193481
5289,       14.0833206177,-227.767944
5835,       15.5333580971,-237.152100
6338,       16.8717886209,-248.153687
6873,       18.2943775654,-256.912231
7395,       19.6821475029,-258.987427
7900,       21.0240335464,-270.050049
8404,       22.3638590574,-247.726440
8907,       23.7002570629,-223.922729
9499,       25.2744485140,-251.464844
10030,       26.6831105947,-209.594727
10587,       28.1676009893,-219.207764
11086,       29.4929375648,-219.268799
11642,       30.9688676596,-246.673584
12171,       32.3761366606,-239.715576
12701,       33.7846020460,-220.245361
13222,       35.1696411371,-225.189209
13727,       36.5127950907,-166.091919
