S_t,S_x
        0.0870075226,402.053833
        2.9166216850,105.789185
        3.8371990919,129.440308
        5.3950865269,128.387451
        6.8696205616,123.138428
        8.3271006346,139.541626
        9.7638911009,142.303467
       11.1844055653,127.670288
       12.5805785656,130.233765
       13.9935445786,132.827759
       15.3742647171,130.828857
       16.7824981213,150.390625
       18.2170996666,141.891479
       19.6499000788,131.713867
       21.0447986126,116.485596
       22.4583030939,146.392822
       23.8617966175,127.258301
       25.2083320618,152.328491
       26.5956350565,138.595581
       27.9413961172,144.348145
       29.2617580891,149.810791
       30.5701825619,142.959595
       31.8779345751,152.770996
       33.2199306488,149.444580
       34.5568361282,151.763916
       35.9031860828,143.402100
       37.2343806028,151.168823
       38.5537190437,160.079956
       39.8508540392,146.911621
       41.1241226196,159.484863
       42.4233261347,154.510498
       43.7922886610,140.716553
       45.3098006248,92.681885
