P_t,P_x,T_t,T_p
        0.0400446653,-0.175232,        0.2457630634,-0.174316
        0.2666516304,-0.168640,        0.3665170670,-0.174866
        0.3716681004,-0.179077,        0.4618175030,-0.174866
        0.5733165741,-0.174866,        0.6055121422,-0.169373
        0.6319545507,-0.175964,        0.6772621870,-0.171204
        0.8040446043,-0.179077,        0.8223701715,-0.169373
        0.9315890074,-0.180725,        1.0084990263,-0.178528
        1.0111870766,-0.178528,        1.0433195829,-0.168640
        1.0666565895,-0.172302,        1.1252596378,-0.163513
        1.1919475794,-0.164612,        1.2371181250,-0.163147
        1.2769685984,-0.166626,        1.2877291441,-0.165161
        1.3083035946,-0.166443,        1.3215636015,-0.161682
        1.3986396790,-0.158752,        1.4921091795,-0.155640
        1.4972525835,-0.155640,        1.5077840090,-0.151062
        1.5131626129,-0.164795,        1.5373470783,-0.147034
        1.6647865772,-0.153625,        1.6701365709,-0.153625
        1.6804245710,-0.136597,        1.6907500029,-0.110046
        1.6960761547,-0.112061,        1.7309490442,-0.107849
        1.7707715034,-0.097412,        1.7815295458,-0.119019
        1.8135200739,-0.132568,        1.8296331167,-0.120667
        1.9148985147,-0.101807,        1.9255026579,-0.080566
        2.0423351526,-0.080200,        2.0637686253,0.013916
        2.2072850466,0.059692,        2.2177215815,0.069946
        2.2363411188,0.019409,        2.2417160273,0.005676
        2.4225490093,-0.074524,        2.5800321102,-0.109497
        2.5854060650,-0.109497,        2.7741636038,-0.106750
        2.7795386314,-0.108948,        2.8330535889,0.094299
        3.0434036255,0.528442,        3.0720040798,-3.463440
        3.1002396345,0.740479,        3.1161785126,-0.384338
        3.1320401430,0.343323,        3.1563481092,-0.467468
        3.1773905754,-0.266418,        3.2676411867,-0.243530
        3.2728066444,-0.202332,        3.4984534979,-0.160583
        3.6445001364,-0.134766,        3.6498690844,-0.134766
        3.7664616108,-0.015564,        3.7718275785,0.059509
        3.9050700665,0.196106,        3.9104441404,0.196106
        3.9158695936,0.196289,        4.1101886034,-0.316223
        4.1155354977,-0.316223,        4.3515781164,0.309998
        4.5198240280,-0.408325,        4.5408381224,-2.219788
        4.5623331070,0.921936,        4.5965740681,0.305420
        4.6127496958,0.352844,        4.7453196049,-0.227966
        4.7587560415,-0.325195,        4.7641416788,-0.445312
        4.7906615734,-0.075073,        4.8175301552,-0.170288
        4.8563835621,-0.271729,        4.8671414852,-0.226501
        5.0401740074,-0.169189,        5.0952111483,0.019592
        5.1800615788,-0.062622,        5.1854826212,-0.062622
        5.2168481350,0.001648,        5.2276171446,0.078003
        5.3954970837,-0.116089,        5.4462779760,-0.126343
        5.4489641190,-0.126343,        5.4516540766,-0.126343
        5.4570281506,-0.259460,        5.5127686262,0.093201
        5.5181400776,0.093201,        5.7955106497,0.055481
        5.9868555069,0.917175,        6.0166029930,-3.783875
        6.0376011133,-0.311279,        6.0483020544,-0.518372
        6.0644875765,0.545654,        6.0671745539,0.373352
        6.0725175142,0.373352,        6.0776585340,0.378113
        6.0827521086,0.378113,        6.2210160494,-0.266235
        6.2608560324,-0.187683,        6.3643186092,-0.059509
        6.3933645487,-0.104919,        6.4866596460,-0.043945
        6.5216131210,-0.063904,        6.5267575979,-0.069214
        6.6657365561,0.023254,        6.6710890532,-0.005127
        6.7964861393,0.107117,        6.8099795580,-0.119751
        6.8151856661,-0.119751,        7.1315100193,-0.245544
        7.1366771460,-0.245544,        7.1979950666,0.037537
        7.2033745050,0.037537,        7.2514680624,0.139526
        7.4139325619,0.520020,        7.4408324957,-2.438416
        7.4641631842,1.484802,        7.4803050756,-0.291321
        7.4911379814,0.271362,        7.5122256279,-0.325562
        7.5230290890,0.005127,        7.7020115852,-0.261108
        7.7176431417,-0.253967,        7.7576905489,-0.122131
        8.0241311789,-0.067017,        8.0292426348,-0.067017
        8.0850856304,-0.084412,        8.0901936293,-0.084412
        8.1882170439,-0.509399,        8.1989761591,-0.135864
        8.2070496082,-0.135864,        8.2123786211,0.273560
        8.2226206064,0.220276,        8.3049706221,-0.463257
        8.3153851032,0.104919,        8.5284330845,-0.261658
        8.5338455439,-0.223572,        8.5951460600,0.013000
        8.6002581120,0.044861,        8.6427130699,0.194824
        8.7974721193,-0.078552,        8.8001575470,-0.078552
        8.8053495884,-2.872925,        8.8157795668,-1.972229
        8.8373565674,0.908569,        8.8481426239,-0.463806
        8.8585445881,0.269897,        8.8772170544,-0.136597
        8.8879690170,0.051270,        8.9386805296,-0.090088
        8.9440635443,-0.090088,        9.0321011543,-0.276306
        9.0482079983,-0.283997,        9.0772845745,-0.080383
        9.0826600790,-0.080383,        9.0984740257,-0.219360
        9.4298576117,-0.055298,        9.4539910555,0.059143
        9.5628401041,-0.250488,        9.5865570307,-0.284363
        9.5919560194,-0.217346,        9.9088935852,-0.065552
        9.9141440392,-0.069580,        9.9958250523,0.091919
       10.1307030916,0.418396,       10.1570695639,-1.063293
       10.1789236069,0.856018,       10.2235865593,-0.485413
       10.2398440838,0.133667,       10.3276575804,-0.565247
       10.3406921625,-0.246826,       10.3913400173,-0.160400
       10.3966841698,-0.160400,       10.4074450731,-0.230713
       10.4343376160,-0.225220,       10.4796760082,-0.227417
       10.7561540604,0.017578,       10.7718604803,0.008606
       10.8681111336,-0.284363,       10.8732349873,-0.284363
       10.9395176172,0.222656,       11.3336505890,0.038818
       11.3390231133,0.080017,       11.3550956249,0.158020
       11.3946466446,0.295532,       11.4000180960,0.295532
       11.5326660872,-0.759888,       11.5484585762,-1.079590
       11.5699461699,0.832397,       11.5807065964,-0.292053
       11.5940386057,0.148865,       11.6200420856,-0.132568
       11.6254631281,-0.132568,       11.6441471577,0.283447
       11.6492536068,0.106201,       11.7634850740,-0.275208
       11.8966035843,-0.157654,       11.9257330894,-0.092834
       11.9576945305,-0.074707,       12.0184766054,-0.062622
       12.0211646557,-0.062622,       12.0265415907,-0.051819
       12.2023130655,0.004395,       12.2076871395,0.004395
       12.3033396006,-0.009521,       12.4147566557,0.164429
       12.4198610783,0.178162,       12.4866895676,-0.238770
       12.4920691252,-0.238770,       12.6253316402,-0.098694
       12.6307080984,-0.017395,       12.7456175089,-0.088440
       12.8416200876,1.303162,       12.8443156481,1.579102
       12.8998366594,0.055664,       12.9181730747,-2.835205
       12.9396845102,1.279724,       12.9634006023,0.127991
       12.9849286079,-0.245911,       13.1223615408,-0.224854
       13.1408571005,-0.411438,       13.1461921930,-0.307983
       13.1669161320,-0.160034,       13.1720601320,-0.160034
       13.2385005951,-0.178894,       13.3049910069,-0.130371
       13.3127020597,-0.120667,       13.3793491125,-0.008972
       13.5621385574,-0.009338,       13.5675306320,-0.009521
       13.7002716064,-0.229065,       13.8781405687,0.186218
       13.8835290670,0.186218,       14.0833206177,0.139160
       14.2164560556,0.714478,       14.2191441059,0.736084
       14.2995246649,0.248291,       14.3260484934,-1.678711
       14.3475440741,0.659363,       14.3605190516,0.200134
       14.3658455610,0.084229,       14.3819770813,0.031494
       14.3981486559,-0.169189,       14.5046585798,-0.361633
       14.5097701550,-0.156372,       14.5415480137,-0.147949
