Seg0_Max,Seg0_Min,Seg1_Max,Seg1_Min,Seg2_Max,Seg2_Min,Seg3_Max,Seg3_Min,Period
229.202271,-75.164795,34.332275,-50.689697,16.754150,-42.434692,248.840332,22.384644,        1.5185245275
204.940796,-69.992065,50.231934,-65.338135,-12.374878,-61.614990,162.170410,-45.410156,        1.4439325333
180.648804,-52.627563,16.479492,-43.838501,147.583008,-61.630249,241.119385,62.652588,        1.4559574127
82.229614,-19.195557,7.293701,-40.664673,33.554077,-52.825928,195.083618,33.554077,        1.3912450075
115.020752,-55.282593,18.676758,-71.487427,111.068726,-44.052124,256.561279,11.627197,        1.3531119823
177.490234,-71.868896,27.465820,-68.923950,44.921875,-72.982788,228.881836,65.673828,        1.3592705727
131.576538,-27.648926,10.925293,-67.153931,94.635010,-80.657959,288.360596,55.847168,        1.3905218840
149.688721,-73.440552,26.458740,-61.950684,17.074585,-111.038208,245.651245,13.748169,        1.3377031088
207.870483,-46.081543,43.533325,-57.907104,-3.433228,-78.094482,246.612549,-0.534058,        1.4500374794
148.086548,-59.188843,24.795532,-13.717651,-12.649536,-56.121826,197.738647,-21.026611,        1.3384305239
190.307617,-38.528442,49.682617,-30.975342,26.809692,-59.844971,182.296753,37.063599,        1.4225889444
173.645020,-60.470581,9.124756,-49.163818,7.110596,-48.583984,222.213745,-30.838013,        1.3877699375
133.209229,-41.656494,11.367798,-16.403198,91.354370,-52.612305,197.982788,56.289673,        1.3418860435
143.234253,-56.594849,16.754150,-51.284790,50.949097,-80.688477,217.681885,56.137085,        1.3398255110
101.699829,-57.250977,18.478394,-65.505981,2.136230,-139.923096,189.758301,-134.963989,        1.3363980055
328.964233,-1.388550,66.482544,-53.298950,9.185791,-113.540649,213.577271,7.614136,        1.5741914511
132.064819,-102.844238,21.453857,-38.894653,54.702759,-106.262207,234.909058,56.533813,        1.4086620808
139.099121,-31.738281,15.213013,-37.322998,1.312256,-60.012817,251.525879,8.926392,        1.4844903946
107.131958,-62.789917,0.640869,-30.334473,1.876831,-85.159302,252.761841,-85.266113,        1.3253365755
317.443848,-70.388794,52.825928,-26.596069,-4.318237,-52.780151,202.194214,-31.372070,        1.4759300947
198.379517,-40.786743,7.873535,-40.878296,15.090942,-70.098877,221.817017,15.090942,        1.4072690010
129.852295,-75.729370,27.038574,-40.771484,88.058472,-105.224609,229.949951,56.930542,        1.4084653854
167.388916,-68.206787,76.492310,-44.097900,49.301147,-119.979858,234.527588,17.272949,        1.3850390911
130.432129,-28.030396,46.356201,-48.645020,0.518799,-49.987793,78.414917,-23.971558,        1.3431539536
