P_t,P_x,T_t,T_p
        2.4225490093,113.113403,        2.8330535889,-231.781006
        3.0434036255,110.260010,        3.0720040798,21.209717
        3.1002396345,86.044312,        3.4984534979,-0.015259
        3.9158695936,146.377563,        4.3515781164,-240.020752
        4.5623331070,115.264893,        4.7453196049,11.917114
        5.3954970837,132.385254,        5.7955106497,-251.083374
        5.9868555069,135.910034,        6.0166029930,23.803711
        6.0376011133,130.493164,        6.4866596460,20.706177
        6.7964861393,134.201050,        7.2514680624,-243.667603
        7.4139325619,110.122681,        7.4408324957,32.196045
        7.4641631842,128.005981,        7.7576905489,9.536743
        8.2226206064,139.114380,        8.6427130699,-250.625610
        8.8373565674,157.974243,        9.0772845745,4.425049
        9.5628401041,134.292603,        9.9958250523,-285.629272
       10.1307030916,109.207153,       10.1570695639,48.828125
       10.1789236069,142.517090,       10.4796760082,7.507324
       10.9395176172,147.384644,       11.3550956249,-238.647461
       11.5326660872,109.146118,       11.5484585762,46.142578
       11.5699461699,149.826050,       11.7634850740,11.932373
       12.3033396006,141.723633,       12.7456175089,-245.193481
       12.9396845102,130.294800,       13.1223615408,13.473511
       13.7002716064,149.581909,       14.0833206177,-227.767944
       14.3475440741,106.811523,       14.5415480137,14.755249
       15.1189035177,139.373779,       15.5333580971,-237.152100
       15.7513660192,92.117310,       15.8738776445,8.148193
       16.5039330721,139.450073,       16.8717886209,-248.153687
       17.1247330904,102.539062,       17.4465460777,24.673462
       17.8846935034,141.128540,       18.2943775654,-256.912231
       18.4617410898,108.459473,       18.4881765842,41.061401
       18.5123366117,131.835938,       18.8709551096,22.216797
       19.2822545767,139.434814,       19.6821475029,-258.987427
       19.8818435669,144.363403,       20.0703141689,20.904541
       20.6071510315,145.812988,       21.0240335464,-270.050049
       21.2179476023,134.399414,       21.5341621637,12.619019
       21.9597411156,132.049561,       22.3638590574,-247.726440
       22.5417650938,98.724365,       22.5652951002,44.021606
       22.6400610209,96.588135,       22.7863150835,10.208130
       23.3945455551,137.313843,       23.7002570629,-223.922729
       24.0168430805,69.458008,       24.0487846136,18.432617
       24.1102460623,69.335938,       24.3702145815,18.508911
       24.8536641598,143.722534,       25.2744485140,-251.464844
       25.4734700918,100.494385,       25.7019290924,18.844604
       26.2388790846,151.000977,       26.6831105947,-209.594727
       26.9216259718,121.353149,       27.4146620035,17.669678
       27.7138085365,124.328613,       28.1676009893,-219.207764
       28.3559125662,162.445068,       28.7463350296,17.227173
       29.1556780338,116.363525,       29.4929375648,-219.268799
       29.8203030825,97.717285,       30.2591960430,20.812988
       30.5735290051,134.307861,       30.9688676596,-246.673584
       31.1676335335,134.811401,       31.3222005367,3.814697
       31.9609875679,139.862061,       32.3761366606,-239.715576
       32.5914001465,100.051880,       33.0802156925,19.714355
       33.3354635239,141.891479,       33.7846020460,-220.245361
       34.0131186247,124.679565,       34.3209820986,15.029907
       34.7490905523,138.442993,       35.1696411371,-225.189209
       35.4043160677,115.524292,       35.8897475004,3.173828
       36.1293051243,87.554932,       36.5127950907,-166.091919
