P_t,P_x,T_t,T_p
        1.8183699846,223.617554,        0.0083994865,-146.713257
        2.2406510115,161.788940,        2.1078485250,-357.086182
        2.2800664902,192.474365,        2.2566900253,93.765259
        2.7544075251,259.902954,        2.4614744186,24.795532
        3.1768690348,193.862915,        3.0445671082,-374.862671
        3.2167694569,221.893311,        3.1929734945,85.128784
        3.6815326214,289.352417,        3.3923665285,24.642944
        4.1041029692,172.210693,        3.9766175747,-377.624512
        4.1414265633,237.136841,        4.1199890375,102.554321
        4.6460255384,252.868652,        4.3399505615,19.882202
        5.0882390738,199.630737,        4.9623730183,-374.847412
        5.1285294294,205.047607,        5.1070640087,98.831177
        5.6099359989,264.480591,        5.3164644241,26.657104
        6.0253435373,175.094604,        5.8997745514,-363.861084
        6.0649825335,252.517700,        6.0436270237,98.205566
        6.5464905500,276.687622,        6.2483284473,21.575928
        6.9902545214,199.142456,        6.8522140980,-368.347168
        7.0300760269,216.674805,        7.0063689947,88.729858
        7.5225514174,283.447266,        7.2081805468,22.003174
        7.9561769962,224.380493,        7.8341910839,-395.004272
        8.0097135305,211.013794,        7.9775805473,56.076050
        8.4780505896,278.732300,        8.1724776030,27.099609
        8.8976655006,179.779053,        8.7753025293,-378.204346
        8.9326266050,260.650635,        8.9137589931,99.655151
        9.4022359848,290.100098,        9.1100540161,16.265869
        9.8249959946,168.045044,        9.7133909464,-398.239136
        9.8512930870,285.110474,        9.8352425098,107.437134
       10.3668590784,262.527466,       10.0456994772,24.368286
       10.7997709513,213.470459,       10.6733400822,-388.519287
       10.8286590576,206.466675,       10.8156784773,72.753906
       11.3486354351,277.481079,       11.0325280428,13.748169
       11.7743304968,188.980103,       11.6525449753,-379.486084
       11.8088905811,231.735229,       11.7877410650,86.090088
       12.3126615286,280.242920,       12.0013685226,13.656616
       12.7509424686,204.132080,       12.6237499714,-359.390259
       12.7906974554,196.670532,       12.7665975094,82.458496
       13.2774795294,284.774780,       12.9662859440,26.199341
       13.6983469725,206.024170,       13.5652055740,-377.105713
       13.7381565571,240.203857,       13.7167140245,75.241089
       14.2411170006,257.919312,       13.9268599749,23.925781
       14.7185519934,142.929077,       14.5645015240,-361.892700
       14.7578974962,243.606567,       14.7346819639,68.359375
       15.3739695549,172.653198,       14.9571070671,17.227173
       15.7934194803,93.444824,       15.7004650831,-277.160645
