S_i,S_t,S_x
2,        0.0083994865,-146.713257
794,        2.1078485250,-357.086182
1147,        3.0445671082,-374.862671
1498,        3.9766175747,-377.624512
1869,        4.9623730183,-374.847412
2222,        5.8997745514,-363.861084
2580,        6.8522140980,-368.347168
2949,        7.8341910839,-395.004272
3303,        8.7753025293,-378.204346
3656,        9.7133909464,-398.239136
4017,       10.6733400822,-388.519287
4387,       11.6525449753,-379.486084
4753,       12.6237499714,-359.390259
5107,       13.5652055740,-377.105713
5483,       14.5645015240,-361.892700
5911,       15.7004650831,-277.160645
