P_t,P_x,T_t,T_p
        0.0870075226,402.053833,        0.0121605396,-110.015869
        2.3124666214,101.608276,        0.0922815800,-498.977661
        2.9166216850,105.789185,        2.7116085291,-255.905151
        3.0564371347,87.783813,        2.9502925873,17.517090
        3.8371990919,129.440308,        3.2788320780,8.911133
        4.4658030272,93.719482,        4.2605736256,-261.917114
        4.5192216635,96.420288,        4.4976885319,11.932373
        5.3950865269,128.387451,        4.8182320595,15.686035
        6.0062631369,98.480225,        5.8048121929,-279.861450
        6.0513556004,107.513428,        6.0275795460,23.849487
        6.8696205616,123.138428,        6.4100766182,18.432617
        7.4702210426,109.375000,        7.2686955929,-271.270752
        7.5182621479,106.689453,        7.4970140457,32.852173
        8.3271006346,139.541626,        7.8086026907,16.418457
        8.9557405710,111.755371,        8.7058216333,-269.378662
        9.7638911009,142.303467,        9.2369616032,23.605347
       10.3512256145,111.465454,       10.1568630934,-270.751953
       10.4390981197,101.257324,       10.3802865744,21.682739
       11.1844055653,127.670288,       10.6725101471,22.918701
       11.7642000914,115.356445,       11.5645105839,-274.169922
       11.8095400333,133.926392,       11.7885380983,38.284302
       12.5805785656,130.233765,       12.0883630514,23.498535
       13.1559435129,106.826782,       12.9530751705,-280.761719
       13.2012161016,111.068726,       13.1801971197,35.217285
       13.9935445786,132.827759,       13.4349070787,23.529053
       14.6085646152,128.463745,       14.3828850985,-283.782959
       15.3742647171,130.828857,       14.8206181526,21.362305
       15.9841401577,124.923706,       15.7638095617,-295.837402
       16.7824981213,150.390625,       16.2502830029,21.133423
       17.3632462025,108.505249,       17.1860030890,-274.719238
       17.4152055979,98.510742,       17.3864110708,23.941040
       18.2170996666,141.891479,       17.5852705240,9.552002
       18.8046411276,104.095459,       18.5944540501,-261.184692
       18.8606791496,107.421875,       18.8342620134,22.155762
       19.6499000788,131.713867,       19.1557801962,17.364502
       20.2206541300,104.827881,       20.0425076485,-297.897339
       20.2648611069,119.781494,       20.2422860861,47.729492
       21.0447986126,116.485596,       20.5521091223,19.744873
       21.6273481846,113.433838,       21.4434955120,-274.307251
       21.6833831072,111.312866,       21.6564906836,32.867432
       22.4583030939,146.392822,       21.9441261292,10.620117
       23.0304281712,111.953735,       22.8407541513,-276.611328
       23.0752091408,126.113892,       23.0515451431,42.419434
       23.8617966175,127.258301,       23.3512661457,12.969971
       24.4229440689,121.002197,       24.2712341547,-293.594360
       24.4708300829,124.450684,       24.4493596554,38.879395
       25.2083320618,152.328491,       24.7267510891,19.485474
       25.8014661074,135.559082,       25.6022255421,-279.830933
       25.8520520926,128.646851,       25.8283436298,28.106689
       26.5956350565,138.595581,       26.0803896189,16.235352
       27.1537156105,119.293213,       26.9761856794,-277.709961
       27.1986145973,125.595093,       27.1779295206,37.506104
       27.9413961172,144.348145,       27.4594945908,13.687134
       28.4899196625,103.347778,       28.3008240461,-285.842896
       28.5301781893,128.479004,       28.5059430599,52.917480
       29.2617580891,149.810791,       28.9395641088,20.767212
       29.8102531433,127.044678,       29.6430910826,-295.059204
       29.8550095558,126.892090,       29.8317835331,51.284790
       30.5701825619,142.959595,       30.1163431406,16.082764
       31.1529790163,153.671265,       30.9590196609,-295.333862
       31.8779345751,152.770996,       31.4398030043,8.529663
       32.4320861101,118.957520,       32.2561215162,-296.234131
       32.4828320742,126.632690,       32.4536089897,56.427002
       33.2199306488,149.444580,       32.6982181072,20.523071
       33.7729076147,135.894775,       33.6085406542,-306.228638
       33.8235510588,131.729126,       33.8020066023,43.685913
       34.5568361282,151.763916,       34.1075816154,13.610840
       35.1598330736,156.646729,       34.9496221542,-288.269043
       35.9031860828,143.402100,       35.4862606525,6.835938
       36.4468855858,123.382568,       36.2967996597,-302.169800
       36.4898781776,140.502930,       36.4686241150,58.944702
       37.2343806028,151.168823,       36.6965851784,28.625488
       37.7758041620,122.512817,       37.6038626432,-316.589355
       37.8208451271,121.032715,       37.7997021675,35.049438
       38.5537190437,160.079956,       38.0809561014,23.605347
       39.1011216640,123.016357,       38.9353945255,-305.114746
       39.1464090347,144.180298,       39.1172831059,67.016602
       39.8508540392,146.911621,       39.4160975218,16.448975
       40.4316306114,130.447388,       40.2319891453,-292.297363
       41.1241226196,159.484863,       40.6659736633,19.668579
       41.6615481377,133.712769,       41.4863296747,-304.397583
       41.7067471743,127.944946,       41.6851896048,52.642822
       42.4233261347,154.510498,       42.1557251215,20.217896
       42.9916496277,111.679077,       42.8271726370,-291.427612
       43.0363276005,127.334595,       43.0156515837,52.108765
       43.7922886610,140.716553,       43.3032990694,22.628784
       44.3452565670,100.280762,       44.1620116234,-291.809082
       44.4064025879,83.724976,       44.3796366453,25.772095
       45.3098006248,92.681885,       44.6715631485,8.316040
,,,       45.6758875847,-175.918579
