S_i,S_t,S_x
4,        0.0121605396,-110.015869
33,        0.0922815800,-498.977661
1018,        2.7116085291,-255.905151
1600,        4.2605736256,-261.917114
2180,        5.8048121929,-279.861450
2731,        7.2686955929,-271.270752
3272,        8.7058216333,-269.378662
3818,       10.1568630934,-270.751953
4347,       11.5645105839,-274.169922
4869,       12.9530751705,-280.761719
5407,       14.3828850985,-283.782959
5927,       15.7638095617,-295.837402
6462,       17.1860030890,-274.719238
6990,       18.5944540501,-261.184692
7534,       20.0425076485,-297.897339
8061,       21.4434955120,-274.307251
8586,       22.8407541513,-276.611328
9124,       24.2712341547,-293.594360
9624,       25.6022255421,-279.830933
10141,       26.9761856794,-277.709961
10639,       28.3008240461,-285.842896
11143,       29.6430910826,-295.059204
11639,       30.9590196609,-295.333862
12127,       32.2561215162,-296.234131
12635,       33.6085406542,-306.228638
13140,       34.9496221542,-288.269043
13647,       36.2967996597,-302.169800
14138,       37.6038626432,-316.589355
14641,       38.9353945255,-305.114746
15129,       40.2319891453,-292.297363
15600,       41.4863296747,-304.397583
16105,       42.8271726370,-291.427612
16607,       44.1620116234,-291.809082
17177,       45.6758875847,-175.918579
