T_max_accel_y,Max_accel_y,T_min_accel_y,Min_accel_y,T_max_gyro_y,Max_gyro_y,T_min_gyro_y,Min_gyro_y
        2.5472694635,5.998535,        2.5653766394,-2.243225,        2.5472694635,326.507568,        2.5421690941,-260.772705
        4.7484320402,4.183777,        4.7780035734,0.034241,        4.5431205034,87.173462,        4.0253491402,-87.310791
        7.0546311140,3.604797,        7.0736390352,0.132385,        6.6232370138,88.714600,        6.4929695129,-87.478638
        9.2439235449,4.779236,        9.2732150555,-0.437988,        9.1559220552,95.443726,        8.7193779945,-101.242065
       11.5042190552,2.353271,       11.1030260324,0.345520,       11.2575390339,77.529907,       10.8341230154,-84.609985
       13.7527370453,4.297852,       13.7715129852,-0.261108,       13.6625859737,77.209473,       13.1651555300,-66.970825
       15.9716204405,2.700989,       15.6603035927,0.395325,       15.8863995075,87.493896,       15.4326065779,-58.456421
       18.3266230822,2.897644,       17.9760180712,0.307983,       18.2816820145,89.218140,       17.7283066511,-81.283569
       20.4385385513,5.698608,       20.4595375061,-0.995361,       20.0319740772,76.278687,       19.8821005821,-84.197998
		2.3818444014,5.511108,        2.4034708738,-0.745972,        2.2122523785,95.062256,        1.7996258736,-95.367432
        4.5639712811,5.693665,        4.5908683538,-0.333984,        4.4707394838,61.294556,        4.0111418962,-88.943481
        6.8988363743,4.053589,        6.9279209375,0.394043,        6.6800378561,85.586548,        6.9306123257,-51.895142
        9.3299797773,4.779053,        9.3596112728,-0.086243,        9.2588043213,77.636719,        8.7215788364,-68.496704
       11.6959334612,5.298340,       11.7252033949,-1.141296,       11.3055418730,71.807861,       11.1056408882,-54.946899
       14.1554113626,5.804626,       14.1842503548,-0.433777,       14.0142037868,80.291748,       13.5196118355,-71.792603
       16.5883688927,3.958557,       16.6067084074,-0.427551,       16.5803513527,96.893311,       16.0401479006,-84.930420
       18.9225603342,4.175171,       18.9521378279,-0.179810,       18.7365533113,84.869385,       18.3581678867,-71.197510
       21.4127088785,5.022034,       21.4314898252,0.067383,       21.2607308626,99.090576,       20.7911274433,-85.678101
       0.7090910673,1.033264,        1.0004515648,0.938049,        0.0116784573,362.503052,        0.9072140455,-22.491455
        2.5088365078,4.447083,        2.5270935297,-0.757690,        2.5668979883,34.790039,        2.5324780941,-45.181274
        4.6878145933,4.628723,        4.7066274881,-0.270813,        4.5447680950,76.828003,        4.0820871592,-58.197021
        6.9923875332,2.775879,        6.6418441534,0.327942,        6.8168464899,83.251953,        6.3655145168,-93.215942
        9.2389044762,3.101440,        9.2599140406,0.086060,        8.8014130592,89.385986,        8.6493695974,-74.432373
       11.4885536432,2.564941,       11.1162015200,0.384155,       11.2470245361,74.539185,       10.8397520781,-70.526123
       13.5198680162,4.085999,       13.2489600182,0.371704,       13.5068814754,79.208374,       12.9571114779,-76.080322
       15.4662585258,3.656433,       15.4954990149,0.030029,       15.4689511061,73.104858,       15.4981875420,-66.665649
       17.4315880537,5.470093,       17.4606345892,-1.447998,       17.3497641087,97.564697,       17.4606345892,-104.324341
       19.4160106182,1.584229,       19.0941890478,0.333984,       19.1949886084,55.419922,       18.8469614983,-96.176147
