T_max_accel_y,Max_accel_y,T_min_accel_y,Min_accel_y,T_max_gyro_y,Max_gyro_y,T_min_gyro_y,Min_gyro_y
        1.1942781210,0.959290,        0.4652310610,0.992615,        0.0116784573,362.503052,        0.9072140455,-22.491455
        2.5062830448,4.408081,        2.5190889835,-0.023254,        2.5668979883,34.790039,        2.5324780941,-45.181274
        4.6769374609,2.889221,        4.7170575857,0.111145,        4.5447680950,76.828003,        4.0820871592,-58.197021
        6.9923875332,2.775879,        7.0215220451,0.437439,        6.8168464899,83.251953,        6.3655145168,-93.215942
        9.2389044762,3.101440,        9.2786450386,0.852173,        8.8014130592,89.385986,        8.6493695974,-74.432373
       11.4778110981,2.553223,       11.5068814754,1.195129,       11.2470245361,74.539185,       10.8397520781,-70.526123
       13.5224870443,4.085999,       13.5493450165,0.408875,       13.5068814754,79.208374,       12.9571114779,-76.080322
       15.4662585258,3.656433,       15.5060150623,0.563049,       15.4689511061,73.104858,       15.4981875420,-66.665649
       17.4315880537,5.470093,       17.4713895321,0.402283,       17.3497641087,97.564697,       17.4606345892,-104.324341
       19.4160106182,1.584229,       19.4536246061,0.722900,       19.1949886084,55.419922,       18.8469614983,-96.176147
