T_max_accel_y,Max_accel_y,T_min_accel_y,Min_accel_y,T_max_gyro_y,Max_gyro_y,T_min_gyro_y,Min_gyro_y
        3.0874176025,1.279907,        3.0668890476,0.786987,        2.7984186411,246.383667,        2.9528245926,-75.164795
        4.5570055246,1.592102,        4.5275670290,1.124451,        4.2560285330,248.840332,        4.4211871624,-57.144165
        6.0270895958,1.917664,        6.0084185600,0.912048,        5.9789161682,180.648804,        5.3981850147,-58.868408
        7.4589146376,1.875732,        7.4300736189,1.186523,        7.1553670168,241.119385,        7.3446781635,-19.195557
        8.8238976002,2.068726,        8.8027955294,1.358093,        8.5311405659,195.083618,        8.2251811028,-52.825928
       10.0884925127,1.307007,       10.1465836763,1.182312,        9.8819966316,256.561279,       10.0988150835,-28.778076
       11.5591851473,2.067627,       11.5407340527,1.236694,       11.2511765957,228.881836,       10.9474976063,-72.982788
       12.8443156481,1.342896,       12.9128096104,1.112366,       12.6148955822,288.360596,       12.8549081087,-20.324707
       14.2672636509,1.225891,       14.3151526451,1.322388,       14.0298039913,245.651245,       14.2191441059,-46.081543
       15.7459896803,1.774475,       15.7168390751,1.136902,       15.4387096167,246.612549,       15.7647701502,-59.188843
       17.1194580793,1.621033,       17.1006385088,1.317810,       16.8400205374,197.738647,       16.5039330721,-40.145874
       18.5043071508,2.059753,       18.4828065634,1.006165,       18.0279486179,182.296753,       18.5303621292,-60.470581
       19.7886741161,1.175903,       19.8575930595,1.471985,       19.5945160389,222.213745,       19.8951210976,-41.656494
       21.1035506725,1.416870,       21.1910115480,1.489380,       20.9358316660,197.982788,       20.6150820255,-30.029297
       22.4565526247,1.294556,       22.5551069975,1.067871,       22.2791355848,217.681885,       22.4777545929,-46.691895
       23.7535775900,1.685303,       23.4025576115,1.532227,       23.7429180145,328.964233,       23.3945455551,-33.996582
       24.2483850718,1.072266,       24.1608910561,1.041504,       24.2300261259,66.482544,       24.3756740093,-53.298950
       25.3482581377,1.484619,       25.4362831116,1.399841,       25.2104125023,213.577271,       25.3563650846,-102.844238
       26.9162460566,1.654541,       26.8976306915,1.426758,       26.5909405947,234.909058,       26.9351074696,-20.004272
       28.3480105400,2.444458,       28.3299685717,1.475098,       28.0396575928,251.525879,       28.3775601387,-62.789917
       29.6735910177,1.236694,       29.7906440496,1.189819,       29.5355681181,317.443848,       29.1637595892,-85.266113
       31.1625130177,2.202393,       31.1437621117,1.654907,       30.9500191212,202.194214,       30.5786375999,-52.490234
       32.4771976471,1.223877,       32.5540635586,1.262512,       32.2751981020,221.817017,       32.4797550440,-75.729370
       33.8509590626,1.359192,       33.9762736559,1.426941,       33.6756895781,229.949951,       33.8751140833,-53.634644
       35.3002500534,1.267639,       35.3694580793,1.304260,       35.1010000706,234.527588,       35.4227875471,-23.223877
