P_t,P_x,T_t,T_p
        0.1007245779,-0.180542,        0.0118360519,-0.186951
        0.1883029938,-0.232727,        0.1168061495,-0.184021
        0.6045495272,-0.176331,        0.3606261015,-0.182007
        1.0359126329,-0.161499,        0.8920910358,-0.138428
        1.0759185553,-0.152161,        1.0705450773,-0.152161
        1.1213265657,-0.140442,        1.1184160709,-0.140442
        1.1922205687,-0.146667,        1.1814590693,-0.131836
        1.2875485420,-0.133484,        1.2028275728,-0.135315
        1.4149420261,-0.204895,        1.3086330891,-0.115723
        1.4920955896,-0.114075,        1.4576190710,-0.072693
        1.5262495279,-0.087341,        1.5134960413,-0.068115
        1.5901504755,-0.071777,        1.5367630720,-0.059875
        1.6089960337,-0.044861,        1.5928400755,-0.075989
        1.7627575397,-0.116821,        1.6911185980,-0.070679
        2.0638145208,0.201965,        1.7973190546,-0.126343
        2.1944440603,-0.016113,        2.1916440725,-0.016113
        2.2719415426,0.056213,        2.2692170143,0.056213
        2.3329180479,0.053284,        2.3302285671,-0.046692
        2.4731996059,0.525879,        2.3833185434,0.066101
        2.5344475508,1.630554,        2.5292686224,1.630554
        2.5498286486,4.575073,        2.5395799875,5.458740
        2.5574830770,-3.703857,        2.5549374819,4.575073
        2.6003235579,0.152710,        2.5787975788,-2.250549
        2.6403515339,0.127625,        2.6349705458,0.127625
        2.6613720655,0.008423,        2.6511000395,-0.154907
        2.7836745977,0.001831,        2.7493084669,0.181458
        2.9065325260,0.116089,        2.9011205435,0.116089
        3.0116145611,0.075256,        3.0065115690,0.075256
        3.1006699800,-0.157288,        3.0452020168,-0.044678
        3.3766980171,-0.097412,        3.1060349941,-0.120667
        3.4481174946,-0.280884,        3.4033395052,-0.102539
        3.6875735521,-0.329590,        3.5808745623,-0.121399
        3.7194069624,-0.074890,        3.7086015940,-0.041016
        3.7382251024,-0.234192,        3.7247790098,-0.241333
        3.9267240763,0.209290,        3.8419530392,-0.093933
        4.0253491402,0.072693,        3.9320920706,0.170105
        4.2647429705,0.145203,        4.2592560053,0.178528
        4.5199290514,0.252869,        4.4342656136,0.314026
        4.7193845510,-0.064270,        4.5251045227,0.301392
        4.7618715763,-0.012817,        4.7247614861,-0.064270
        4.8176175356,0.040283,        4.7910339832,-0.538147
        4.9018070698,-0.062439,        4.8459955454,-0.019775
        4.9394150972,-0.025085,        4.9340491295,-0.025085
        4.9523215294,-0.045044,        4.9496885538,-0.039001
        5.0460765362,0.000000,        4.9576876163,-0.045044
        5.5007030964,-0.134216,        5.3789345026,-0.039368
        5.5596055984,-0.152893,        5.5060900450,-0.181091
        5.6340510845,-0.133667,        5.5994330645,-0.149231
        5.8601255417,-0.151062,        5.6447740793,-0.138428
        5.8999260664,-0.135315,        5.8891755342,-0.115906
        5.9366960526,-0.068848,        5.9261244535,-0.206360
        6.0272550583,-0.082397,        5.9501230717,-0.035339
        6.0433546305,-0.108215,        6.0379796028,-0.102722
        6.0886034966,-0.117554,        6.0832310915,-0.117554
        6.1608030796,-0.202881,        6.1204046011,-0.077087
        6.4929695129,0.056396,        6.2482075691,-0.203796
        7.0255376101,0.195740,        6.8464770317,0.335632
        7.0628479719,0.583557,        7.0308945179,0.195740
        7.1189271212,0.080200,        7.0920031071,-0.494751
        7.1902500391,0.026550,        7.1850820780,-0.020325
        7.6287740469,-0.022339,        7.6236755848,-0.000916
        7.6897090673,-0.092102,        7.6394445896,-0.030029
        7.7105596066,-0.017944,        7.6998984814,-0.038818
        7.7557245493,-0.082581,        7.7235040665,-0.025452
        7.8709975481,-0.154907,        7.8235170841,-0.107300
        7.8896700144,-0.097961,        7.8736655712,-0.163147
        8.0785735846,-0.175598,        7.8951090574,-0.067932
        8.1453425884,-0.246094,        8.1104120016,-0.086426
        8.2064355612,-0.120850,        8.1506880522,-0.246094
        8.3496285677,-0.189514,        8.2779150009,-0.097412
        8.4665111303,-0.272827,        8.3949320316,-0.171021
        8.5278455019,-0.205627,        8.5094085932,-0.106018
        8.5887900591,0.159119,        8.5332355499,-0.205627
        8.7193779945,0.153992,        8.5942144394,0.254517
        8.9376494884,0.057129,        8.9325470924,0.060791
        9.1267035007,0.314209,        9.0813770294,0.221375
        9.2516405582,5.417358,        9.1320145130,0.328491
        9.3130711317,0.384338,        9.2867085934,-0.986572
        9.3427330256,0.049072,        9.3373279572,0.150879
        9.5866465569,0.138062,        9.5812669992,0.134216
        9.7352330685,0.011353,        9.6959685087,0.044128
        9.7967165709,-0.091919,        9.7567266226,0.008240
        9.8306965828,-0.035156,        9.8020911217,-0.039917
        9.9002745152,-0.152710,        9.8360450268,-0.035156
       10.0413430929,-0.146851,        9.9242730141,-0.058044
       10.1074944735,-0.127441,       10.0467660427,-0.149597
       10.1901844740,-0.108582,       10.1632076502,-0.131287
       10.2463570833,-0.194458,       10.2060325146,-0.085327
       10.4102250338,-0.072876,       10.3439370394,-0.076172
       10.5378919840,-0.126343,       10.4290155172,-0.106201
       10.8341230154,-0.058411,       10.5513265133,-0.150146
       11.4800890684,0.226685,       11.2710030079,0.310730
       11.4881030321,0.183838,       11.4827325344,0.226685
       11.5204395056,0.442017,       11.4934796095,0.778748
       11.5864491463,0.174500,       11.5469291210,-0.535400
       11.6638410091,0.095947,       11.6211745739,-0.018860
       11.7485880852,0.025085,       11.7432225943,0.093384
       11.8207075596,0.158752,       11.8153450489,0.158752
       12.2453290224,-0.106384,       12.0592710972,0.054016
       12.3173935413,-0.080933,       12.2508215904,-0.106384
       12.4907795191,-0.125427,       12.3361170292,-0.072327
       12.5247400999,-0.124512,       12.5014799833,-0.097595
       12.5409140587,-0.061157,       12.5355210304,-0.061157
       12.6120760441,-0.234741,       12.5779155493,0.022156
       12.6575210094,0.065735,       12.6524280310,0.065735
       12.7939925194,-0.157288,       12.6835399866,-0.074707
       12.8124855757,-0.144470,       12.7965426445,-0.157288
       12.8338869810,-0.075806,       12.8232635260,-0.086243
       12.9240186214,0.015747,       12.9052095413,-0.069397
       12.9403771162,-0.052917,       12.9293900728,0.015747
       13.1279070377,0.112244,       12.9457850456,-0.169189
       13.2397350073,-0.020691,       13.2343560457,-0.006409
       13.5268014669,0.227051,       13.5216701031,0.227051
       13.5534715652,0.301025,       13.5480915308,0.301025
       13.7554215193,4.088562,       13.5614825487,0.339478
       13.8196285963,0.136230,       13.7926310301,-0.623474
       13.9043190479,0.073792,       13.8697260618,-0.034424
       14.0766230822,0.135132,       14.0714955330,0.150513
       14.2816724777,-0.036072,       14.2656055689,0.027649
       14.4652000666,-0.135315,       14.3027120829,0.029846
       14.5180574656,-0.109131,       14.5126930475,-0.109131
       14.5366805792,-0.083130,       14.5261266232,-0.121399
       14.6591950655,-0.209839,       14.5472170115,-0.101074
       14.7256776094,-0.124146,       14.6645514965,-0.209839
       14.7917760611,-0.093750,       14.7866045237,-0.093750
       14.8346054554,-0.169739,       14.8186485767,-0.088257
       14.9086375237,-0.171204,       14.8849580288,-0.062805
       14.9906680584,-0.157837,       14.9140366316,-0.155823
       15.0280690193,-0.190247,       15.0173355341,-0.152161
       15.1018711329,-0.231995,       15.0837025642,-0.163513
       15.2910270691,0.312744,       15.1288675070,-0.150330
       15.3169865608,0.504456,       15.2961570024,0.312744
       15.3964385986,0.187683,       15.3332995176,0.300293
       15.9768465757,2.143250,       15.7775220871,0.288208
       15.9896376133,0.875977,       15.9870799780,0.875977
       16.0483086109,0.008423,       16.0218900442,-0.601685
       16.0668045282,0.134583,       16.0616840124,0.134583
       16.1278971434,0.023621,       16.0990240574,-0.021057
       16.1482781172,0.038818,       16.1380856037,0.034424
       16.2168545723,0.091736,       16.2037400007,0.022888
       16.4162181616,0.072876,       16.4108800888,0.072876
       16.5384180546,-0.084412,       16.5145030022,0.014282
       16.6079934835,-0.151794,       16.5755650997,-0.030762
       16.6526970863,-0.136963,       16.6419550180,-0.113708
       16.6766051054,-0.043213,       16.6634395123,-0.051819
       16.7485995293,-0.114807,       16.6817810535,-0.136963
       16.7857625484,-0.191162,       16.7540169954,-0.191528
       16.9929770231,-0.200684,       16.7911291122,-0.143005
       17.0195236206,-0.212585,       16.9980701208,-0.222107
       17.0592991114,-0.130920,       17.0539355278,-0.130920
       17.0754176378,-0.126343,       17.0646741390,-0.123230
       17.0965985060,-0.187500,       17.0861575603,-0.172485
       17.1519695520,-0.183655,       17.1416515112,-0.134033
       17.2423624992,-0.133484,       17.1971100569,-0.064636
       17.3090034723,-0.119202,       17.2584825754,-0.106018
       17.3408670425,-0.082581,       17.3193471432,-0.106567
       17.3566679955,-0.069397,       17.3462345600,-0.072510
       17.4173030853,-0.116638,       17.3694236279,-0.067566
       17.7283066511,-0.017212,       17.4839150906,-0.156555
       17.7522090673,0.188782,       17.7469760180,0.095032
       18.0849665403,0.114441,       18.0795965195,0.093567
       18.3266230822,1.774658,       18.0903235674,0.114441
       18.3823804855,0.030396,       18.3614675999,-0.920288
       18.4675505161,0.070679,       18.4432641268,-0.068848
       18.5283014774,0.070679,       18.5229450464,0.070679
       18.6947010756,0.091187,       18.6893990040,0.091187
       18.8539021015,0.005493,       18.8034180403,0.000549
       19.0053116083,-0.241882,       18.8721505404,-0.017395
       19.0823270082,-0.208923,       19.0478186607,-0.119202
       19.1329250336,-0.129639,       19.1200605631,-0.105835
       19.1540255547,-0.155273,       19.1432670355,-0.166260
       19.3087060452,-0.189880,       19.1911685467,-0.121399
       19.3378280401,-0.087341,       19.3324584961,-0.087341
       19.5243059397,-0.193909,       19.4365161657,-0.119202
       19.5481035709,-0.094666,       19.5429915190,-0.108032
       19.7683210373,0.542908,       19.5694490671,-0.087708
       19.8292740583,0.211121,       19.7973356247,0.085144
       19.8533835411,0.265503,       19.8480066061,0.265503
       19.8974425793,0.206177,       19.8923466206,0.257812
       20.2637425661,0.435608,       20.2453271151,0.288940
       20.3746531010,0.498962,       20.2688565254,0.435608
       20.4004890919,0.346252,       20.3800020218,0.498962
       20.4411776066,4.364502,       20.4243370295,0.167542
       20.5007860661,0.264221,       20.4724020958,-1.303528
       20.5352250338,0.197937,       20.5298860073,0.197937
