P_t,P_x,T_t,T_p
        1.7996258736,130.523682,        2.1535378695,-143.585205
        2.3872028589,47.821045,        2.9081099033,-56.884766
        4.0111418962,147.460938,        4.3935037851,-159.118652
        4.5774179697,61.447144,        5.0664768219,-50.643921
        6.2680448294,102.890015,        6.6406618357,-120.407104
        6.9066294432,46.264648,        7.4651299715,-48.629761
        8.6730533838,91.476440,        9.0615082979,-131.408691
        9.3380304575,51.620483,        9.8390463591,-52.886963
       11.0950368643,128.234863,       11.4832863808,-130.126953
       11.7064548731,76.583862,       12.2205748558,-41.824341
       13.5196118355,124.740601,       13.9288363457,-122.192383
       14.1605113745,57.434082,       14.7671184540,-46.051025
       16.0401479006,122.375488,       16.4180488586,-146.514893
       16.5883688927,49.530029,       17.2096308470,-50.354004
       18.3581678867,126.220703,       18.6967353821,-131.988525
       18.9386523962,53.390503,       19.5101773739,-48.889160
       20.7911274433,133.804321,       21.1626439095,-145.370483
       21.4180818796,47.943115,       21.9063568115,-33.111572
       23.0853613615,136.962891,       23.4641067982,-131.561279
       23.7400283813,85.784912,,,
