P_t,P_x,T_t,T_p
        0.0870075226,-0.156921,        0.0121605396,-0.152710
        0.0975930691,-0.157104,        0.0922815800,-0.156921
        0.2411321402,-0.155823,        0.1029356718,-0.157104
        0.2729775906,-0.156921,        0.2622336149,-0.152710
        0.3015655279,-0.155090,        0.2783546448,-0.156921
        0.4178336859,-0.157471,        0.3068060875,-0.155090
        0.5075865984,-0.154175,        0.5022176504,-0.154541
        0.7018276453,-0.150330,        0.5442321301,-0.149780
        0.9115611315,-0.164246,        0.7604725361,-0.151062
        1.1930321455,-0.138245,        0.9379225969,-0.151062
        1.2593016624,-0.151794,        1.2062646151,-0.133301
        1.3944731951,-0.092285,        1.3332810402,-0.120667
        1.4664551020,-0.127625,        1.4374705553,-0.110779
        1.5385451317,-0.115173,        1.5040930510,-0.142456
        1.6362081766,-0.068665,        1.5592015982,-0.048340
        1.6604195833,-0.054749,        1.6496555805,-0.054749
        1.8381916285,-0.027832,        1.7159405947,-0.050903
        1.9768140316,0.026733,        1.8435616493,-0.027832
        2.3124666214,0.130371,        1.9981755018,0.049622
        2.7305976152,0.346802,        2.7116085291,0.105835
        2.9166216850,0.673096,        2.7358695269,0.437622
        2.9689606428,1.155762,        2.9502925873,-2.006836
        2.9797635078,0.218445,        2.9743825197,1.155762
        3.0115876198,-0.171387,        2.9957981110,-0.794861
        3.0410561562,-0.306885,        3.0305145979,-0.587769
        3.0564371347,0.005493,        3.0461616516,0.160950
        3.0846126080,0.049072,        3.0743836164,-0.088806
        3.3182190657,-0.183838,        3.2788320780,-0.207825
        3.4012355804,-0.090088,        3.3235955238,-0.183838
        3.5232981443,-0.088806,        3.4271211624,-0.103088
        3.5844416618,-0.058411,        3.5286811590,-0.088806
        3.8371990919,-0.269897,        3.5898110867,-0.058411
        3.9943925142,0.061707,        3.9889820814,0.060791
        4.4047961235,0.568726,        4.2605736256,0.114075
        4.4658030272,0.469116,        4.4101750851,0.506653
        4.4766685963,-0.106384,        4.4712836742,-0.106384
        4.5192216635,0.826904,        4.4976885319,-1.371277
        4.5483121872,0.048706,        4.5377811193,-0.193542
        4.5965316296,0.053101,        4.5698651075,-0.469116
        4.7462171316,-0.232361,        4.7354985476,-0.309814
        4.9535166025,-0.204529,        4.8182320595,-0.331238
        5.0176177025,-0.046875,        4.9588910341,-0.247375
        5.1636965275,-0.027283,        5.0468271971,-0.006775
        5.3950865269,-0.329041,        5.2406600714,0.056580
        5.4908781052,-0.171570,        5.4857600927,-0.242065
        5.7461961508,-0.221924,        5.7408111095,-0.245544
        5.8129626513,0.257263,        5.8048121929,0.055847
        6.0062631369,-0.611755,        5.8181151152,0.257263
        6.0513556004,1.089294,        6.0275795460,-2.839966
        6.0831395388,0.108032,        6.0669976473,-0.658630
        6.1285156012,0.112976,        6.1095246077,-0.559937
        6.2506226301,-0.238037,        6.2452390194,-0.160034
        6.2993355989,-0.280884,        6.2667995691,-0.290588
        6.5778770447,-0.070679,        6.4100766182,-0.190979
        6.7664246559,-0.057861,        6.5829941034,-0.092102
        6.8696205616,-0.076172,        6.7715340853,-0.057861
        7.1542545557,-0.298645,        7.1488636732,-0.298645
        7.2152301073,-0.231812,        7.2098391056,-0.258545
        7.4702210426,0.170654,        7.2686955929,0.128723
        7.5182621479,0.669983,        7.4970140457,-0.619446
        7.5368626118,-0.336365,        7.5341725349,-0.860413
        7.5476335287,0.143555,        7.5422426462,-0.336365
        7.5952680111,0.033691,        7.5740796328,-0.264221
        7.7804436684,-0.271545,        7.7354896069,-0.273193
        8.0291411877,-0.018311,        7.8086026907,-0.218079
        8.1940085888,0.086792,        8.0745501518,-0.048157
        8.3271006346,-0.367859,        8.1967070103,0.086792
        8.6787706614,-0.179443,        8.6734066010,-0.204712
        8.7510436773,0.458130,        8.7058216333,0.037903
        8.9102619886,-0.705505,        8.7562506199,0.481934
        8.9557405710,0.656616,        8.9262751341,-2.294128
        8.9763356447,-0.218994,        8.9659570456,-0.263489
        9.1277166605,-0.144470,        9.1223466396,-0.247742
        9.1993435621,-0.266968,        9.1649116278,-0.290955
        9.2715901136,-0.171021,        9.2369616032,-0.140259
        9.6491206884,-0.108765,        9.3087085485,-0.137878
        9.6545125246,-0.108765,        9.6518170834,-0.108765
        9.7638911009,-0.289673,        9.6598886251,-0.125610
        9.7903785706,-0.072693,        9.7876920700,-0.072693
       10.3512256145,0.022705,       10.1568630934,0.033875
       10.4067234993,1.001038,       10.3802865744,-1.417419
       10.4390981197,0.144104,       10.4175070524,-0.670349
       10.4788039923,-0.091736,       10.4629557133,-0.246094
       10.8003896475,-0.078735,       10.6725101471,-0.189880
       10.9629040956,-0.088440,       10.8562725782,-0.006226
       11.1736326218,0.175781,       10.9682831764,-0.052002
       11.1844055653,-0.156006,       11.1790155172,-0.156006
       11.3648276329,0.008057,       11.3621290922,0.003479
       11.5112576485,-0.228516,       11.5061416626,-0.195740
       11.5671991110,0.002197,       11.5645105839,0.002197
       11.5782074928,0.212585,       11.5725876093,0.104004
       11.5892217159,0.293884,       11.5836185217,0.212585
       11.7642000914,-0.415833,       11.5947201252,0.293884
       11.8095400333,1.961609,       11.7885380983,-3.156738
       11.8362616301,0.017578,       11.8202791214,-0.236023
       11.9050961733,0.109680,       11.8997131586,0.109680
       12.0538450480,-0.269165,       12.0323392153,-0.309265
       12.2189331055,-0.091370,       12.0883630514,-0.120483
       12.3987046480,0.018494,       12.2427215576,-0.062805
       12.5805785656,-0.249390,       12.4093906879,0.017578
       12.6202300787,-0.316223,       12.6148486137,-0.267883
       12.8310005665,-0.274658,       12.8256245852,-0.274658
       12.8919856548,-0.223572,       12.8866045475,-0.144653
       12.9642611742,-0.027100,       12.9530751705,-0.060974
       13.1559435129,-0.073975,       12.9693626165,-0.027100
       13.2012161016,1.518677,       13.1801971197,-3.027649
       13.2353860140,-0.041199,       13.2225641012,-0.791016
