timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1490302194.263672, 1490302194.266400, -0.258911, +1.288696, +0.180542, +9.963989, +0.900269, -5.889893
1490302194.266747, 1490302194.269030, -0.258911, +1.288696, +0.180542, +9.963989, +0.900269, -5.889893
1490302194.269289, 1490302194.271574, -0.258911, +0.960571, +0.170105, +9.933472, +1.617432, -7.095337
1490302194.271831, 1490302194.274126, -0.212585, +0.962219, +0.170105, +9.933472, +1.617432, -7.095337
1490302194.274382, 1490302194.276874, -0.212585, +0.962219, +0.170105, +9.140015, +0.396729, -6.118774
1490302194.277131, 1490302194.279421, -0.212585, +0.962219, +0.170105, +9.140015, +0.396729, -6.118774
1490302194.279678, 1490302194.281965, -0.213867, +0.986572, +0.169556, +9.140015, +0.976562, -5.416870
1490302194.282223, 1490302194.284627, -0.213867, +0.986572, +0.169556, +9.384155, +0.976562, -5.416870
1490302194.284895, 1490302194.287202, -0.213867, +0.986572, +0.169556, +9.384155, +0.976562, -5.325317
1490302194.287463, 1490302194.289747, -0.213867, +0.986572, +0.169556, +8.697510, +0.640869, -5.325317
1490302194.290006, 1490302194.292288, -0.211670, +0.988403, +0.175598, +8.697510, +0.640869, -5.325317
1490302194.292547, 1490302194.294881, -0.211670, +0.988403, +0.175598, +9.780884, +0.411987, -6.057739
1490302194.295138, 1490302194.297419, -0.211670, +0.988403, +0.175598, +9.780884, +0.411987, -6.057739
1490302194.297676, 1490302194.299964, -0.211670, +0.988403, +0.175598, +9.368896, +0.823975, -4.714966
1490302194.300222, 1490302194.302503, -0.218628, +0.986206, +0.165894, +9.368896, +0.823975, -4.714966
1490302194.302761, 1490302194.305117, -0.218628, +0.986206, +0.165894, +9.460449, +0.595093, -5.447388
1490302194.305382, 1490302194.307794, -0.218628, +0.986206, +0.165894, +9.460449, +0.595093, -5.447388
1490302194.308059, 1490302194.310463, -0.218628, +0.986206, +0.179443, +9.643555, +0.900269, -5.004883
1490302194.310728, 1490302194.313131, -0.221375, +0.986755, +0.179443, +9.643555, +0.900269, -5.004883
1490302194.313396, 1490302194.315833, -0.221375, +0.986755, +0.179443, +9.445190, +0.427246, -5.203247
1490302194.316119, 1490302194.318535, -0.221375, +0.986755, +0.179443, +9.445190, +0.427246, -5.203247
1490302194.318801, 1490302194.321221, -0.236206, +0.987122, +0.169556, +9.719849, +0.854492, -5.493164
1490302194.321486, 1490302194.323898, -0.236206, +0.987122, +0.169556, +9.719849, +0.854492, -5.493164
1490302194.324163, 1490302194.326490, -0.236206, +0.987122, +0.169556, +9.078979, +1.144409, -4.043579
1490302194.326748, 1490302194.329042, -0.236206, +0.987122, +0.169556, +9.078979, +1.144409, -4.043579
1490302194.329300, 1490302194.331591, -0.222473, +0.994629, +0.174683, +9.078979, +1.144409, -5.325317
1490302194.331847, 1490302194.334137, -0.222473, +0.994629, +0.174683, +9.323120, +0.869751, -5.325317
1490302194.334431, 1490302194.336727, -0.222473, +0.994629, +0.174683, +9.323120, +0.869751, -5.325317
1490302194.336985, 1490302194.339273, -0.222473, +0.994629, +0.174683, +9.857178, +1.068115, -5.386353
1490302194.339530, 1490302194.341824, -0.211121, +0.999207, +0.165710, +9.857178, +1.068115, -5.386353
1490302194.342082, 1490302194.344374, -0.211121, +0.999207, +0.165710, +9.124756, +0.579834, -4.730225
1490302194.344710, 1490302194.346999, -0.211121, +0.999207, +0.165710, +9.124756, +0.579834, -4.730225
1490302194.347259, 1490302194.349553, -0.211121, +0.990234, +0.171021, +9.521484, -0.198364, -5.920410
1490302194.349814, 1490302194.352215, -0.219360, +0.990234, +0.171021, +9.521484, -0.198364, -5.920410
1490302194.352473, 1490302194.354836, -0.219360, +0.990234, +0.171021, +10.009766, +0.427246, -6.118774
1490302194.355105, 1490302194.357517, -0.219360, +0.990234, +0.171021, +10.009766, +0.427246, -6.118774
1490302194.357787, 1490302194.360197, -0.222473, +0.988953, +0.173035, +9.811401, +0.823975, -5.249023
1490302194.360463, 1490302194.362877, -0.222473, +0.988953, +0.173035, +9.811401, +0.823975, -5.249023
1490302194.363143, 1490302194.365557, -0.222473, +0.988953, +0.173035, +8.926392, +0.473022, -4.470825
1490302194.365964, 1490302194.368374, -0.222473, +0.988953, +0.173035, +8.926392, +0.473022, -4.470825
1490302194.368640, 1490302194.371048, -0.215698, +0.992065, +0.177612, +8.850098, +0.030518, -5.325317
1490302194.371315, 1490302194.373722, -0.215698, +0.992065, +0.177612, +8.850098, +0.030518, -5.325317
1490302194.373988, 1490302194.376442, -0.215698, +0.992065, +0.177612, +9.780884, +0.289917, -6.454468
1490302194.376705, 1490302194.379118, -0.215698, +0.990967, +0.173218, +9.780884, +0.289917, -6.454468
1490302194.379383, 1490302194.381791, -0.220642, +0.990967, +0.173218, +9.780884, +0.625610, -5.737305
1490302194.382057, 1490302194.384478, -0.220642, +0.990967, +0.173218, +10.070801, +0.625610, -5.737305
1490302194.384739, 1490302194.387031, -0.220642, +0.990967, +0.173218, +10.070801, +0.625610, -5.096436
1490302194.387291, 1490302194.389574, -0.220276, +0.993713, +0.170105, +9.216309, +0.350952, -5.096436
1490302194.389832, 1490302194.392126, -0.220276, +0.993713, +0.170105, +9.216309, +0.350952, -5.096436
1490302194.392384, 1490302194.394797, -0.220276, +0.993713, +0.170105, +10.269165, +0.015259, -5.722046
1490302194.395059, 1490302194.397349, -0.220276, +0.993713, +0.170105, +10.269165, +0.015259, -5.722046
1490302194.397611, 1490302194.399902, -0.227783, +0.994263, +0.166260, +9.750366, +0.320435, -4.867554
1490302194.400160, 1490302194.402450, -0.227783, +0.994263, +0.166260, +9.750366, +0.320435, -4.867554
1490302194.402707, 1490302194.405184, -0.227783, +0.994263, +0.166260, +9.307861, +0.000000, -5.889893
1490302194.405449, 1490302194.407856, -0.227783, +0.994263, +0.171753, +9.307861, +0.000000, -5.889893
1490302194.408120, 1490302194.410528, -0.217163, +0.992065, +0.171753, +10.177612, +0.045776, -5.249023
1490302194.410799, 1490302194.413208, -0.217163, +0.992065, +0.171753, +10.177612, +0.045776, -5.249023
1490302194.413478, 1490302194.415901, -0.217163, +0.992065, +0.171753, +9.353638, -0.152588, -4.638672
1490302194.416165, 1490302194.418579, -0.227234, +0.990967, +0.164612, +9.353638, -0.152588, -4.638672
1490302194.418843, 1490302194.421257, -0.227234, +0.990967, +0.164612, +9.979248, +0.411987, -5.584717
1490302194.421521, 1490302194.423932, -0.227234, +0.990967, +0.164612, +9.979248, +0.411987, -5.584717
1490302194.424196, 1490302194.426650, -0.227234, +0.990967, +0.164612, +9.384155, +0.854492, -4.837036
1490302194.426917, 1490302194.429328, -0.227600, +0.988037, +0.180359, +9.384155, +0.854492, -4.837036
1490302194.429593, 1490302194.432006, -0.227600, +0.988037, +0.180359, +9.796143, +0.701904, -5.569458
1490302194.432272, 1490302194.434697, -0.227600, +0.988037, +0.180359, +9.796143, +0.701904, -5.569458
1490302194.434961, 1490302194.437371, -0.227600, +0.991150, +0.173767, +9.796143, +1.358032, -4.867554
1490302194.437635, 1490302194.440150, -0.215881, +0.991150, +0.173767, +9.475708, +1.358032, -4.867554
1490302194.440407, 1490302194.442708, -0.215881, +0.991150, +0.173767, +9.475708, +0.747681, -5.447388
1490302194.442968, 1490302194.445570, -0.215881, +0.991150, +0.173767, +9.460449, +0.747681, -5.447388
1490302194.445828, 1490302194.448123, -0.211121, +0.991699, +0.177429, +9.460449, +0.732422, -4.486084
1490302194.448381, 1490302194.450778, -0.211121, +0.991699, +0.177429, +9.445190, +0.732422, -4.486084
1490302194.451036, 1490302194.453330, -0.211121, +0.991699, +0.177429, +9.445190, +0.732422, -4.302979
1490302194.454327, 1490302194.456738, -0.211121, +0.992249, +0.172119, +9.262085, +0.259399, -4.302979
1490302194.457004, 1490302194.459417, -0.221741, +0.992249, +0.172119, +9.262085, +0.595093, -4.821777
1490302194.459683, 1490302194.462104, -0.221741, +0.992249, +0.172119, +9.979248, +0.595093, -4.821777
1490302194.462370, 1490302194.464841, -0.221741, +0.992249, +0.172119, +9.979248, +0.595093, -4.409790
1490302194.465106, 1490302194.467519, -0.218994, +0.991882, +0.170654, +9.567261, +0.442505, -4.409790
1490302194.467783, 1490302194.470199, -0.218994, +0.991882, +0.170654, +9.567261, +0.442505, -4.714966
1490302194.470464, 1490302194.472878, -0.218994, +0.991882, +0.170654, +10.314941, +0.244141, -4.714966
1490302194.473267, 1490302194.475697, -0.218994, +0.991882, +0.170654, +10.314941, -3.662109, -3.860474
1490302194.475963, 1490302194.478376, -0.225952, +0.998108, +0.174866, +10.162354, -0.045776, -3.860474
1490302194.478643, 1490302194.481056, -0.225952, +0.998108, +0.174866, +10.162354, -0.045776, -4.577637
1490302194.481324, 1490302194.483744, -0.225952, +0.998108, +0.174866, +10.604858, +0.122070, -4.577637
1490302194.484012, 1490302194.486331, -0.222839, +0.989685, +0.165710, +10.604858, +0.122070, -0.671387
1490302194.486595, 1490302194.488881, -0.222839, +0.989685, +0.165710, +10.681152, +0.289917, -3.738403
1490302194.489144, 1490302194.491435, -0.222839, +0.989685, +0.165710, +10.681152, +0.289917, -3.738403
1490302194.491696, 1490302194.493985, -0.222839, +0.989685, +0.165710, +9.841919, -0.366211, -3.158569
1490302194.494242, 1490302194.496690, -0.217529, +0.985474, +0.163147, +9.841919, -0.366211, -3.158569
1490302194.496948, 1490302194.499233, -0.217529, +0.985474, +0.163147, +11.001587, -0.488281, -3.738403
1490302194.499494, 1490302194.501780, -0.217529, +0.985474, +0.163147, +11.001587, -0.488281, -3.738403
1490302194.502040, 1490302194.504331, -0.217529, +0.985474, +0.163147, +10.711670, +0.213623, -2.578735
1490302194.504772, 1490302194.507178, -0.218811, +0.973755, +0.162048, +10.711670, +0.213623, -2.578735
1490302194.507446, 1490302194.509859, -0.218811, +0.973755, +0.162048, +9.689331, -0.091553, -2.700806
1490302194.510126, 1490302194.512543, -0.218811, +0.973755, +0.162048, +9.689331, -0.091553, -2.700806
1490302194.512809, 1490302194.515231, -0.218811, +0.978149, +0.165161, +9.323120, +0.000000, -2.502441
