timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1490301847.912860, 1490301847.915272, -0.224487, +1.220764, +0.238953, +10.528564, -0.030518, -4.867554
1490301847.915629, 1490301847.917919, -0.224487, +1.220764, +0.238953, +10.742188, -0.137329, -5.493164
1490301847.918182, 1490301847.920473, -0.224487, +1.220764, +0.238953, +10.742188, -0.137329, -5.493164
1490301847.920734, 1490301847.923014, -0.174316, +0.962402, +0.181458, +11.123657, +0.137329, -5.844116
1490301847.923273, 1490301847.925751, -0.174316, +0.962402, +0.181458, +11.123657, +0.137329, -5.844116
1490301847.926014, 1490301847.928304, -0.174316, +0.962402, +0.181458, +11.123657, -0.137329, -4.425049
1490301847.928566, 1490301847.930852, -0.174316, +0.962402, +0.181458, +9.979248, -0.137329, -4.425049
1490301847.931110, 1490301847.933392, -0.172852, +0.990234, +0.175049, +9.979248, -0.137329, -4.989624
1490301847.933651, 1490301847.936140, -0.172852, +0.990234, +0.175049, +10.620117, -0.045776, -4.989624
1490301847.936404, 1490301847.938697, -0.172852, +0.990234, +0.175049, +10.620117, -0.045776, -4.165649
1490301847.938960, 1490301847.941253, -0.172852, +0.990234, +0.171570, +9.841919, -0.076294, -4.165649
1490301847.941512, 1490301847.943802, -0.177795, +0.989502, +0.171570, +9.841919, -0.076294, -4.165649
1490301847.944060, 1490301847.946409, -0.177795, +0.989502, +0.171570, +9.887695, +0.030518, -4.791260
1490301847.946668, 1490301847.948953, -0.177795, +0.989502, +0.171570, +9.887695, +0.030518, -4.791260
1490301847.949211, 1490301847.951499, -0.177795, +0.988586, +0.177246, +10.101318, +0.228882, -4.119873
1490301847.951760, 1490301847.954049, -0.175232, +0.988586, +0.177246, +10.101318, +0.228882, -4.119873
1490301847.954311, 1490301847.957823, -0.175232, +0.988586, +0.177246, +9.490967, -0.091553, -4.653931
1490301847.958112, 1490301847.960606, -0.175232, +0.988586, +0.177246, +9.490967, -0.091553, -4.653931
1490301847.960882, 1490301847.963300, -0.174316, +0.989502, +0.175964, +9.338379, +0.183105, -4.486084
1490301847.963568, 1490301847.966124, -0.174316, +0.989502, +0.175964, +9.338379, +0.183105, -4.486084
1490301847.966390, 1490301847.968797, -0.174316, +0.989502, +0.175964, +9.429932, -0.076294, -4.684448
1490301847.969063, 1490301847.971463, -0.175232, +0.989868, +0.174866, +9.429932, -0.076294, -4.684448
1490301847.971728, 1490301847.974130, -0.175232, +0.989868, +0.174866, +9.506226, +0.076294, -4.333496
1490301847.974432, 1490301847.976915, -0.175232, +0.989868, +0.174866, +9.506226, +0.076294, -4.333496
1490301847.977182, 1490301847.979578, -0.175232, +0.989868, +0.174866, +9.368896, +0.152588, -4.730225
1490301847.979843, 1490301847.982246, -0.172485, +0.989319, +0.178711, +9.368896, +0.152588, -4.730225
1490301847.982510, 1490301847.984924, -0.172485, +0.989319, +0.178711, +9.460449, +0.488281, -4.623413
1490301847.985220, 1490301847.987633, -0.172485, +0.989319, +0.178711, +9.460449, +0.488281, -4.623413
1490301847.987897, 1490301847.990309, -0.172485, +0.989319, +0.180725, +10.040283, +0.152588, -4.837036
1490301847.990684, 1490301847.993108, -0.173035, +0.986572, +0.180725, +10.040283, +0.152588, -4.837036
1490301847.993380, 1490301847.995769, -0.173035, +0.986572, +0.180725, +9.201050, +0.030518, -4.394531
1490301847.996031, 1490301847.998322, -0.173035, +0.986572, +0.180725, +9.201050, +0.030518, -4.394531
1490301847.998581, 1490301848.000869, -0.174866, +0.986938, +0.177979, +9.994507, +0.152588, -5.218506
1490301848.001127, 1490301848.003415, -0.174866, +0.986938, +0.177979, +9.994507, +0.152588, -5.218506
1490301848.003673, 1490301848.006089, -0.174866, +0.986938, +0.177979, +9.460449, +0.244141, -4.867554
1490301848.006353, 1490301848.008768, -0.174866, +0.986938, +0.177979, +9.460449, +0.244141, -4.867554
1490301848.009034, 1490301848.011448, -0.173950, +0.986755, +0.180725, +9.460449, +0.228882, -4.608154
1490301848.011713, 1490301848.014127, -0.173950, +0.986755, +0.180725, +10.299683, +0.228882, -4.608154
1490301848.014436, 1490301848.016853, -0.173950, +0.986755, +0.180725, +10.299683, -0.518799, -4.425049
1490301848.017283, 1490301848.019699, -0.173950, +0.988403, +0.177429, +9.857178, -0.518799, -4.425049
1490301848.019964, 1490301848.022377, -0.175781, +0.988403, +0.177429, +9.857178, -0.106812, -4.974365
1490301848.022643, 1490301848.025038, -0.175781, +0.988403, +0.177429, +10.070801, -0.106812, -4.974365
1490301848.025299, 1490301848.027595, -0.175781, +0.988403, +0.177429, +10.070801, -0.106812, -4.501343
1490301848.027857, 1490301848.030146, -0.173401, +0.986938, +0.177429, +9.552002, +0.137329, -4.501343
1490301848.030404, 1490301848.032693, -0.173401, +0.986938, +0.177429, +9.552002, +0.137329, -4.501343
1490301848.032950, 1490301848.035359, -0.173401, +0.986938, +0.177429, +10.147095, -0.274658, -4.623413
1490301848.035622, 1490301848.037913, -0.173401, +0.986938, +0.177429, +10.147095, -0.274658, -4.623413
1490301848.038176, 1490301848.040467, -0.175415, +0.990051, +0.175964, +9.262085, -0.045776, -4.684448
1490301848.040726, 1490301848.043013, -0.175415, +0.990051, +0.175964, +9.262085, -0.045776, -4.684448
1490301848.043271, 1490301848.045703, -0.175415, +0.990051, +0.175964, +9.933472, +0.213623, -4.791260
1490301848.045961, 1490301848.048256, -0.175415, +0.990051, +0.175964, +9.933472, +0.213623, -4.791260
1490301848.048513, 1490301848.050804, -0.172668, +0.988403, +0.181641, +9.475708, -0.381470, -4.898071
1490301848.051062, 1490301848.053346, -0.172668, +0.988403, +0.181641, +9.475708, -0.381470, -4.898071
1490301848.053605, 1490301848.055985, -0.172668, +0.988403, +0.181641, +9.597778, +0.030518, -4.745483
1490301848.056252, 1490301848.058667, -0.172668, +0.988953, +0.176697, +9.597778, +0.030518, -4.745483
1490301848.058932, 1490301848.061353, -0.175049, +0.988953, +0.176697, +9.597778, -0.320435, -5.050659
1490301848.061617, 1490301848.064032, -0.175049, +0.988953, +0.176697, +9.933472, -0.320435, -5.050659
1490301848.064298, 1490301848.066727, -0.175049, +0.988953, +0.176697, +9.933472, -0.076294, -4.730225
1490301848.066993, 1490301848.069418, -0.174133, +0.989136, +0.181641, +9.613037, -0.076294, -4.730225
1490301848.069683, 1490301848.072097, -0.174133, +0.989136, +0.181641, +9.613037, -0.076294, -5.096436
1490301848.072362, 1490301848.074853, -0.174133, +0.989136, +0.181641, +10.208130, -0.167847, -5.096436
1490301848.075121, 1490301848.077544, -0.174133, +0.989136, +0.181641, +10.208130, -0.167847, -5.111694
1490301848.077812, 1490301848.080224, -0.174683, +0.989136, +0.181824, +9.521484, -0.167847, -5.111694
1490301848.080490, 1490301848.082905, -0.174683, +0.989136, +0.181824, +9.521484, -0.167847, -5.157471
1490301848.083169, 1490301848.085629, -0.174683, +0.989136, +0.181824, +10.086060, +0.091553, -5.157471
1490301848.085899, 1490301848.088362, -0.178345, +0.988586, +0.176147, +10.086060, +0.091553, -4.806519
1490301848.088625, 1490301848.090912, -0.178345, +0.988586, +0.176147, +9.948730, -0.305176, -4.806519
1490301848.091170, 1490301848.093460, -0.178345, +0.988586, +0.176147, +9.948730, -0.305176, -4.806519
1490301848.093719, 1490301848.096018, -0.178345, +0.988586, +0.176147, +10.192871, -0.076294, -4.882812
1490301848.096281, 1490301848.098568, -0.170288, +0.988586, +0.176697, +10.192871, -0.076294, -4.882812
1490301848.098829, 1490301848.101118, -0.170288, +0.988586, +0.176697, +9.872437, +0.076294, -5.218506
1490301848.101376, 1490301848.103662, -0.170288, +0.988586, +0.176697, +9.872437, +0.076294, -5.218506
1490301848.103920, 1490301848.106431, -0.170288, +0.988586, +0.176697, +9.826660, +0.213623, -4.608154
1490301848.106691, 1490301848.108979, -0.177979, +0.990601, +0.178528, +9.826660, +0.213623, -4.608154
1490301848.109239, 1490301848.111591, -0.177979, +0.990601, +0.178528, +9.902954, +0.061035, -5.340576
1490301848.111851, 1490301848.114139, -0.177979, +0.990601, +0.178528, +9.902954, +0.061035, -5.340576
1490301848.115065, 1490301848.117479, -0.173767, +0.988953, +0.175232, +9.780884, +0.503540, -4.837036
1490301848.117746, 1490301848.120159, -0.173767, +0.988953, +0.175232, +9.780884, +0.503540, -4.837036
1490301848.120426, 1490301848.122840, -0.173767, +0.988953, +0.175232, +9.536743, +0.244141, -5.264282
1490301848.123220, 1490301848.125642, -0.173767, +0.988953, +0.175232, +9.536743, +0.244141, -5.264282
1490301848.125908, 1490301848.128318, -0.170837, +0.986572, +0.173767, +9.674072, +0.061035, -4.943848
1490301848.128583, 1490301848.130999, -0.170837, +0.986572, +0.173767, +9.674072, +0.061035, -4.943848
1490301848.131263, 1490301848.133678, -0.170837, +0.986572, +0.173767, +10.162354, +0.381470, -5.111694
1490301848.133947, 1490301848.136361, -0.170837, +0.986572, +0.181091, +10.162354, +0.381470, -5.111694
1490301848.136629, 1490301848.139042, -0.178528, +0.987122, +0.181091, +10.162354, +0.198364, -5.035400
1490301848.139312, 1490301848.141726, -0.178528, +0.987122, +0.181091, +9.521484, +0.198364, -5.035400
1490301848.141991, 1490301848.144440, -0.178528, +0.987122, +0.181091, +9.521484, +0.274658, -4.943848
1490301848.144698, 1490301848.146992, -0.176147, +0.988770, +0.182739, +9.918213, +0.274658, -4.943848
1490301848.147250, 1490301848.149539, -0.176147, +0.988770, +0.182739, +9.918213, +0.274658, -4.745483
1490301848.149795, 1490301848.152078, -0.176147, +0.988770, +0.182739, +9.094238, -0.076294, -4.745483
1490301848.152337, 1490301848.154669, -0.176147, +0.988770, +0.182739, +9.094238, -0.076294, -4.745483
1490301848.154927, 1490301848.157215, -0.174316, +0.986206, +0.176880, +10.147095, +0.000000, -5.584717
1490301848.157476, 1490301848.159770, -0.174316, +0.986206, +0.176880, +10.147095, +0.000000, -5.584717
1490301848.160032, 1490301848.162319, -0.174316, +0.986206, +0.176880, +9.933472, +0.488281, -4.623413
1490301848.162578, 1490301848.164969, -0.174316, +0.986206, +0.176880, +9.933472, +0.488281, -4.623413
1490301848.165228, 1490301848.167524, -0.175598, +0.988220, +0.179810, +9.384155, +0.122070, -4.943848
1490301848.167783, 1490301848.170074, -0.175598, +0.988220, +0.179810, +9.384155, +0.122070, -4.943848
1490301848.170333, 1490301848.172621, -0.175598, +0.988220, +0.179810, +10.040283, +0.366211, -5.371094
1490301848.172884, 1490301848.175357, -0.175598, +0.988220, +0.179993, +10.040283, +0.366211, -5.371094
1490301848.175627, 1490301848.178042, -0.168640, +0.986572, +0.179993, +9.643555, +0.427246, -4.272461
1490301848.178306, 1490301848.180717, -0.168640, +0.986572, +0.179993, +9.643555, +0.427246, -4.272461
1490301848.180981, 1490301848.183395, -0.168640, +0.986572, +0.179993, +9.094238, -0.137329, -4.852295
1490301848.183659, 1490301848.186090, -0.174133, +0.987122, +0.175415, +9.094238, -0.137329, -4.852295
1490301848.186356, 1490301848.188768, -0.174133, +0.987122, +0.175415, +9.094238, +0.335693, -5.111694
1490301848.189032, 1490301848.191441, -0.174133, +0.987122, +0.175415, +9.933472, +0.335693, -5.111694
1490301848.191705, 1490301848.194117, -0.174133, +0.987122, +0.175415, +9.933472, +0.335693, -4.776001
1490301848.194383, 1490301848.196730, -0.172668, +0.990234, +0.185303, +9.414673, +0.198364, -4.776001
1490301848.196987, 1490301848.199279, -0.172668, +0.990234, +0.185303, +9.414673, +0.198364, -5.065918
1490301848.199535, 1490301848.201828, -0.172668, +0.990234, +0.185303, +9.872437, +0.549316, -5.065918
