timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1490301716.271520, 1490301716.273809, +5.998535, -5.998535, -1.163635, +0.976562, +2.456665, +0.274658
1490301716.274149, 1490301716.276493, +5.998535, -5.998535, -1.163635, +2.883911, +7.965088, -72.463989
1490301716.276754, 1490301716.279642, -0.152710, +1.011841, +0.180908, +2.883911, +7.965088, -72.463989
1490301716.279908, 1490301716.282192, -0.152710, +1.011841, +0.180908, +14.160156, -1.785278, -110.015869
1490301716.282456, 1490301716.284905, -0.152710, +1.011841, +0.180908, +14.160156, -1.785278, -110.015869
1490301716.285279, 1490301716.287575, -0.152710, +1.011841, +0.180908, +12.954712, -1.770020, -106.796265
1490301716.287839, 1490301716.292552, -0.145203, +0.969910, +0.160034, +12.954712, -1.770020, -106.796265
1490301716.293275, 1490301716.296931, -0.145203, +0.969910, +0.160034, +13.183594, -1.312256, -106.246948
1490301716.297207, 1490301716.300100, -0.153076, +0.994080, +0.156921, +13.412476, -1.922607, -106.246948
1490301716.300376, 1490301716.302671, -0.153076, +0.994080, +0.156921, +13.412476, -1.602173, -106.185913
1490301716.302944, 1490301716.305392, -0.153076, +0.994080, +0.156921, +13.885498, -1.602173, -106.185913
1490301716.305652, 1490301716.307943, -0.153076, +0.994080, +0.152710, +13.885498, -1.663208, -106.277466
1490301716.308208, 1490301716.310499, -0.154907, +0.994446, +0.152710, +13.824463, -1.663208, -106.277466
1490301716.310764, 1490301716.313055, -0.154907, +0.994446, +0.152710, +13.824463, -1.495361, -106.460571
1490301716.313319, 1490301716.315629, -0.154907, +0.994446, +0.152710, +13.671875, -1.495361, -106.460571
1490301716.315927, 1490301716.318220, -0.154907, +0.995544, +0.148682, +13.671875, -1.495361, -106.201172
1490301716.318484, 1490301716.320770, -0.157654, +0.995544, +0.148682, +13.198853, -1.571655, -106.201172
1490301716.321033, 1490301716.323323, -0.157654, +0.995544, +0.148682, +13.198853, -1.571655, -106.323242
1490301716.323586, 1490301716.325886, -0.157654, +0.995544, +0.148682, +12.939453, -1.647949, -106.323242
1490301716.326149, 1490301716.328439, -0.156372, +0.992432, +0.146667, +12.939453, -1.647949, -106.323242
1490301716.328704, 1490301716.330990, -0.156372, +0.992432, +0.146667, +13.458252, -1.678467, -106.201172
1490301716.331255, 1490301716.333540, -0.156372, +0.992432, +0.146667, +13.458252, -1.678467, -106.201172
1490301716.333804, 1490301716.336164, -0.156372, +0.992432, +0.146667, +14.190674, -1.525879, -106.552124
1490301716.336428, 1490301716.338718, -0.153076, +0.998474, +0.151611, +14.190674, -1.525879, -106.552124
1490301716.338983, 1490301716.341272, -0.153076, +0.998474, +0.151611, +13.641357, -1.083374, -106.262207
1490301716.341536, 1490301716.343821, -0.153076, +0.998474, +0.151611, +13.641357, -1.083374, -106.262207
1490301716.344084, 1490301716.346518, -0.153076, +0.998474, +0.151611, +13.549805, -1.159668, -106.185913
1490301716.346789, 1490301716.349189, -0.155640, +0.994629, +0.142639, +13.549805, -1.159668, -106.185913
1490301716.349458, 1490301716.351863, -0.155640, +0.994629, +0.142639, +14.205933, -1.541138, -106.292725
1490301716.352132, 1490301716.354544, -0.155640, +0.994629, +0.142639, +14.205933, -1.541138, -106.292725
1490301716.354808, 1490301716.357097, -0.155640, +0.994446, +0.143372, -172.821045, +12.817383, +402.053833
1490301716.357365, 1490301716.359690, -0.156921, +0.994446, +0.143372, -172.821045, +12.817383, +402.053833
1490301716.359956, 1490301716.362370, -0.156921, +0.994446, +0.143372, +186.752319, -13.885498, -498.977661
1490301716.362639, 1490301716.364964, -0.156921, +0.994446, +0.143372, +186.752319, -13.885498, -498.977661
1490301716.365237, 1490301716.367644, -0.157104, +0.996643, +0.149963, +12.191772, -1.312256, -98.129272
1490301716.367915, 1490301716.370311, -0.157104, +0.996643, +0.149963, +12.191772, -1.312256, -98.129272
1490301716.370581, 1490301716.372979, -0.157104, +0.996643, +0.149963, +12.619019, -1.327515, -106.628418
1490301716.373248, 1490301716.375663, -0.157104, +0.996643, +0.149963, +12.619019, -1.327515, -106.628418
1490301716.376082, 1490301716.378481, -0.151978, +0.992249, +0.143372, +13.092041, -1.693726, -106.445312
1490301716.378753, 1490301716.381149, -0.151978, +0.992249, +0.143372, +13.092041, -1.693726, -106.445312
1490301716.381417, 1490301716.383821, -0.151978, +0.992249, +0.143372, +13.137817, -1.358032, -106.231689
1490301716.384091, 1490301716.386506, -0.151978, +0.990601, +0.135315, +13.137817, -1.358032, -106.231689
1490301716.386778, 1490301716.389175, -0.158936, +0.990601, +0.135315, +12.969971, -1.571655, -106.170654
1490301716.389446, 1490301716.391848, -0.158936, +0.990601, +0.135315, +12.969971, -1.571655, -106.170654
1490301716.392117, 1490301716.394526, -0.158936, +0.990601, +0.135315, +13.610840, -1.800537, -106.491089
1490301716.394792, 1490301716.397091, -0.157104, +0.995911, +0.140076, +13.610840, -1.800537, -106.491089
1490301716.397356, 1490301716.399639, -0.157104, +0.995911, +0.140076, +13.259888, -1.632690, -106.384277
1490301716.399904, 1490301716.402193, -0.157104, +0.995911, +0.140076, +13.259888, -1.632690, -106.384277
1490301716.402457, 1490301716.405377, -0.157104, +0.995911, +0.140076, +12.817383, -1.495361, -106.094360
1490301716.405644, 1490301716.407933, -0.156372, +0.995544, +0.139343, +12.817383, -1.495361, -106.094360
1490301716.408197, 1490301716.410492, -0.156372, +0.995544, +0.139343, +13.168335, -1.647949, -106.307983
1490301716.410755, 1490301716.413044, -0.156372, +0.995544, +0.139343, +13.168335, -1.647949, -106.307983
1490301716.413306, 1490301716.415787, -0.156372, +0.995361, +0.134216, +14.114380, -1.937866, -104.644775
1490301716.416053, 1490301716.418348, -0.152161, +0.995361, +0.134216, +14.114380, -1.937866, -104.644775
1490301716.418613, 1490301716.420899, -0.152161, +0.995361, +0.134216, +14.114380, -2.227783, -89.355469
1490301716.421162, 1490301716.423448, -0.152161, +0.995361, +0.134216, +14.648438, -2.227783, -89.355469
1490301716.423711, 1490301716.426007, -0.157471, +0.994812, +0.139709, +14.648438, -2.227783, -81.436157
1490301716.426273, 1490301716.428560, -0.157471, +0.994812, +0.139709, +14.343262, -0.671387, -81.436157
1490301716.428825, 1490301716.431115, -0.157471, +0.994812, +0.139709, +14.343262, -0.671387, -81.436157
1490301716.431378, 1490301716.433662, -0.157471, +0.994812, +0.139709, +12.557983, -0.198364, -78.475952
1490301716.433927, 1490301716.436221, -0.156006, +0.995911, +0.148499, +12.557983, -0.198364, -78.475952
1490301716.436485, 1490301716.438775, -0.156006, +0.995911, +0.148499, +12.283325, -0.518799, -76.400757
1490301716.439038, 1490301716.441321, -0.156006, +0.995911, +0.148499, +12.283325, -0.518799, -76.400757
1490301716.441585, 1490301716.443872, -0.156006, +0.995911, +0.148499, +12.481689, -0.457764, -74.569702
1490301716.444135, 1490301716.446551, -0.156555, +0.996826, +0.141907, +12.481689, -0.457764, -74.569702
1490301716.446822, 1490301716.449242, -0.156555, +0.996826, +0.141907, +12.573242, +0.549316, -70.938110
1490301716.449512, 1490301716.451930, -0.156555, +0.996826, +0.141907, +12.573242, +0.549316, -70.938110
1490301716.452204, 1490301716.454623, -0.156555, +0.995544, +0.148315, +11.138916, +1.663208, -66.528320
1490301716.454888, 1490301716.457267, -0.158386, +0.995544, +0.148315, +11.138916, +1.663208, -66.528320
1490301716.457532, 1490301716.459827, -0.158386, +0.995544, +0.148315, +8.972168, +1.846313, -61.477661
1490301716.460088, 1490301716.462385, -0.158386, +0.995544, +0.148315, +8.972168, +1.846313, -61.477661
1490301716.462646, 1490301716.465023, -0.153625, +1.000305, +0.145935, +8.972168, +1.846313, -56.533813
