timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1490335944.909045, 1490335944.913026, -0.142090, +1.004883, +0.152893, -0.793457, +11.138916, -80.139160
1490335944.913384, 1490335944.915960, -0.163696, +1.004883, +0.152893, -0.793457, -3.524780, -146.713257
1490335944.916231, 1490335944.918658, -0.163696, +1.004883, +0.152893, +18.737793, -3.524780, -146.713257
1490335944.918924, 1490335944.921213, -0.163696, +1.004883, +0.148315, +18.737793, -1.663208, -109.909058
1490335944.921478, 1490335944.923765, -0.170471, +0.965149, +0.148315, +12.832642, -1.663208, -109.909058
1490335944.924029, 1490335944.926317, -0.170471, +0.965149, +0.148315, +12.832642, -1.663208, -106.201172
1490335944.926582, 1490335944.928985, -0.170471, +0.965149, +0.148315, +14.068604, -1.693726, -106.201172
1490335944.929250, 1490335944.931532, -0.170471, +1.003418, +0.144104, +14.068604, -1.693726, -106.262207
1490335944.931796, 1490335944.934081, -0.169006, +1.003418, +0.144104, +14.083862, -1.815796, -106.262207
1490335944.934346, 1490335944.936623, -0.169006, +1.003418, +0.144104, +14.083862, -1.815796, -106.262207
1490335944.936888, 1490335944.939321, -0.169006, +1.003418, +0.144104, +13.244629, -1.449585, -106.307983
1490335944.939585, 1490335944.941865, -0.178345, +1.003601, +0.148682, +13.244629, -1.449585, -106.307983
1490335944.942129, 1490335944.944412, -0.178345, +1.003601, +0.148682, +13.183594, -1.663208, -106.048584
1490335944.944675, 1490335944.946959, -0.178345, +1.003601, +0.148682, +13.183594, -1.663208, -106.048584
1490335944.947340, 1490335944.949742, -0.178345, +1.003601, +0.148682, +13.351440, -1.419067, -106.140137
1490335944.950014, 1490335944.952412, -0.170837, +1.005432, +0.147034, +13.351440, -1.419067, -106.140137
1490335944.952682, 1490335944.955082, -0.170837, +1.005432, +0.147034, +14.419556, -1.235962, -106.460571
1490335944.955351, 1490335944.957753, -0.170837, +1.005432, +0.147034, +14.419556, -1.235962, -106.460571
1490335944.958024, 1490335944.960423, -0.170837, +1.005432, +0.149780, +13.961792, -1.266479, -106.430054
1490335944.960693, 1490335944.963092, -0.169189, +0.996094, +0.149780, +13.961792, -1.266479, -106.430054
1490335944.963362, 1490335944.965760, -0.169189, +0.996094, +0.149780, +13.626099, -1.754761, -106.185913
1490335944.966032, 1490335944.968441, -0.169189, +0.996094, +0.149780, +13.626099, -1.754761, -106.185913
1490335944.968711, 1490335944.971109, -0.165161, +0.994080, +0.141907, +13.610840, -1.724243, -106.323242
1490335944.971378, 1490335944.973777, -0.165161, +0.994080, +0.141907, +13.610840, -1.724243, -106.323242
1490335944.974048, 1490335944.976447, -0.165161, +0.994080, +0.141907, +12.954712, -1.632690, -106.155396
1490335944.976718, 1490335944.979107, -0.165161, +0.994080, +0.141907, +12.954712, -1.632690, -106.155396
1490335944.979377, 1490335944.981753, -0.164429, +0.991699, +0.140991, +13.397217, -1.510620, -105.957031
1490335944.982021, 1490335944.984546, -0.164429, +0.991699, +0.140991, +13.397217, -1.510620, -105.987549
1490335944.984816, 1490335944.987296, -0.164429, +0.991699, +0.140991, +13.458252, -1.556396, -105.987549
1490335944.987569, 1490335944.989983, -0.164429, +0.993347, +0.137878, +13.458252, -1.556396, -106.353760
1490335944.990255, 1490335944.992665, -0.171570, +0.993347, +0.137878, +13.351440, -1.724243, -106.353760
1490335944.992936, 1490335944.995351, -0.171570, +0.993347, +0.137878, +13.351440, -1.724243, -109.527588
1490335944.995622, 1490335944.998042, -0.171570, +0.993347, +0.137878, +13.427734, -1.953125, -109.527588
1490335944.998313, 1490335945.000727, -0.166077, +0.999207, +0.131836, +13.427734, -1.953125, -102.066040
1490335945.000998, 1490335945.003412, -0.166077, +0.999207, +0.131836, +15.548706, -2.197266, -102.066040
1490335945.003685, 1490335945.006094, -0.166077, +0.999207, +0.131836, +15.548706, -2.197266, -90.347290
1490335945.006365, 1490335945.008824, -0.166077, +0.999207, +0.132385, +15.960693, -2.395630, -91.888428
1490335945.009096, 1490335945.011509, -0.162964, +1.002869, +0.132385, +15.960693, -2.395630, -91.888428
1490335945.011936, 1490335945.014345, -0.162964, +1.002869, +0.132385, +15.762329, -2.288818, -91.476440
1490335945.014616, 1490335945.017033, -0.162964, +1.002869, +0.132385, +15.762329, -2.288818, -91.476440
1490335945.017297, 1490335945.019583, -0.160400, +1.006531, +0.133484, +15.686035, -2.517700, -91.644287
1490335945.019847, 1490335945.022143, -0.160400, +1.006531, +0.133484, +15.686035, -2.517700, -91.644287
1490335945.022406, 1490335945.024691, -0.160400, +1.006531, +0.133484, +16.235352, -2.426147, -91.629028
1490335945.024955, 1490335945.027488, -0.160400, +1.006531, +0.133484, +16.235352, -2.426147, -91.629028
1490335945.027773, 1490335945.030079, -0.154541, +1.005798, +0.134216, +16.006470, -1.708984, -90.881348
1490335945.030347, 1490335945.032632, -0.154541, +1.005798, +0.134216, +16.006470, -1.708984, -90.881348
1490335945.032895, 1490335945.035186, -0.154541, +1.005798, +0.134216, +15.823364, -1.296997, -89.218140
1490335945.035448, 1490335945.038086, -0.154541, +1.005798, +0.134216, +15.823364, -1.296997, -89.218140
1490335945.038350, 1490335945.041315, -0.155457, +1.013489, +0.136047, +15.090942, -1.342773, -87.448120
1490335945.041582, 1490335945.043873, -0.155457, +1.013489, +0.136047, +15.090942, -1.342773, -87.448120
1490335945.044138, 1490335945.046422, -0.155457, +1.013489, +0.136047, +14.266968, -1.785278, -86.105347
1490335945.046688, 1490335945.049106, -0.162781, +1.006714, +0.140259, +14.266968, -1.785278, -86.105347
1490335945.049372, 1490335945.051659, -0.162781, +1.006714, +0.140259, +13.778687, -2.288818, -86.059570
1490335945.051923, 1490335945.054205, -0.162781, +1.006714, +0.140259, +13.778687, -2.288818, -86.059570
1490335945.054469, 1490335945.056751, -0.162781, +1.006714, +0.140259, +13.778687, -2.120972, -85.189819
1490335945.057085, 1490335945.059371, -0.165527, +0.999756, +0.138245, +14.114380, -2.120972, -85.189819
1490335945.059636, 1490335945.061917, -0.165527, +0.999756, +0.138245, +14.114380, -2.120972, -83.831787
1490335945.062182, 1490335945.064470, -0.165527, +0.999756, +0.138245, +14.846802, -1.663208, -83.831787
1490335945.064733, 1490335945.067065, -0.165527, +0.999756, +0.135498, +14.846802, -1.663208, -83.831787
1490335945.067329, 1490335945.069612, -0.169189, +0.987122, +0.135498, +14.099121, -0.854492, -80.810547
1490335945.069877, 1490335945.072162, -0.169189, +0.987122, +0.135498, +14.099121, -0.854492, -80.810547
1490335945.072427, 1490335945.074715, -0.169189, +0.987122, +0.135498, +12.451172, -0.976562, -77.545166
1490335945.074980, 1490335945.077420, -0.169189, +0.984741, +0.127258, +12.451172, -0.976562, -77.545166
1490335945.077687, 1490335945.079964, -0.177429, +0.984741, +0.127258, +12.207031, -1.556396, -76.187134
1490335945.080228, 1490335945.082593, -0.177429, +0.984741, +0.127258, +12.207031, -1.556396, -76.187134
1490335945.082858, 1490335945.085148, -0.177429, +0.984741, +0.127258, +12.786865, -0.991821, -73.593140
1490335945.085413, 1490335945.087828, -0.162964, +0.988037, +0.119385, +12.786865, -0.991821, -73.593140
1490335945.088098, 1490335945.090475, -0.162964, +0.988037, +0.119385, +12.557983, -0.045776, -70.266724
1490335945.090744, 1490335945.093225, -0.162964, +0.988037, +0.119385, +12.557983, -0.045776, -70.266724
1490335945.093496, 1490335945.095871, -0.162964, +0.988037, +0.119385, +11.657715, +0.732422, -65.643311
1490335945.096901, 1490335945.099333, -0.167725, +0.991333, +0.122681, +11.657715, +0.732422, -65.643311
1490335945.099607, 1490335945.102021, -0.167725, +0.991333, +0.122681, +9.475708, +1.464844, -59.402466
1490335945.102291, 1490335945.104704, -0.167725, +0.991333, +0.122681, +9.475708, +1.464844, -59.402466
1490335945.104974, 1490335945.107440, -0.158203, +0.996826, +0.123047, +8.361816, +1.113892, -54.092407
1490335945.107712, 1490335945.110122, -0.158203, +0.996826, +0.123047, +8.361816, +1.113892, -54.092407
1490335945.110392, 1490335945.112809, -0.158203, +0.996826, +0.123047, +9.277344, +0.885010, -48.095703
1490335945.113079, 1490335945.115487, -0.158203, +0.996826, +0.123047, +9.277344, +0.885010, -48.095703
1490335945.115886, 1490335945.118310, -0.162415, +1.007446, +0.129089, +8.819580, +1.464844, -41.198730
1490335945.118580, 1490335945.121001, -0.162415, +1.007446, +0.129089, +8.819580, +1.464844, -41.198730
1490335945.121269, 1490335945.123678, -0.162415, +1.007446, +0.129089, +7.904053, +1.052856, -34.957886
1490335945.123944, 1490335945.126359, -0.162415, +1.009094, +0.129639, +7.904053, +1.052856, -34.957886
1490335945.126627, 1490335945.128949, -0.161499, +1.009094, +0.129639, +7.904053, +0.686646, -29.129028
1490335945.129209, 1490335945.131491, -0.161499, +1.009094, +0.129639, +8.453369, +0.686646, -29.129028
1490335945.131753, 1490335945.134041, -0.161499, +1.009094, +0.129639, +8.453369, +0.686646, -21.194458
1490335945.134302, 1490335945.136588, -0.173035, +1.007629, +0.126892, +7.553101, +0.625610, -21.194458
1490335945.136849, 1490335945.139279, -0.173035, +1.007629, +0.126892, +7.553101, +0.625610, -13.381958
1490335945.139541, 1490335945.141835, -0.173035, +1.007629, +0.126892, +8.728027, -0.915527, -13.092041
1490335945.142096, 1490335945.144386, -0.173035, +1.007629, +0.126892, +8.728027, -0.915527, -13.092041
1490335945.144647, 1490335945.146934, -0.185486, +0.996460, +0.113342, +10.696411, -1.464844, -7.324219
1490335945.147371, 1490335945.149750, -0.185486, +0.996460, +0.113342, +10.696411, -1.464844, -7.324219
1490335945.150018, 1490335945.152394, -0.185486, +0.996460, +0.113342, +9.613037, -1.586914, -5.081177
1490335945.152659, 1490335945.155211, -0.185486, +0.996460, +0.110046, +9.613037, -1.586914, -5.081177
1490335945.155473, 1490335945.158005, -0.191162, +0.992798, +0.110046, +10.284424, -1.159668, -5.432129
1490335945.158268, 1490335945.160553, -0.191162, +0.992798, +0.110046, +10.284424, -1.159668, -5.432129
1490335945.160813, 1490335945.163100, -0.191162, +0.992798, +0.110046, +9.216309, -0.564575, -4.730225
1490335945.163359, 1490335945.165640, -0.208740, +0.998108, +0.111145, +9.216309, -0.564575, -4.730225
1490335945.165900, 1490335945.168269, -0.208740, +0.998108, +0.111145, +9.490967, +0.366211, -5.203247
1490335945.168527, 1490335945.170815, -0.208740, +0.998108, +0.111145, +9.490967, +0.366211, -5.203247
1490335945.171074, 1490335945.173361, -0.208740, +0.998108, +0.111145, +9.490967, +1.403809, -3.692627
1490335945.173619, 1490335945.175906, -0.197754, +1.006348, +0.124329, +9.017944, +1.403809, -3.692627
1490335945.176162, 1490335945.178453, -0.197754, +1.006348, +0.124329, +9.017944, +1.403809, -3.250122
1490335945.178711, 1490335945.180992, -0.197754, +1.006348, +0.124329, +8.728027, +1.647949, -3.250122
