Stride_Max,Stride_Min,Period
2.036133,-2.686340,        0.8475123644
4.153381,-0.236572,        0.8275490999
4.940369,-1.699036,        0.8793759346
4.358459,-2.884644,        0.8576405048
4.034180,-1.342529,        0.8861324787
5.184631,-2.273071,        0.8375051022
5.422302,-0.335266,        0.8670819998
4.009644,-1.476562,        0.9063818455
4.305908,0.028564,        0.8858366013
4.356262,-1.408997,        0.8598829508
4.853394,-1.784912,        0.8770411015
4.795715,-0.406494,        0.8559318781
5.187744,-1.791687,        0.8975615501
4.913269,-2.555054,        0.8768365383
3.361633,-0.074341,        0.8977639675
3.933838,-1.360291,        0.8767020702
4.213989,-0.675476,        0.8576898575
3.511780,-1.289062,        0.8980035782
3.853271,-1.094421,        0.9347079992
2.964478,-1.432251,        0.1082050800
3.063171,-1.594666,        1.0425089598
