timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1493765554.499444, 1493765554.501781, +0.014465, +1.042969, +0.646362, +12.466431, -0.198364, -6.134033
1493765554.502140, 1493765554.508761, +0.040283, +1.068787, +0.646362, +13.031006, +0.564575, -6.912231
1493765554.509056, 1493765554.511896, +0.040283, +0.834412, +0.499512, +12.969971, +0.564575, -6.912231
1493765554.512179, 1493765554.515307, +0.026550, +0.835693, +0.499512, +12.344360, +0.427246, -4.928589
1493765554.515590, 1493765554.517896, +0.026550, +0.835693, +0.499512, +12.344360, +0.427246, -4.928589
1493765554.518167, 1493765554.520570, +0.026550, +0.835693, +0.499512, +12.451172, -0.122070, -3.784180
1493765554.520845, 1493765554.523239, +0.021973, +0.847046, +0.522766, +12.451172, -0.122070, -3.784180
1493765554.523518, 1493765554.525818, +0.021973, +0.847046, +0.522766, +13.671875, -0.885010, -4.287720
1493765554.526090, 1493765554.528394, +0.021973, +0.847046, +0.522766, +13.671875, -0.885010, -4.287720
1493765554.528664, 1493765554.531197, +0.021973, +0.847046, +0.517456, +13.671875, -1.922607, -4.058838
1493765554.531468, 1493765554.533774, +0.014832, +0.842651, +0.517456, +12.313843, -1.922607, -4.058838
1493765554.534043, 1493765554.536349, +0.014832, +0.842651, +0.517456, +12.313843, -2.059937, -2.914429
1493765554.536616, 1493765554.538919, +0.014832, +0.842651, +0.517456, +12.725830, -2.059937, -2.914429
1493765554.539190, 1493765554.541568, +0.027649, +0.836060, +0.512512, +12.725830, -2.059937, -2.502441
1493765554.541840, 1493765554.544143, +0.027649, +0.836060, +0.512512, +13.534546, -1.815796, -2.502441
1493765554.544414, 1493765554.546717, +0.027649, +0.836060, +0.512512, +13.534546, -1.815796, -2.502441
1493765554.546986, 1493765554.549288, +0.027649, +0.836060, +0.512512, +13.916016, -0.671387, -2.700806
1493765554.549558, 1493765554.552061, +0.026367, +0.832397, +0.534119, +13.916016, -0.671387, -2.700806
1493765554.552338, 1493765554.554772, +0.026367, +0.832397, +0.534119, +13.381958, -0.869751, -3.402710
1493765554.555050, 1493765554.557483, +0.026367, +0.832397, +0.534119, +13.381958, -0.869751, -3.402710
1493765554.557759, 1493765554.560188, +0.026367, +0.832397, +0.536133, +14.083862, -2.639771, -2.853394
1493765554.560477, 1493765554.562907, +0.018311, +0.838440, +0.536133, +14.083862, -2.639771, -2.853394
1493765554.563184, 1493765554.565613, +0.018311, +0.838440, +0.536133, +15.350342, -4.211426, -2.822876
1493765554.565889, 1493765554.568491, +0.018311, +0.838440, +0.536133, +15.350342, -4.211426, -2.822876
1493765554.568761, 1493765554.571163, +0.009888, +0.854736, +0.513428, +15.441895, -6.423950, -2.761841
1493765554.571439, 1493765554.573835, +0.009888, +0.854736, +0.513428, +15.441895, -6.423950, -2.761841
1493765554.574113, 1493765554.576737, +0.009888, +0.854736, +0.513428, +16.738892, -5.874634, -1.907349
1493765554.577009, 1493765554.579314, +0.009888, +0.854736, +0.513428, +16.738892, -5.874634, -1.907349
1493765554.579585, 1493765554.581954, +0.008240, +0.856384, +0.483215, +18.356323, -5.187988, -2.182007
1493765554.582225, 1493765554.584523, +0.008240, +0.856384, +0.483215, +18.356323, -5.187988, -2.182007
1493765554.584794, 1493765554.587096, +0.008240, +0.856384, +0.483215, +19.927979, -3.494263, -0.885010
1493765554.587366, 1493765554.589673, +0.008240, +0.856384, +0.485046, +19.927979, -3.494263, -0.885010
1493765554.589943, 1493765554.592302, +0.008057, +0.856384, +0.485046, +22.308350, -2.471924, -1.525879
1493765554.592572, 1493765554.594878, +0.008057, +0.856384, +0.485046, +22.308350, -2.471924, -1.525879
1493765554.595147, 1493765554.597455, +0.008057, +0.856384, +0.485046, +26.214600, -0.961304, -0.625610
1493765554.597726, 1493765554.600029, +0.007690, +0.885864, +0.454102, +26.748657, -0.961304, -0.625610
1493765554.600300, 1493765554.602603, +0.007690, +0.885864, +0.454102, +26.748657, +2.944946, +1.327515
1493765554.602873, 1493765554.605177, +0.007690, +0.885864, +0.454102, +29.907227, +2.349854, +1.327515
1493765554.605448, 1493765554.607749, +0.007690, +0.885864, +0.454102, +29.907227, +2.349854, +1.327515
1493765554.608175, 1493765554.610487, +0.002197, +0.873047, +0.485413, +23.010254, +5.081177, +3.234863
1493765554.610759, 1493765554.613059, +0.002197, +0.873047, +0.485413, +23.010254, +5.081177, +3.234863
