timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494288376.536331, 1494288376.538582, -0.200684, +1.020447, -0.117554, +0.122070, +1.663208, +1.083374
1494288376.538929, 1494288376.541182, -0.238403, +1.225342, -0.152344, +0.122070, +352.828979, +256.393433
1494288376.541451, 1494288376.547848, -0.238403, +1.225342, -0.152344, -215.301514, -358.108521, -254.470825
1494288376.548315, 1494288376.550690, -0.173218, +1.005615, -0.136414, +213.455200, -357.772827, -254.470825
1494288376.551030, 1494288376.554032, -0.173218, +1.005615, -0.136414, -0.976562, -3.417969, -1.480103
1494288376.554298, 1494288376.556595, -0.173218, +1.005615, -0.136414, -0.976562, -3.417969, -2.075195
1494288376.556853, 1494288376.559209, -0.173218, +1.005615, -0.136414, -1.571655, -4.379272, -2.075195
1494288376.559467, 1494288376.561756, -0.170471, +1.054688, -0.112244, -1.571655, -4.379272, -3.341675
1494288376.562012, 1494288376.564303, -0.170471, +1.054688, -0.112244, -1.556396, -4.486084, -3.341675
1494288376.564561, 1494288376.566855, -0.170471, +1.054688, -0.112244, -1.556396, -4.486084, -3.341675
1494288376.567110, 1494288376.569474, -0.170471, +1.054688, -0.153076, -2.288818, -4.531860, -3.494263
1494288376.569732, 1494288376.572022, -0.156372, +1.056519, -0.153076, -2.288818, -4.531860, -3.494263
1494288376.572279, 1494288376.574574, -0.156372, +1.056519, -0.153076, -2.838135, -2.487183, -3.677368
1494288376.574830, 1494288376.577126, -0.156372, +1.056519, -0.153076, -2.838135, -2.487183, -3.677368
1494288376.577381, 1494288376.579857, -0.156372, +1.056519, -0.145020, -3.570557, +2.212524, -3.662109
1494288376.580115, 1494288376.582411, -0.217346, +1.044983, -0.145020, -3.570557, +2.212524, -3.662109
1494288376.582668, 1494288376.584964, -0.217346, +1.044983, -0.145020, -4.150391, +3.814697, -3.448486
1494288376.585220, 1494288376.587519, -0.217346, +1.044983, -0.145020, -4.150391, +3.814697, -3.448486
1494288376.587787, 1494288376.590084, -0.217346, +0.998108, -0.084412, -3.967285, +2.380371, -3.021240
1494288376.590341, 1494288376.592641, -0.201599, +1.027588, -0.084412, -3.967285, +2.380371, -3.021240
1494288376.592899, 1494288376.595200, -0.201599, +1.027588, -0.084412, -2.670288, +2.227783, -2.731323
1494288376.595457, 1494288376.597807, -0.201599, +1.027588, -0.084412, -2.670288, +2.227783, -2.731323
1494288376.598072, 1494288376.600504, -0.201599, +1.031799, -0.101257, -2.761841, +2.578735, -3.036499
1494288376.600769, 1494288376.603199, -0.219177, +1.031799, -0.101257, -2.761841, +2.578735, -3.036499
1494288376.603464, 1494288376.605892, -0.219177, +1.031799, -0.101257, -2.990723, +1.403809, -2.655029
1494288376.606157, 1494288376.608601, -0.219177, +1.031799, -0.101257, -2.990723, +1.403809, -2.655029
1494288376.608865, 1494288376.611293, -0.201965, +1.032532, -0.102905, -2.471924, +0.518799, -1.815796
1494288376.611558, 1494288376.613988, -0.201965, +1.032532, -0.102905, -2.471924, +0.518799, -1.815796
1494288376.614252, 1494288376.616680, -0.201965, +1.032532, -0.102905, -2.716064, -0.122070, -2.059937
1494288376.616945, 1494288376.619299, -0.201965, +1.032532, -0.102905, -2.716064, -0.122070, -2.059937
1494288376.619558, 1494288376.621863, -0.197388, +1.034180, -0.119934, -3.036499, -0.778198, -2.822876
1494288376.622121, 1494288376.624419, -0.197388, +1.034180, -0.119934, -3.036499, -0.778198, -2.822876
1494288376.624677, 1494288376.627132, -0.197388, +1.034180, -0.119934, -3.173828, -1.312256, -3.173828
1494288376.627398, 1494288376.629830, -0.197388, +1.034180, -0.119934, -3.173828, -1.312256, -3.173828
1494288376.630095, 1494288376.632521, -0.186951, +1.012756, -0.124878, -3.082275, -1.647949, -3.372192
1494288376.632785, 1494288376.635437, -0.186951, +1.012756, -0.124878, -3.082275, -1.647949, -3.265381
1494288376.635702, 1494288376.638967, -0.186951, +1.012756, -0.124878, -2.853394, -1.373291, -3.265381
1494288376.639234, 1494288376.641661, -0.201050, +0.998108, -0.143921, -3.097534, -0.915527, -3.082275
1494288376.641926, 1494288376.644357, -0.201050, +0.998108, -0.143921, -3.097534, -0.915527, -3.082275
1494288376.644773, 1494288376.647200, -0.201050, +0.998108, -0.143921, -2.990723, +2.349854, -2.105713
1494288376.647467, 1494288376.649901, -0.201050, +0.998108, -0.143921, -2.990723, +2.349854, -2.105713
1494288376.650166, 1494288376.652589, -0.190430, +0.999573, -0.159485, -3.494263, +9.826660, -0.396729
1494288376.652856, 1494288376.655279, -0.190430, +0.999573, -0.159485, -3.494263, +9.826660, -0.396729
1494288376.655544, 1494288376.657983, -0.190430, +0.999573, -0.159485, -3.738403, +19.546509, +1.205444
1494288376.658253, 1494288376.660675, -0.190430, +0.999573, -0.159485, -3.738403, +19.546509, +1.205444
1494288376.660945, 1494288376.663363, -0.146851, +0.986023, -0.141724, -4.806519, +37.551880, +3.585815
1494288376.663631, 1494288376.666060, -0.146851, +0.986023, -0.141724, -4.806519, +37.551880, +3.585815
1494288376.666329, 1494288376.668716, -0.146851, +0.986023, -0.141724, -6.332397, +48.202515, +5.035400
1494288376.668978, 1494288376.671902, -0.146851, +0.892273, +0.043213, -6.332397, +48.202515, +5.035400
1494288376.672169, 1494288376.674461, -0.287476, +0.898499, +0.043213, -4.501343, +37.582397, +4.852295
1494288376.674723, 1494288376.677012, -0.287476, +0.898499, +0.043213, -4.501343, +37.582397, +4.852295
1494288376.677272, 1494288376.679662, -0.287476, +0.898499, +0.043213, -3.280640, +29.220581, +3.814697
1494288376.679923, 1494288376.682662, -0.325012, +0.949402, +0.009521, -3.280640, +29.220581, +3.814697
1494288376.682928, 1494288376.685231, -0.325012, +0.949402, +0.009521, -2.761841, +25.085449, +3.204346
1494288376.685494, 1494288376.687798, -0.325012, +0.949402, +0.009521, -2.761841, +25.085449, +3.204346
1494288376.688059, 1494288376.690358, -0.325012, +0.949402, +0.009521, -1.571655, +22.918701, +3.585815
1494288376.690621, 1494288376.692920, -0.205444, +0.944458, -0.103821, -1.571655, +22.918701, +3.585815
1494288376.693181, 1494288376.695478, -0.205444, +0.944458, -0.103821, -1.602173, +24.765015, +3.295898
1494288376.695740, 1494288376.698044, -0.205444, +0.944458, -0.103821, -1.602173, +24.765015, +3.295898
1494288376.698308, 1494288376.700602, -0.205444, +0.944458, -0.103821, -2.288818, +23.101807, +2.960205
1494288376.700865, 1494288376.703157, -0.247925, +1.003235, -0.141174, -2.288818, +23.101807, +2.960205
1494288376.703420, 1494288376.705717, -0.247925, +1.003235, -0.141174, -2.655029, +21.514893, +2.059937
1494288376.705979, 1494288376.708396, -0.247925, +1.003235, -0.141174, -2.655029, +21.514893, +2.059937
1494288376.708657, 1494288376.710951, -0.247925, +1.003235, -0.141174, -2.838135, +20.065308, +1.678467
1494288376.711211, 1494288376.713509, -0.202148, +1.016602, -0.164978, -2.838135, +20.065308, +1.678467
1494288376.713770, 1494288376.716061, -0.202148, +1.016602, -0.164978, -2.624512, +20.492554, +1.449585
1494288376.716321, 1494288376.718630, -0.202148, +1.016602, -0.164978, -2.624512, +20.492554, +1.449585
1494288376.718890, 1494288376.721185, -0.202148, +1.016602, -0.164978, -2.471924, +20.080566, +0.869751
1494288376.721446, 1494288376.723738, -0.239502, +0.977783, -0.129272, -2.471924, +20.080566, +0.869751
1494288376.723999, 1494288376.726297, -0.239502, +0.977783, -0.129272, -1.815796, +17.349243, +0.564575
1494288376.726558, 1494288376.729025, -0.239502, +0.977783, -0.129272, -1.815796, +17.349243, +0.564575
1494288376.729286, 1494288376.731578, -0.239502, +0.977783, -0.129272, -1.083374, +14.785767, +0.488281
1494288376.731839, 1494288376.734132, -0.257996, +0.960205, -0.069031, -1.083374, +14.785767, +0.488281
1494288376.734394, 1494288376.736686, -0.257996, +0.960205, -0.069031, -0.228882, +12.832642, +0.244141
1494288376.736948, 1494288376.739401, -0.257996, +0.960205, -0.069031, -0.228882, +12.832642, +0.244141
1494288376.739666, 1494288376.741960, -0.257996, +0.960205, -0.022156, +1.007080, +12.084961, +0.137329
1494288376.742221, 1494288376.744519, -0.224854, +0.978333, -0.030579, +1.007080, +12.084961, +0.137329
1494288376.744780, 1494288376.747086, -0.224854, +0.978333, -0.030579, +1.663208, +11.611938, +0.839233
1494288376.747348, 1494288376.749718, -0.224854, +0.978333, -0.030579, +1.663208, +11.611938, +0.839233
1494288376.750093, 1494288376.752390, -0.224854, +0.978333, -0.045410, +2.258301, +12.161255, +0.213623
1494288376.752653, 1494288376.754956, -0.254700, +1.042786, -0.045410, +2.258301, +12.161255, +0.213623
1494288376.755219, 1494288376.757515, -0.254700, +1.042786, -0.045410, +2.029419, +12.329102, -0.534058
1494288376.757775, 1494288376.760068, -0.254700, +1.042786, -0.045410, +2.029419, +12.329102, -0.534058
1494288376.760329, 1494288376.762623, -0.254700, +1.042786, -0.113342, +1.296997, +12.847900, -0.427246
1494288376.762885, 1494288376.765179, -0.204346, +1.065308, -0.113342, +1.296997, +12.847900, -0.427246
1494288376.765442, 1494288376.767785, -0.204346, +1.065308, -0.113342, +0.289917, +12.359619, -1.266479
1494288376.768047, 1494288376.770343, -0.204346, +1.065308, -0.113342, +0.289917, +12.359619, -1.266479
1494288376.770604, 1494288376.772898, -0.204346, +1.065308, -0.174866, -0.915527, +10.604858, -2.441406
1494288376.773158, 1494288376.775454, -0.179443, +1.077026, -0.174866, -0.915527, +10.604858, -2.441406
