timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494288497.897630, 1494288497.899946, +0.042114, +1.260132, -0.189697, -3.311157, +0.015259, +5.004883
1494288497.900291, 1494288497.902592, +0.042114, +1.260132, -0.189697, -3.967285, -0.152588, +5.111694
1494288497.902851, 1494288497.905140, +0.008972, +0.989685, -0.167908, -3.967285, -0.152588, +5.111694
1494288497.905399, 1494288497.907937, +0.008972, +0.989685, -0.167908, -3.875732, -0.396729, +5.035400
1494288497.908197, 1494288497.910498, +0.008972, +0.989685, -0.167908, -3.875732, -0.396729, +5.035400
1494288497.910757, 1494288497.913044, +0.008972, +0.989685, -0.167908, -3.112793, -1.068115, +5.111694
1494288497.913304, 1494288497.915604, +0.023254, +1.020813, -0.161865, -3.112793, -1.068115, +5.111694
1494288497.915860, 1494288497.918354, +0.023254, +1.020813, -0.161865, -2.548218, -1.052856, +5.004883
1494288497.918612, 1494288497.920904, +0.023254, +1.020813, -0.161865, -2.548218, -1.052856, +5.004883
1494288497.921163, 1494288497.923460, +0.023254, +1.020813, -0.161865, -2.761841, -0.640869, +5.020142
1494288497.923719, 1494288497.926012, +0.024902, +1.014221, -0.158020, -2.761841, -0.640869, +5.020142
1494288497.926269, 1494288497.928747, +0.024902, +1.014221, -0.158020, -2.670288, -0.350952, +5.386353
1494288497.929006, 1494288497.931304, +0.024902, +1.014221, -0.158020, -2.670288, -0.350952, +5.386353
1494288497.931562, 1494288497.933854, +0.024902, +1.014221, -0.158020, -2.334595, -0.076294, +4.943848
1494288497.934111, 1494288497.936406, +0.031494, +1.005981, -0.175781, -2.334595, -0.076294, +4.943848
1494288497.936663, 1494288497.939550, +0.031494, +1.005981, -0.175781, -2.166748, -0.228882, +4.745483
1494288497.939825, 1494288497.943165, +0.031494, +1.005981, -0.175781, -2.166748, -0.228882, +4.455566
1494288497.943440, 1494288497.947417, +0.033325, +1.005432, -0.168640, -2.624512, -0.518799, +4.455566
1494288497.947778, 1494288497.950213, +0.033325, +1.005432, -0.168640, -2.410889, +0.122070, +4.547119
1494288497.950480, 1494288497.952895, +0.033325, +1.005432, -0.168640, -2.410889, +0.122070, +4.547119
1494288497.953160, 1494288497.955583, +0.023987, +1.009644, -0.159485, -2.609253, +0.335693, +4.516602
1494288497.955848, 1494288497.958267, +0.023987, +1.009644, -0.159485, -2.609253, +0.335693, +4.516602
1494288497.958531, 1494288497.960953, +0.023987, +1.009644, -0.159485, -3.128052, +0.213623, +4.119873
1494288497.961217, 1494288497.963632, +0.023987, +1.009644, -0.159485, -3.128052, +0.213623, +4.119873
1494288497.963898, 1494288497.966313, +0.029480, +1.007996, -0.165527, -2.716064, +0.015259, +4.333496
1494288497.966577, 1494288497.969011, +0.029480, +1.007996, -0.165527, -2.716064, +0.015259, +4.333496
1494288497.969276, 1494288497.971696, +0.029480, +1.007996, -0.165527, -2.731323, +0.228882, +3.921509
1494288497.971961, 1494288497.974442, +0.029480, +1.007996, -0.165527, -2.731323, +0.228882, +4.150391
1494288497.974707, 1494288497.977131, +0.025635, +1.004333, -0.161682, -2.929688, +0.274658, +4.150391
1494288497.977397, 1494288497.979726, +0.025635, +1.004333, -0.161682, -2.929688, +0.274658, +4.302979
1494288497.979984, 1494288497.982280, +0.025635, +1.004333, -0.161682, -2.792358, +0.274658, +4.302979
1494288497.982538, 1494288497.984834, +0.025635, +1.004333, -0.161682, -2.792358, +0.274658, +4.302979
1494288497.985091, 1494288497.987388, +0.022156, +1.006165, -0.157837, -3.112793, +0.122070, +3.997803
1494288497.987645, 1494288497.990074, +0.022156, +1.006165, -0.157837, -3.112793, +0.122070, +0.091553
1494288497.990341, 1494288497.992761, +0.022156, +1.006165, -0.157837, -3.112793, +0.183105, +3.738403
1494288497.993025, 1494288497.995447, +0.022156, +1.006165, -0.155273, -3.112793, +0.183105, +3.448486
1494288497.995713, 1494288497.998148, +0.023621, +1.004333, -0.155273, -3.494263, +0.076294, +3.448486
1494288497.998414, 1494288498.000838, +0.023621, +1.004333, -0.155273, -3.494263, +0.076294, +3.356934
1494288498.001104, 1494288498.003528, +0.023621, +1.004333, -0.155273, -3.692627, +0.091553, +3.356934
1494288498.003947, 1494288498.006367, +0.026550, +1.011292, -0.180176, -3.692627, +0.091553, +3.067017
1494288498.006631, 1494288498.009005, +0.026550, +1.011292, -0.180176, -3.417969, +0.122070, +3.067017
1494288498.009263, 1494288498.011562, +0.026550, +1.011292, -0.180176, -3.417969, -3.784180, +3.295898
1494288498.011819, 1494288498.014114, +0.026550, +1.011292, -0.180176, -3.616333, -0.625610, +3.295898
1494288498.014373, 1494288498.016668, +0.024536, +1.013855, -0.166809, -3.616333, -0.625610, +2.944946
1494288498.016925, 1494288498.019381, +0.024536, +1.013855, -0.166809, -4.196167, -1.007080, +2.944946
1494288498.019638, 1494288498.021938, +0.024536, +1.013855, -0.166809, -4.196167, -1.007080, +3.005981
1494288498.022194, 1494288498.024492, +0.024536, +1.013855, -0.166809, -4.135132, -1.296997, +3.005981
1494288498.024748, 1494288498.027044, +0.018677, +1.018433, -0.166443, -4.135132, -1.296997, +2.532959
1494288498.027299, 1494288498.029626, +0.018677, +1.018433, -0.166443, -4.226685, -1.647949, +2.532959
1494288498.029883, 1494288498.032185, +0.018677, +1.018433, -0.166443, -4.226685, -1.647949, +2.532959
1494288498.032440, 1494288498.034738, +0.018677, +1.018433, -0.166443, -4.135132, -1.464844, +2.410889
1494288498.034993, 1494288498.037294, +0.014832, +1.016785, -0.164612, -4.135132, -1.464844, +2.410889
1494288498.037549, 1494288498.040001, +0.014832, +1.016785, -0.164612, -4.379272, -2.029419, +2.822876
1494288498.040266, 1494288498.042688, +0.014832, +1.016785, -0.164612, -4.379272, -2.029419, +2.822876
1494288498.042952, 1494288498.045376, +0.014832, +1.016785, -0.164612, -3.936768, -2.304077, +2.593994
1494288498.045639, 1494288498.048068, +0.023071, +1.011108, -0.144104, -3.936768, -2.304077, +2.624512
1494288498.048334, 1494288498.050762, +0.023071, +1.011108, -0.144104, -4.013062, -2.273560, +2.624512
1494288498.051026, 1494288498.053450, +0.023071, +1.011108, -0.144104, -4.013062, -2.273560, +2.838135
1494288498.053713, 1494288498.056138, +0.023071, +1.011108, -0.170654, -3.952026, -2.044678, +2.838135
1494288498.056403, 1494288498.058839, +0.029846, +1.004883, -0.170654, -3.952026, -2.044678, +2.471924
1494288498.059102, 1494288498.061523, +0.029846, +1.004883, -0.170654, -3.982544, -2.044678, +2.471924
1494288498.061788, 1494288498.064215, +0.029846, +1.004883, -0.170654, -3.982544, -2.044678, +2.212524
1494288498.064477, 1494288498.066900, +0.029846, +1.013672, -0.157837, -4.074097, -1.617432, +2.212524
1494288498.067162, 1494288498.069596, +0.040649, +1.013672, -0.157837, -4.074097, -1.266479, +2.090454
1494288498.069860, 1494288498.072317, +0.040649, +1.013672, -0.157837, -3.967285, -1.266479, +2.090454
1494288498.072576, 1494288498.074871, +0.040649, +1.013672, -0.157837, -3.967285, -0.625610, +2.426147
1494288498.075129, 1494288498.077426, +0.026917, +1.023926, -0.147949, -4.013062, -0.625610, +2.426147
1494288498.077683, 1494288498.080052, +0.026917, +1.023926, -0.147949, -4.013062, -0.457764, +2.609253
1494288498.080309, 1494288498.082613, +0.026917, +1.023926, -0.147949, -3.570557, -0.457764, +2.609253
1494288498.082871, 1494288498.085286, +0.026917, +1.023926, -0.147949, -3.570557, -0.518799, +2.838135
1494288498.085542, 1494288498.088260, +0.017212, +1.022644, -0.162231, -3.280640, -0.518799, +2.838135
1494288498.088528, 1494288498.090948, +0.017212, +1.022644, -0.162231, -3.250122, -0.793457, +2.227783
1494288498.091214, 1494288498.093632, +0.017212, +1.022644, -0.162231, -3.250122, -0.793457, +2.227783
1494288498.093895, 1494288498.096321, +0.017212, +1.022644, -0.162231, -2.899170, -0.915527, +2.471924
1494288498.096585, 1494288498.098962, +0.019409, +1.011658, -0.151428, -2.899170, -0.915527, +2.471924
1494288498.099218, 1494288498.101519, +0.019409, +1.011658, -0.151428, -3.280640, -1.144409, +2.899170
1494288498.101775, 1494288498.104066, +0.019409, +1.011658, -0.151428, -3.280640, -1.144409, +2.899170
1494288498.104323, 1494288498.106617, +0.019409, +1.011658, -0.151428, -3.280640, -0.885010, +3.585815
1494288498.106875, 1494288498.109262, +0.006958, +1.014771, -0.154358, -2.807617, -0.885010, +3.585815
1494288498.109639, 1494288498.112055, +0.006958, +1.014771, -0.154358, -2.471924, -1.571655, +3.585815
1494288498.112320, 1494288498.114742, +0.006958, +1.014771, -0.154358, -2.471924, -1.571655, +3.585815
1494288498.115006, 1494288498.117431, +0.006958, +1.016052, -0.161682, -2.059937, -1.998901, +3.677368
1494288498.117695, 1494288498.120034, +0.016113, +1.016052, -0.161682, -2.059937, -1.998901, +3.677368
1494288498.120289, 1494288498.122592, +0.016113, +1.016052, -0.161682, -2.502441, -1.922607, +3.555298
1494288498.122849, 1494288498.125140, +0.016113, +1.016052, -0.161682, -2.502441, -1.922607, +3.555298
1494288498.125396, 1494288498.127692, +0.016113, +1.008362, -0.157288, -2.471924, -1.403809, +4.226685
1494288498.128003, 1494288498.130308, +0.034058, +1.008362, -0.157288, -2.471924, -1.403809, +4.226685
1494288498.130564, 1494288498.132863, +0.034058, +1.008362, -0.157288, -2.471924, -1.022339, +4.608154
1494288498.133119, 1494288498.135417, +0.034058, +1.008362, -0.157288, -2.563477, -1.022339, +4.608154
1494288498.135674, 1494288498.138119, +0.034058, +1.008545, -0.155823, -2.563477, -0.473022, +4.623413
1494288498.138376, 1494288498.140671, +0.029114, +1.008545, -0.155823, -1.556396, -0.473022, +4.623413
1494288498.140930, 1494288498.143229, +0.029114, +1.008545, -0.155823, -1.556396, -0.610352, +4.547119
1494288498.143487, 1494288498.145779, +0.029114, +1.008545, -0.155823, -1.174927, -0.610352, +4.547119
1494288498.146036, 1494288498.148517, +0.028931, +1.008545, -0.145020, -1.174927, -0.610352, +4.669189
1494288498.148782, 1494288498.151207, +0.028931, +1.008545, -0.145020, -1.281738, -0.289917, +4.669189
1494288498.151473, 1494288498.153894, +0.028931, +1.008545, -0.145020, -1.281738, +0.076294, +4.577637
1494288498.154157, 1494288498.156578, +0.028931, +1.008545, -0.145020, -1.098633, +0.076294, +4.577637
1494288498.156841, 1494288498.159277, +0.029480, +1.005798, -0.158936, -1.098633, +0.976562, +4.959106
1494288498.159544, 1494288498.162098, +0.029480, +1.005798, -0.158936, -0.213623, +0.976562, +4.959106
1494288498.162359, 1494288498.164655, +0.029480, +1.005798, -0.158936, +0.106812, +1.571655, +4.669189
1494288498.164914, 1494288498.167209, +0.029480, +1.005798, -0.158936, +0.106812, +1.571655, +4.669189
1494288498.167467, 1494288498.169965, +0.029663, +1.004700, -0.153442, +0.366211, +1.785278, +4.211426
1494288498.170229, 1494288498.172613, +0.029663, +1.004700, -0.153442, +0.366211, +1.785278, +4.211426
1494288498.172875, 1494288498.175569, +0.029663, +1.004700, -0.153442, +0.274658, +1.983643, +4.287720
1494288498.175835, 1494288498.178250, +0.029663, +1.012024, -0.145569, +0.274658, +1.983643, +4.287720
1494288498.178508, 1494288498.180806, +0.022156, +1.012024, -0.145569, +0.137329, +2.014160, +4.226685
1494288498.181065, 1494288498.183361, +0.022156, +1.012024, -0.145569, +0.137329, +2.014160, +4.226685
1494288498.183620, 1494288498.185916, +0.022156, +1.012024, -0.145569, -0.244141, +1.831055, +4.852295
1494288498.186174, 1494288498.188582, +0.022156, +1.011475, -0.153992, -0.244141, +1.831055, +4.852295
1494288498.188847, 1494288498.191275, +0.019592, +1.011475, -0.153992, +0.030518, +1.586914, +4.760742
1494288498.191539, 1494288498.193964, +0.019592, +1.011475, -0.153992, +0.030518, +1.586914, +4.760742
1494288498.194227, 1494288498.196654, +0.019592, +1.011475, -0.153992, -0.213623, +0.686646, +5.050659
1494288498.196919, 1494288498.199358, +0.022522, +1.019897, -0.157837, -0.213623, +0.686646, +5.050659
1494288498.199626, 1494288498.202048, +0.022522, +1.019897, -0.157837, +0.427246, +0.854492, +5.432129
1494288498.202313, 1494288498.204732, +0.022522, +1.019897, -0.157837, +0.427246, +0.854492, +5.432129
1494288498.204997, 1494288498.207422, +0.022522, +1.019897, -0.157837, +0.442505, +0.518799, +5.584717
1494288498.207687, 1494288498.210028, +0.023071, +1.011108, -0.155823, +0.442505, +0.518799, +5.584717
1494288498.210286, 1494288498.212584, +0.023071, +1.011108, -0.155823, -0.152588, +0.061035, +5.722046
1494288498.212841, 1494288498.215136, +0.023071, +1.011108, -0.155823, -0.152588, +0.061035, +5.722046
1494288498.215507, 1494288498.217934, +0.023071, +1.011108, -0.155823, -0.045776, -0.503540, +5.493164
1494288498.218211, 1494288498.220519, +0.026001, +1.003235, -0.161133, -0.045776, -0.503540, +5.493164
1494288498.220780, 1494288498.223073, +0.026001, +1.003235, -0.161133, +0.183105, -0.350952, +5.386353
1494288498.223332, 1494288498.225628, +0.026001, +1.003235, -0.161133, +0.183105, -0.350952, +5.386353
1494288498.225885, 1494288498.228278, +0.026001, +1.003235, -0.161133, -0.076294, -0.076294, +5.737305
1494288498.228535, 1494288498.230830, +0.035156, +1.004700, -0.154907, -0.076294, -0.076294, +5.737305
1494288498.231087, 1494288498.233381, +0.035156, +1.004700, -0.154907, -0.350952, -0.473022, +5.111694
1494288498.233640, 1494288498.235934, +0.035156, +1.004700, -0.154907, -0.350952, -0.473022, +5.111694
1494288498.236193, 1494288498.238573, +0.035156, +1.004700, -0.154907, -0.335693, -0.473022, +5.508423
1494288498.238837, 1494288498.241263, +0.034058, +1.016785, -0.163330, -0.335693, -0.473022, +5.508423
1494288498.241529, 1494288498.243951, +0.034058, +1.016785, -0.163330, -0.976562, -0.762939, +5.020142
1494288498.244217, 1494288498.246638, +0.034058, +1.016785, -0.163330, -0.976562, -0.762939, +5.020142
1494288498.246904, 1494288498.249374, +0.034058, +1.022278, -0.157104, -1.419067, -0.991821, +5.035400
1494288498.249638, 1494288498.252055, +0.027283, +1.022278, -0.157104, -1.419067, -0.991821, +5.035400
1494288498.252320, 1494288498.254737, +0.027283, +1.022278, -0.157104, -1.159668, -1.754761, +4.684448
1494288498.255002, 1494288498.257426, +0.027283, +1.022278, -0.157104, -1.159668, -1.754761, +4.684448
1494288498.257690, 1494288498.260161, +0.022888, +1.017517, -0.160217, -1.007080, -2.471924, +4.272461
1494288498.260426, 1494288498.262846, +0.022888, +1.017517, -0.160217, -1.007080, -2.471924, +4.272461
1494288498.263110, 1494288498.265529, +0.022888, +1.017517, -0.160217, -1.358032, -2.426147, +4.745483
1494288498.265792, 1494288498.268218, +0.022888, +1.017517, -0.160217, -1.358032, -2.426147, +4.745483
1494288498.268480, 1494288498.270900, +0.016296, +1.012207, -0.150513, -1.693726, -2.868652, +4.714966
1494288498.271164, 1494288498.273581, +0.016296, +1.012207, -0.150513, -1.693726, -2.868652, +4.714966
1494288498.273844, 1494288498.276267, +0.016296, +1.012207, -0.150513, -1.647949, -3.845215, +4.669189
1494288498.276532, 1494288498.278906, +0.016296, +1.012207, -0.150513, -1.647949, -3.845215, +4.669189
1494288498.279166, 1494288498.281459, +0.009888, +1.011108, -0.158020, -1.876831, -3.906250, +4.806519
1494288498.281717, 1494288498.284194, +0.009888, +1.011108, -0.158020, -1.876831, -3.906250, +4.806519
1494288498.284453, 1494288498.286758, +0.009888, +1.011108, -0.158020, -2.532959, +0.610352, +5.432129
1494288498.287016, 1494288498.289638, +0.009888, +1.011108, -0.189697, -2.532959, +0.610352, +5.432129
1494288498.289905, 1494288498.292327, -0.014099, +1.030518, -0.189697, -4.302979, +9.597778, +5.432129
1494288498.292593, 1494288498.295020, -0.014099, +1.030518, -0.189697, -4.302979, +9.597778, +5.432129
1494288498.295285, 1494288498.297750, -0.014099, +1.030518, -0.189697, -5.447388, +13.275146, +5.905151
1494288498.298019, 1494288498.300441, +0.032776, +1.003784, -0.125977, -5.447388, +13.275146, +5.905151
1494288498.300710, 1494288498.303130, +0.037354, +1.003784, -0.125977, -5.752563, +9.979248, +6.622314
1494288498.303395, 1494288498.305816, +0.037354, +1.003784, -0.125977, -5.752563, +9.979248, +6.607056
1494288498.306080, 1494288498.308548, +0.037354, +1.003784, -0.125977, -6.530762, +6.149292, +6.607056
1494288498.308811, 1494288498.311236, +0.019409, +1.012573, -0.088623, -6.530762, +6.149292, +5.783081
1494288498.311501, 1494288498.313926, +0.019409, +1.012573, -0.088623, -6.713867, +4.272461, +5.783081
1494288498.314189, 1494288498.316610, +0.019409, +1.012573, -0.088623, -6.713867, +0.366211, +5.294800
1494288498.316875, 1494288498.319222, +0.019409, +1.012573, -0.088623, -6.881714, +3.402710, +5.294800
1494288498.319480, 1494288498.321771, +0.028564, +1.012207, -0.138245, -6.881714, +3.402710, +5.142212
1494288498.322133, 1494288498.324433, +0.028564, +1.012207, -0.138245, -7.019043, +1.754761, +5.142212
1494288498.324689, 1494288498.326992, +0.028564, +1.012207, -0.138245, -7.019043, +1.754761, +4.913330
