timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1494288187.116353, 1494288187.123472, -0.098877, +1.068604, -0.145935, -5.401611, +15.197754, +2.410889
1494288187.124258, 1494288187.127998, -0.073242, +1.051758, -0.136047, -5.661011, +12.817383, +2.685547
1494288187.128269, 1494288187.130593, -0.073242, +1.051758, -0.136047, -5.661011, +12.817383, +2.685547
1494288187.130856, 1494288187.133146, -0.073242, +1.051758, -0.136047, -3.890991, +11.657715, +2.197266
1494288187.133407, 1494288187.135703, -0.071594, +1.024658, -0.164429, -3.890991, +11.657715, +2.197266
1494288187.135963, 1494288187.138263, -0.071594, +1.024658, -0.164429, -3.707886, +10.665894, +1.663208
1494288187.138524, 1494288187.140818, -0.071594, +1.024658, -0.164429, -3.707886, +10.665894, +1.663208
1494288187.141079, 1494288187.143371, -0.071594, +1.024658, -0.164429, -3.479004, +10.070801, +2.014160
1494288187.143630, 1494288187.145927, -0.050720, +1.050659, -0.188049, -3.479004, +10.070801, +2.014160
1494288187.146188, 1494288187.148693, -0.050720, +1.050659, -0.188049, -3.067017, +9.109497, +2.395630
1494288187.148954, 1494288187.151253, -0.050720, +1.050659, -0.188049, -3.067017, +9.109497, +2.395630
1494288187.151510, 1494288187.153803, -0.050720, +1.050659, -0.141174, -3.692627, +7.858276, +2.319336
1494288187.154059, 1494288187.156357, -0.078369, +1.068604, -0.180359, -3.692627, +7.858276, +2.319336
1494288187.156613, 1494288187.158975, -0.078369, +1.068604, -0.180359, -4.150391, +6.774902, +1.998901
1494288187.159231, 1494288187.161519, -0.078369, +1.068604, -0.180359, -4.150391, +6.774902, +1.998901
1494288187.161777, 1494288187.164069, -0.078369, +1.068604, -0.274109, -3.997803, +6.286621, +2.014160
1494288187.164326, 1494288187.166616, -0.006775, +1.037842, -0.235107, -3.997803, +6.286621, +2.014160
1494288187.166873, 1494288187.169306, -0.006775, +1.037842, -0.235107, -3.433228, +6.851196, +2.349854
1494288187.169565, 1494288187.171861, -0.006775, +1.037842, -0.235107, -3.433228, +6.851196, +2.349854
1494288187.172119, 1494288187.174408, -0.006775, +1.037842, -0.291138, -3.433228, +7.537842, +2.532959
1494288187.174665, 1494288187.176959, +0.051453, +1.003967, -0.291138, -3.433228, +7.537842, +2.532959
1494288187.177215, 1494288187.179534, +0.051453, +1.003967, -0.291138, -4.104614, +8.346558, +2.746582
1494288187.179791, 1494288187.182084, +0.051453, +1.003967, -0.291138, -4.104614, +8.346558, +2.746582
1494288187.182342, 1494288187.184637, +0.051453, +1.003967, -0.277588, -4.074097, +8.270264, +3.143311
1494288187.184894, 1494288187.187191, +0.001831, +0.995544, -0.277588, -4.074097, +8.270264, +3.143311
1494288187.187450, 1494288187.189757, +0.001831, +0.995544, -0.277588, -4.699707, +8.010864, +4.058838
1494288187.190016, 1494288187.192310, +0.001831, +0.995544, -0.277588, -4.699707, +8.010864, +4.058838
1494288187.192569, 1494288187.194860, +0.001831, +0.995544, -0.226318, -4.974365, +7.095337, +5.203247
1494288187.195119, 1494288187.197410, -0.078186, +1.002136, -0.226318, -4.974365, +7.095337, +5.203247
1494288187.197669, 1494288187.199966, -0.078186, +1.002136, -0.226318, -4.974365, +4.989624, +5.920410
1494288187.200226, 1494288187.202522, -0.078186, +1.002136, -0.226318, -5.386353, +4.989624, +5.920410
1494288187.202779, 1494288187.205070, -0.078186, +1.002136, -0.203979, -5.386353, +1.632690, +6.759644
1494288187.205326, 1494288187.207621, -0.071777, +1.002502, -0.203979, -5.569458, +1.632690, +6.759644
1494288187.208056, 1494288187.210376, -0.071777, +1.002502, -0.203979, -5.569458, -0.686646, +7.995605
1494288187.210635, 1494288187.212934, -0.071777, +1.002502, -0.203979, -5.371094, -0.686646, +7.995605
1494288187.213330, 1494288187.215638, -0.024902, +0.997192, -0.224854, -5.371094, -1.937866, +7.720947
1494288187.215896, 1494288187.218225, -0.000549, +0.997192, -0.224854, -5.142212, -1.937866, +7.720947
1494288187.218487, 1494288187.220866, -0.000549, +0.997192, -0.224854, -5.142212, -2.944946, +7.492065
1494288187.221127, 1494288187.223511, -0.000549, +0.997192, -0.224854, -4.333496, -2.944946, +7.492065
1494288187.223926, 1494288187.227512, +0.029114, +0.997009, -0.231079, -3.799438, -3.051758, +7.324219
1494288187.227817, 1494288187.231325, +0.029114, +0.997009, -0.231079, -3.799438, -3.051758, +6.759644
