timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491873083.420201, 1491873083.422554, -0.278137, +1.341614, -0.170471, -0.686646, +1.831055, -0.259399
1491873083.422906, 1491873083.425206, -0.278137, +1.341614, -0.170471, -3.250122, +7.202148, -1.358032
1491873083.425466, 1491873083.427761, -0.278137, +1.341614, -0.170471, -3.250122, +7.202148, -1.358032
1491873083.428018, 1491873083.430336, -0.278137, +1.341614, -0.141541, -3.250122, +7.217407, -1.266479
1491873083.430595, 1491873083.432888, -0.212402, +1.001221, -0.141541, -2.349854, +7.217407, -1.266479
1491873083.433146, 1491873083.435437, -0.212402, +1.001221, -0.141541, -2.349854, +7.217407, -0.991821
1491873083.435696, 1491873083.437990, -0.212402, +1.001221, -0.141541, -2.380371, +7.217407, -0.991821
1491873083.438247, 1491873083.440638, -0.212402, +1.048096, -0.141541, -2.380371, +7.217407, -0.839233
1491873083.440895, 1491873083.443191, -0.207642, +1.033264, -0.141541, -2.624512, +7.186890, -0.839233
1491873083.443449, 1491873083.445740, -0.207642, +1.033264, -0.141541, -2.624512, +7.186890, -0.701904
1491873083.445997, 1491873083.448289, -0.207642, +1.033264, -0.141541, -2.075195, +7.583618, -0.701904
1491873083.448545, 1491873083.450893, -0.207642, +1.029968, -0.162964, -2.075195, +7.583618, -0.503540
1491873083.451150, 1491873083.453445, -0.210022, +1.029968, -0.162964, -1.739502, +7.339478, -0.503540
1491873083.453701, 1491873083.455991, -0.210022, +1.029968, -0.162964, -1.739502, +7.339478, -0.518799
1491873083.456249, 1491873083.458543, -0.210022, +1.029968, -0.162964, -1.571655, +7.034302, -0.518799
1491873083.458799, 1491873083.461116, -0.210022, +1.030518, -0.168274, -1.571655, +7.034302, -0.518799
1491873083.461373, 1491873083.463669, -0.194458, +1.030518, -0.168274, -1.861572, +6.973267, -0.259399
1491873083.463926, 1491873083.466226, -0.194458, +1.030518, -0.168274, -1.861572, +6.973267, -0.259399
1491873083.466483, 1491873083.468777, -0.194458, +1.030518, -0.168274, -2.563477, +7.293701, -0.030518
1491873083.469034, 1491873083.471426, -0.194458, +1.053223, -0.170837, -2.563477, +7.293701, -0.030518
1491873083.471686, 1491873083.473983, -0.234192, +1.053223, -0.170837, -3.295898, +6.179810, +0.366211
1491873083.474241, 1491873083.476540, -0.234192, +1.053223, -0.170837, -3.295898, +6.179810, +0.366211
1491873083.476799, 1491873083.479096, -0.234192, +1.053223, -0.170837, -2.807617, +4.653931, +0.823975
1491873083.479353, 1491873083.481736, -0.234192, +1.048279, -0.163513, -2.807617, +4.653931, +0.823975
1491873083.481998, 1491873083.484382, -0.216064, +1.048279, -0.163513, -2.624512, +2.929688, +1.113892
1491873083.484642, 1491873083.487078, -0.216064, +1.048279, -0.163513, -2.624512, +2.929688, +1.113892
1491873083.487344, 1491873083.489776, -0.216064, +1.048279, -0.163513, -2.899170, +1.983643, +1.495361
1491873083.490082, 1491873083.492514, -0.201782, +1.044800, -0.154724, -2.899170, +1.983643, +1.495361
1491873083.492778, 1491873083.495199, -0.201782, +1.044800, -0.154724, -2.365112, +2.166748, +1.281738
1491873083.495461, 1491873083.497895, -0.201782, +1.044800, -0.154724, -2.365112, +2.166748, +1.281738
1491873083.498158, 1491873083.500593, -0.201782, +1.044800, -0.154724, -2.029419, +1.693726, +1.434326
1491873083.500856, 1491873083.503277, -0.221558, +1.029053, -0.152893, -2.029419, +1.693726, +1.892090
1491873083.503540, 1491873083.505964, -0.221558, +1.029053, -0.152893, -2.273560, +0.656128, +1.892090
1491873083.506229, 1491873083.508648, -0.221558, +1.029053, -0.152893, -2.273560, +0.656128, +2.120972
1491873083.508911, 1491873083.511294, -0.221558, +1.029053, -0.152893, -1.968384, +0.122070, +2.120972
1491873083.511554, 1491873083.513852, -0.206909, +1.012390, -0.162964, -1.968384, +0.122070, +2.731323
1491873083.514111, 1491873083.516405, -0.206909, +1.012390, -0.162964, -1.434326, +0.061035, +2.731323
1491873083.516663, 1491873083.518966, -0.206909, +1.012390, -0.162964, -1.434326, +0.061035, +2.731323
1491873083.519223, 1491873083.521554, -0.206909, +1.012390, -0.161316, -1.022339, +0.213623, +2.929688
1491873083.521951, 1491873083.524251, -0.217346, +1.008728, -0.161316, -1.022339, +0.213623, +3.326416
1491873083.524508, 1491873083.526810, -0.217346, +1.008728, -0.161316, -0.366211, +0.213623, +3.326416
1491873083.527068, 1491873083.529363, -0.217346, +1.008728, -0.161316, -0.366211, +0.213623, +3.326416
1491873083.529621, 1491873083.532015, -0.217346, +1.008728, -0.165710, -0.473022, +0.717163, +3.265381
1491873083.532273, 1491873083.534573, -0.212952, +1.003052, -0.165710, -0.473022, +0.717163, +3.265381
1491873083.534830, 1491873083.537128, -0.212952, +1.003052, -0.165710, -0.320435, +1.541138, +3.356934
1491873083.537384, 1491873083.539683, -0.212952, +1.003052, -0.165710, -0.320435, +1.541138, +3.356934
1491873083.539940, 1491873083.542459, -0.212952, +1.009644, -0.179443, +0.015259, +2.029419, +3.433228
1491873083.542725, 1491873083.545148, -0.208557, +1.009644, -0.179443, +0.015259, +2.029419, +3.433228
1491873083.545413, 1491873083.547837, -0.208557, +1.009644, -0.179443, +0.091553, +2.471924, +3.540039
1491873083.548101, 1491873083.550536, -0.208557, +1.009644, -0.179443, +0.091553, +2.471924, +3.540039
1491873083.550800, 1491873083.553231, -0.201233, +1.006348, -0.190979, -0.167847, +2.517700, +3.448486
1491873083.553496, 1491873083.555920, -0.201233, +1.006348, -0.190979, -0.167847, +2.517700, +3.662109
1491873083.556185, 1491873083.558611, -0.201233, +1.006348, -0.190979, -0.091553, +2.548218, +3.662109
1491873083.558878, 1491873083.561252, -0.201233, +1.006348, -0.190979, -0.091553, +2.548218, +3.631592
1491873083.561509, 1491873083.563803, -0.202881, +1.007446, -0.184753, +0.106812, +2.670288, +3.631592
1491873083.564061, 1491873083.566359, -0.202881, +1.007446, -0.184753, +0.106812, +2.670288, +3.982544
1491873083.566618, 1491873083.568915, -0.202881, +1.007446, -0.184753, +0.137329, +2.624512, +3.982544
1491873083.569172, 1491873083.571556, -0.202881, +1.007446, -0.184753, +0.137329, +2.624512, +3.982544
1491873083.571819, 1491873083.574227, -0.209839, +1.007263, -0.180176, +0.381470, +2.578735, +4.104614
1491873083.574491, 1491873083.576896, -0.209839, +1.007263, -0.180176, +0.381470, +2.578735, +4.013062
1491873083.577159, 1491873083.579562, -0.209839, +1.007263, -0.180176, +0.396729, +3.036499, +4.013062
1491873083.579825, 1491873083.582269, -0.209839, +1.007263, -0.180176, +0.396729, +3.036499, +4.486084
1491873083.582532, 1491873083.585012, -0.205994, +1.006165, -0.179443, +0.152588, +2.655029, +4.486084
1491873083.585269, 1491873083.587648, -0.205994, +1.006165, -0.179443, +0.152588, +2.655029, +4.531860
1491873083.587905, 1491873083.590273, -0.205994, +1.006165, -0.179443, +0.289917, +3.295898, +4.531860
1491873083.590536, 1491873083.592918, -0.205994, +1.006165, -0.175049, +0.289917, +3.295898, +4.562378
1491873083.593181, 1491873083.595568, -0.207458, +1.007812, -0.175049, +0.366211, +3.341675, +4.562378
1491873083.595883, 1491873083.598281, -0.207458, +1.007812, -0.175049, +0.366211, +3.341675, +4.776001
1491873083.598543, 1491873083.601386, -0.207458, +1.007812, -0.175049, +0.152588, +3.356934, +4.776001
1491873083.601652, 1491873083.604074, -0.204712, +1.005432, -0.174133, +0.442505, +3.234863, +4.867554
1491873083.604338, 1491873083.606759, -0.204712, +1.005432, -0.174133, +0.442505, +3.234863, +4.867554
1491873083.607024, 1491873083.609442, -0.204712, +1.005432, -0.174133, +0.396729, +3.295898, +5.172729
1491873083.609705, 1491873083.612114, -0.204712, +1.005432, -0.174133, +0.396729, +3.295898, +5.172729
1491873083.612371, 1491873083.614669, -0.199036, +1.010559, -0.169006, +1.007080, +3.524780, +5.401611
1491873083.614928, 1491873083.617225, -0.199036, +1.010559, -0.169006, +1.007080, +3.524780, +5.401611
1491873083.617483, 1491873083.619777, -0.199036, +1.010559, -0.169006, +0.961304, +3.479004, +5.279541
1491873083.620033, 1491873083.622473, -0.199036, +1.010559, -0.169006, +0.961304, +3.479004, +5.279541
1491873083.622731, 1491873083.625025, -0.198303, +1.010376, -0.169189, +1.251221, +3.692627, +5.371094
