timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491873116.348835, 1491873116.351505, -0.661011, +1.112000, +0.183838, -15.747070, +26.748657, -15.579224
1491873116.351861, 1491873116.354160, -0.661011, +1.112000, +0.183838, -18.753052, +26.748657, -15.579224
1491873116.354428, 1491873116.356725, -0.661011, +1.112000, +0.183838, -18.753052, +27.160645, -16.555786
1491873116.356992, 1491873116.359382, -0.661011, +1.112000, +0.183838, -18.966675, +27.160645, -16.555786
1491873116.359650, 1491873116.362008, -0.524963, +0.864258, +0.195374, -18.966675, +24.261475, -14.312744
1491873116.362276, 1491873116.364565, -0.524963, +0.864258, +0.195374, -17.242432, +24.261475, -14.312744
1491873116.364832, 1491873116.367131, -0.524963, +0.864258, +0.195374, -17.242432, +23.040771, -13.137817
1491873116.367398, 1491873116.369764, -0.524963, +0.864258, +0.195374, -16.403198, +23.040771, -13.137817
1491873116.370030, 1491873116.372588, -0.586304, +0.875244, +0.216431, -16.403198, +20.843506, -12.161255
1491873116.372855, 1491873116.375151, -0.586304, +0.875244, +0.216431, -15.808105, +20.843506, -12.161255
1491873116.375418, 1491873116.377717, -0.586304, +0.875244, +0.216431, -15.808105, +19.653320, -11.505127
1491873116.378067, 1491873116.380384, -0.586304, +0.875244, +0.222473, -14.526367, +19.653320, -11.505127
1491873116.380652, 1491873116.382946, -0.582458, +0.842468, +0.222473, -14.526367, +18.768311, -10.589600
1491873116.383212, 1491873116.385512, -0.582458, +0.842468, +0.222473, -13.198853, +18.768311, -10.589600
1491873116.385778, 1491873116.388102, -0.582458, +0.842468, +0.222473, -13.198853, +18.768311, -9.643555
1491873116.388367, 1491873116.390881, -0.582458, +0.842468, +0.259094, -12.725830, +18.615723, -9.643555
1491873116.391155, 1491873116.393578, -0.565613, +0.818848, +0.259094, -12.725830, +18.814087, -9.811401
1491873116.393849, 1491873116.396269, -0.565613, +0.818848, +0.259094, -11.520386, +18.814087, -9.811401
1491873116.396540, 1491873116.398966, -0.565613, +0.818848, +0.259094, -11.520386, +19.332886, -9.674072
1491873116.399238, 1491873116.401706, -0.556458, +0.801086, +0.295532, -11.077881, +19.332886, -9.674072
1491873116.401977, 1491873116.404396, -0.556458, +0.801086, +0.295532, -11.550903, +21.652222, -9.292603
1491873116.404668, 1491873116.407096, -0.556458, +0.801086, +0.295532, -11.550903, +21.652222, -9.292603
1491873116.407368, 1491873116.409794, -0.556458, +0.801086, +0.295532, -12.893677, +24.856567, -7.919312
1491873116.410075, 1491873116.412377, -0.503357, +0.823242, +0.292786, -12.893677, +24.856567, -7.919312
1491873116.412640, 1491873116.414945, -0.503357, +0.823242, +0.292786, -14.541626, +28.610229, -7.080078
1491873116.415209, 1491873116.417508, -0.503357, +0.823242, +0.292786, -14.541626, +28.610229, -7.080078
1491873116.417772, 1491873116.420121, -0.503357, +0.823242, +0.292786, -16.342163, +33.630371, -6.546021
1491873116.420395, 1491873116.422821, -0.414551, +0.884766, +0.229431, -16.342163, +33.630371, -6.546021
1491873116.423093, 1491873116.425518, -0.414551, +0.884766, +0.229431, -17.181396, +41.625977, -6.759644
1491873116.425789, 1491873116.428212, -0.414551, +0.884766, +0.229431, -17.181396, +41.625977, -6.759644
1491873116.428481, 1491873116.430875, -0.414551, +0.884766, +0.229431, -18.096924, +51.239014, -7.019043
1491873116.431140, 1491873116.433440, -0.326660, +0.954895, +0.188599, -18.096924, +51.239014, -7.019043
1491873116.433705, 1491873116.436025, -0.326660, +0.954895, +0.188599, -20.080566, +62.072754, -6.973267
1491873116.436374, 1491873116.438678, -0.326660, +0.954895, +0.188599, -20.080566, +62.072754, -6.973267
1491873116.438943, 1491873116.441346, -0.326660, +0.954895, +0.160583, -22.293091, +71.838379, -7.080078
1491873116.441620, 1491873116.444045, -0.346619, +0.958557, +0.160583, -22.293091, +71.838379, -7.080078
1491873116.444316, 1491873116.446742, -0.346619, +0.958557, +0.160583, -23.162842, +80.520630, -7.888794
1491873116.447013, 1491873116.449444, -0.346619, +0.958557, +0.160583, -23.162842, +80.520630, -7.888794
1491873116.449714, 1491873116.452143, -0.393494, +0.916992, +0.120117, -22.918701, +89.462280, -9.078979
1491873116.452576, 1491873116.454995, -0.383057, +0.916992, +0.120117, -22.918701, +89.462280, -9.078979
1491873116.455267, 1491873116.457695, -0.383057, +0.916992, +0.120117, -22.781372, +97.991943, -9.857178
1491873116.457966, 1491873116.460399, -0.383057, +0.916992, +0.120117, -22.781372, +97.991943, -9.857178
1491873116.460672, 1491873116.463102, -0.467651, +0.854919, +0.092102, -23.513794, +103.744507, -10.940552
1491873116.463377, 1491873116.465799, -0.467651, +0.854919, +0.092102, -23.513794, +103.744507, -10.940552
1491873116.466074, 1491873116.468493, -0.467651, +0.854919, +0.092102, -24.017334, +105.651855, -12.115479
1491873116.468768, 1491873116.471159, -0.467651, +0.854919, +0.092102, -24.017334, +105.651855, -12.115479
1491873116.471426, 1491873116.473729, -0.579529, +0.762634, +0.103638, -23.880005, +105.346680, -13.442993
