timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1491873197.611305, 1491873197.613603, -0.167725, +1.249146, -0.052368, +3.707886, +8.056641, +2.273560
1491873197.613950, 1491873197.616238, -0.167725, +1.249146, -0.052368, +3.707886, -241.333008, +403.381348
1491873197.616506, 1491873197.618799, -0.157104, +1.018433, -0.068665, -420.654297, -241.333008, +403.381348
1491873197.619070, 1491873197.621470, -0.157104, +1.018433, -0.068665, -420.654297, +264.251709, -399.124146
1491873197.621741, 1491873197.624032, -0.157104, +1.018433, -0.068665, +429.992676, +264.251709, -399.124146
1491873197.624300, 1491873197.626619, -0.157104, +1.018433, -0.115540, +429.992676, +6.439209, +0.305176
1491873197.626881, 1491873197.629176, -0.141541, +1.085815, -0.140442, +1.495361, +5.706787, +0.305176
1491873197.629433, 1491873197.631731, -0.141541, +1.085815, -0.140442, +1.495361, +5.706787, -0.900269
1491873197.631988, 1491873197.634281, -0.141541, +1.085815, -0.140442, +0.076294, +5.249023, -0.900269
1491873197.634539, 1491873197.636834, -0.141541, +1.085815, -0.184937, +0.076294, +5.249023, -2.288818
1491873197.637090, 1491873197.639388, -0.102722, +1.089661, -0.184937, -0.961304, +4.547119, -2.288818
1491873197.639645, 1491873197.642250, -0.102722, +1.089661, -0.184937, -0.961304, +4.547119, -3.295898
1491873197.642508, 1491873197.644805, -0.102722, +1.089661, -0.184937, -2.120972, +2.471924, -3.295898
1491873197.645062, 1491873197.647357, -0.102722, +1.089661, -0.182007, -2.120972, +2.471924, -4.699707
1491873197.647614, 1491873197.649912, -0.130737, +1.115112, -0.182007, -4.882812, -0.137329, -4.699707
1491873197.650242, 1491873197.652538, -0.130737, +1.115112, -0.182007, -4.882812, -0.137329, -6.668091
1491873197.652796, 1491873197.655091, -0.130737, +1.115112, -0.182007, -7.415771, -3.677368, -6.668091
1491873197.655349, 1491873197.657638, -0.130737, +1.120605, -0.162964, -7.415771, -3.677368, -10.574341
1491873197.657900, 1491873197.660213, -0.135864, +1.120605, -0.162964, -9.429932, -7.934570, -8.346558
1491873197.660479, 1491873197.663625, -0.135864, +1.120605, -0.162964, -9.429932, -13.137817, -9.841919
1491873197.663918, 1491873197.666348, -0.135864, +1.120605, -0.162964, -10.696411, -13.137817, -9.841919
1491873197.666622, 1491873197.669046, -0.100891, +1.084900, -0.193176, -14.602661, -16.403198, -10.925293
1491873197.669322, 1491873197.671762, -0.100891, +1.084900, -0.193176, -11.764526, -16.403198, -10.925293
1491873197.672037, 1491873197.674464, -0.100891, +1.084900, -0.193176, -12.817383, -19.012451, -12.664795
1491873197.674739, 1491873197.677162, -0.100891, +1.084900, -0.193176, -12.817383, -19.012451, -12.664795
1491873197.677437, 1491873197.679859, -0.100525, +1.083984, -0.195740, -14.358521, -22.491455, -14.968872
1491873197.680144, 1491873197.682446, -0.100525, +1.083984, -0.195740, -14.358521, -22.491455, -14.968872
1491873197.682716, 1491873197.685015, -0.100525, +1.083984, -0.195740, -16.845703, -24.948120, -16.998291
1491873197.685282, 1491873197.687578, -0.100525, +1.083984, -0.166626, -16.845703, -24.948120, -16.998291
1491873197.687845, 1491873197.690137, -0.096680, +1.093506, -0.166626, -19.470215, -28.381348, -19.287109
1491873197.690404, 1491873197.692703, -0.096680, +1.093506, -0.166626, -19.470215, -28.381348, -19.287109
1491873197.692969, 1491873197.695265, -0.096680, +1.093506, -0.166626, -23.376465, -33.248901, -22.430420
1491873197.695530, 1491873197.697822, -0.096680, +1.093506, -0.184021, -21.881104, -33.248901, -22.430420
1491873197.698089, 1491873197.700420, -0.028748, +1.100098, -0.184021, -21.881104, -36.743164, -26.763916
1491873197.700696, 1491873197.703123, -0.028748, +1.100098, -0.184021, -23.941040, -36.743164, -26.763916
1491873197.703396, 1491873197.705883, -0.028748, +1.100098, -0.184021, -23.941040, -37.658691, -30.685425
1491873197.706158, 1491873197.708587, -0.028748, +1.119690, -0.268250, -26.077271, -37.658691, -30.685425
1491873197.708862, 1491873197.711303, +0.077087, +1.119690, -0.268250, -28.503418, -37.887573, -35.202026
1491873197.711577, 1491873197.714005, +0.077087, +1.119690, -0.268250, -28.503418, -37.887573, -35.202026
1491873197.714440, 1491873197.716865, +0.077087, +1.119690, -0.268250, -30.395508, -38.299561, -40.588379
1491873197.717139, 1491873197.719559, +0.020508, +1.169312, -0.338196, -30.395508, -38.299561, -40.588379
1491873197.719834, 1491873197.722301, +0.020508, +1.169312, -0.338196, -32.089233, -39.413452, -45.791626
1491873197.722576, 1491873197.724999, +0.020508, +1.169312, -0.338196, -32.089233, -39.413452, -45.791626
1491873197.725271, 1491873197.727704, +0.020508, +1.169312, -0.338196, -33.721924, -41.305542, -50.659180
1491873197.727978, 1491873197.730406, -0.011719, +1.237793, -0.292786, -33.721924, -41.305542, -50.659180
1491873197.730680, 1491873197.733110, -0.011719, +1.237793, -0.292786, -34.683228, -43.136597, -54.870605
1491873197.733384, 1491873197.735809, -0.011719, +1.237793, -0.292786, -34.683228, -43.136597, -54.870605
1491873197.736084, 1491873197.738505, -0.011719, +1.237793, -0.261292, -34.835815, -45.394897, -59.555054
1491873197.738777, 1491873197.741143, -0.030945, +1.311951, -0.261292, -34.835815, -45.394897, -59.555054
1491873197.741410, 1491873197.743712, -0.030945, +1.311951, -0.261292, -35.766602, -47.790527, -63.385010
1491873197.743979, 1491873197.746276, -0.030945, +1.311951, -0.261292, -35.766602, -47.790527, -63.385010
1491873197.746542, 1491873197.748844, -0.030945, +1.391235, -0.187500, -36.788940, -50.735474, -67.916870
1491873197.749110, 1491873197.751558, -0.006958, +1.391235, -0.187500, -36.788940, -50.735474, -67.916870
1491873197.751827, 1491873197.754127, -0.006958, +1.391235, -0.187500, -38.223267, -53.359985, -71.701050
1491873197.754394, 1491873197.756700, -0.006958, +1.391235, -0.187500, -38.223267, -53.359985, -71.701050
1491873197.756968, 1491873197.759265, +0.086792, +1.448730, -0.165527, -38.223267, -53.634644, -76.217651
1491873197.759532, 1491873197.762039, +0.083862, +1.448730, -0.165527, -38.223267, -53.634644, -76.217651
1491873197.762313, 1491873197.764737, +0.083862, +1.448730, -0.165527, -37.475586, -52.490234, -80.093384
1491873197.765011, 1491873197.767507, +0.083862, +1.448730, -0.165527, -37.475586, -52.490234, -80.093384
1491873197.767782, 1491873197.770203, +0.091187, +1.417236, -0.216614, -34.927368, -51.849365, -82.580566
1491873197.770475, 1491873197.772866, +0.091187, +1.417236, -0.216614, -34.927368, -51.849365, -82.580566
1491873197.773137, 1491873197.775524, +0.091187, +1.417236, -0.216614, -31.448364, -52.246094, -85.174561
