P_t,P_x,T_t,T_p
        1.0558680296,300.674438,        0.7085964680,-91.918945
        1.0873560905,182.785034,        1.0770430565,127.227783
        1.2497425079,-31.799316,        1.1381995678,-207.977295
        1.5767040253,154.464722,        1.3027580976,-94.711304
        1.6382250786,257.904053,        1.6220749617,-448.226929
        1.6536746025,-62.500000,        1.6485205889,-276.763916
        1.6859605312,31.295776,        1.6697944403,-141.601562
        1.8751280308,43.106079,        1.7016210556,-26.702881
        2.5217725039,280.029297,        2.1706070900,-64.117432
        2.5430951118,261.062622,        2.5325729847,141.510010
        3.0115594864,147.735596,        2.6069010496,-181.991577
        3.0847965479,216.583252,        3.0741615295,-348.999023
        3.1063580513,395.462036,        3.0901595354,-97.061157
        3.1224495173,-165.344238,        3.1170805693,-304.199219
        3.1438149214,225.891113,        3.1278059483,-287.948608
        4.0267854929,301.040649,        3.6796995401,-92.834473
        4.0534384251,205.368042,        4.0429940224,124.526978
        4.3436925411,276.626587,        4.1066870689,-342.163086
        4.5834904909,175.994873,        4.5731265545,-483.245850
        4.6048569679,393.692017,        4.5940730572,-198.516846
        4.6423240900,117.813110,        4.6156599522,-293.624878
        4.8103280067,61.981201,        4.6477094889,-29.495239
        5.4201369286,290.161133,        5.1259460449,-111.770630
        5.4518120289,166.458130,        5.4412170649,43.701172
        5.7473684549,312.622070,        5.5422635078,-363.479614
        5.9930790663,118.347168,        5.9742765427,-472.091675
        6.0092810392,468.688965,        5.9984649420,-225.784302
        6.0411385298,429.077148,        6.0250890255,-476.577759
        6.2249535322,92.117310,        6.0573920012,-24.490356
        6.8519859314,272.140503,        6.4514919519,-137.695312
        6.8870534897,122.512817,        6.8762834072,18.402100
        7.3150719404,197.647095,        6.9773970842,-293.182373
        7.3919975758,283.279419,        7.3814605474,-477.172852
        7.4132781029,354.919434,        7.4025139809,-231.384277
        7.4349445105,-158.065796,        7.4241605997,-265.350342
        7.4504784346,46.661377,        7.4402289391,-237.945557
        7.6934040785,67.733765,        7.4609110355,-52.795410
