S_i,S_t,S_x
396,        1.0558680296,300.674438
615,        1.6382250786,257.904053
947,        2.5217725039,280.029297
955,        2.5430951118,261.062622
1158,        3.0847965479,216.583252
1166,        3.1063580513,395.462036
1180,        3.1438149214,225.891113
1511,        4.0267854929,301.040649
1521,        4.0534384251,205.368042
1630,        4.3436925411,276.626587
1728,        4.6048569679,393.692017
2033,        5.4201369286,290.161133
2156,        5.7473684549,312.622070
2254,        6.0092810392,468.688965
2266,        6.0411385298,429.077148
2570,        6.8519859314,272.140503
2744,        7.3150719404,197.647095
2773,        7.3919975758,283.279419
2781,        7.4132781029,354.919434
