P_t,P_x,T_t,T_p
        0.0064470768,188.842773,        0.0143184662,-186.386108
        0.0607730150,1.693726,        0.8486289978,-58.197021
        1.0442234278,116.928101,        1.2649275064,-103.744507
        1.3500530720,46.096802,        1.3798819780,-42.312622
        1.4436734915,55.572510,        2.0054585934,-77.117920
        2.2709544897,142.623901,        2.5330419540,-140.457153
        2.5942355394,40.313721,        2.6159005165,-98.129272
        2.6953004599,54.336548,        3.4433189631,-50.933838
        3.6830530167,135.345459,        3.7581995726,-13.031006
        3.8378036022,44.403076,        3.9409500360,-153.793335
        4.0052554607,42.022705,        4.0317404270,-66.909790
        4.1063926220,65.521240,        4.7993314266,-73.867798
        4.9779520035,145.614624,        5.0638600588,-35.095215
        5.1299890280,64.392090,        5.2257825136,-185.150146
        5.2363250256,-33.416748,        5.2415100336,-87.570190
        5.2891764641,15.472412,        5.3161360025,-66.925049
        5.3887324333,69.091797,        5.9570314884,-66.040039
        6.2102090120,158.996582,        6.2878170013,-32.379150
        6.3567994833,52.124023,        6.4874670506,-212.524414
        6.5088344812,10.589600,        6.5196095705,-45.761108
        6.5461130142,22.949219,        6.5675030947,-96.481323
        6.6344255209,52.291870,,,
