P_t,P_x,T_t,T_p
        0.7661914825,240.585327,        0.4672343731,-85.830688
        1.0246758461,17.913818,        0.8542599678,-65.658569
        1.2029503584,27.755737,        1.1550278664,-316.009521
        1.2272208929,-48.553467,        1.2137298584,-166.656494
        1.3070529699,75.378418,        1.2299143076,-107.147217
        2.0605798960,235.107422,        1.8389328718,-70.388794
        2.2791138887,44.555664,        2.1433293819,-80.749512
        2.5161594152,-14.862061,        2.5056138039,-341.232300
        2.5534888506,-20.797729,        2.5266953707,-109.329224
        2.6756364107,79.620361,        2.5694543123,-156.066895
        3.3802864552,248.992920,        3.1214114428,-104.675293
        3.5863564014,33.325195,        3.4739899635,-37.887573
        3.8152568340,92.376709,        3.8047583103,-418.685913
        3.8525503874,-23.269653,        3.8315443993,-130.004883
        3.9679548740,77.453613,        3.8738523722,-187.164307
        4.7260187864,263.259888,        4.5308979750,-96.450806
        5.0412318707,45.989990,        4.8105363846,-85.678101
        5.1742963791,90.835571,        5.1636058092,-437.393188
        5.2008609772,21.728516,        5.1851063967,-101.745605
        5.2355704308,100.219727,        5.2252238989,-159.011841
        5.3309489489,69.107056,        5.2458198071,-68.954468
        5.9994823933,230.285645,        5.7409213781,-79.788208
        6.2876373529,43.350220,        6.1147344112,-84.732056
        6.4344494343,13.595581,        6.4132274389,-382.980347
        6.4506514072,29.022217,        6.4371469021,-48.904419
        6.4824904203,31.875610,        6.4614384174,-274.215698
        6.6370918751,69.854736,        6.4928393364,-100.601196
