P_t,P_x,T_t,T_p
        0.8241975307,339.080811,        0.6554290056,-249.908447
        1.0461710691,-91.857910,        1.0304125547,-166.351318
        1.2357035875,-30.090332,        1.0623499155,-168.029785
        1.5456705093,499.755859,        1.3294565678,-404.022217
        1.7681235075,-87.799072,        1.7572815418,-460.174561
        1.9130630493,-86.090088,        1.7816170454,-247.070312
        2.2353869677,499.755859,        2.0139770508,-362.762451
        2.6034450531,-80.459595,        2.4351525307,-433.120728
        2.9186185598,499.755859,        2.7020834684,-378.036499
        3.2873344421,-52.505493,        3.1235790253,-459.960938
        3.6538729668,499.755859,        3.3931815624,-388.122559
        3.8439635038,-128.143311,        3.8223754168,-498.199463
        3.9855394363,-88.821411,        3.8547495604,-302.810669
        4.3383380175,499.755859,        4.0977874994,-452.331543
        4.5227169991,-219.360352,        4.4957879782,-496.948242
        4.6590559483,-82.229614,        4.5278530121,-295.806885
        5.0057754517,499.755859,        4.7604055405,-404.495239
        5.2158919573,-20.690918,        5.1971060038,-498.413086
        5.3448104858,-74.508667,        5.2266944647,-310.287476
        5.4006420374,-241.378784,        5.3847725391,-299.301147
        5.7126400471,499.755859,        5.4591914415,-373.229980
        5.9101430178,-38.055420,        5.8858264685,-497.756958
        6.0383179188,-66.955566,        5.9127736092,-327.117920
        6.4016934633,499.755859,        6.1422914267,-342.239380
        6.6155610085,18.661499,        6.5913079977,-499.282837
        6.7488634586,-59.219360,        6.6263424158,-315.567017
        7.0956009626,499.755859,        6.8801175356,-315.841675
        7.3433774710,0.366211,        7.3273829222,-497.894287
        7.4790999889,-65.643311,        7.3537955284,-321.640015
        7.8320364952,433.410645,        7.5618184805,-256.240845
        8.0990120173,92.575073,        8.0783494711,-498.092651
        8.2006794214,-66.162109,        8.1096860170,-294.052124
,,,        8.3296514750,-227.432251
