P_t,P_x,T_t,T_p
        0.0063475370,403.381348,        0.0115815401,-399.124146
        0.0167233944,0.305176,        0.1920340061,-89.813232
        0.4237904549,135.635376,        0.7109529972,-73.608398
        0.7217459679,-11.322021,        0.8226275444,-88.790894
        0.9108129740,9.979248,        1.3853470087,-163.253784
        1.6846469641,226.104736,        1.9965435266,-81.832886
        2.0788254738,-8.682251,        2.1214910746,-87.493896
        2.2016450167,-8.209229,        2.7215274572,-164.047241
        3.0586464405,234.771729,        3.2988489866,-85.861206
        3.3785614967,-23.498535,        3.4106165171,-104.156494
        3.4985920191,0.106812,        3.9097199440,-178.253174
        4.1717433929,233.016968,        4.4884895086,-86.669922
        4.5663105249,-4.577637,        4.5976780653,-88.012695
        4.6884204149,-15.426636,        5.1142970324,-171.417236
        5.3620129824,253.234863,        5.6498525143,-100.601196
        5.6710709333,-37.475586,        5.7615203857,-92.926025
        5.8623745441,1.739502,        6.2756779194,-173.309326
        6.5250799656,249.908447,        6.8174450397,-116.638184
        6.8281854391,7.492065,        6.9238725901,-114.746094
        7.0144990683,4.348755,        7.5085715055,-196.823120
        7.8019580841,282.608032,        8.0129699707,-59.356689
        8.0343079567,14.984131,        8.0503751040,-93.872070
