P_t,P_x,T_t,T_p
        0.6265960932,137.405396,        0.3211425543,-124.542236
        1.1754480600,46.066284,        0.7731380463,-56.808472
        1.8519450426,189.224243,        1.6065855026,-224.029541
        2.3102135658,32.989502,        2.0202610493,-31.982422
        3.0046750307,200.195312,        2.7534346581,-228.240967
        3.1952251196,50.567627,        3.1578725576,-23.284912
        3.5057015419,33.584595,        3.2298874855,-23.437500
        4.1836525202,187.026978,        3.9189730883,-203.826904
        4.3518660069,39.932251,        4.3203240633,-40.069580
        5.3625755310,179.061890,        5.0930099487,-194.488525
        5.8085205555,34.774780,        5.4984830618,-34.820557
        6.6031374931,162.139893,        6.3282250166,-188.308716
        6.7817730904,39.733887,        6.7494040728,-27.618408
        8.0231356621,251.754761,        7.6031216383,-194.702148
,,,        8.1482110023,-40.740967
