P_t,P_x,T_t,T_p
        1.4939913750,193.695068,        1.0910494328,-123.397827
        2.0008699894,-21.270752,        1.7685264349,-107.192993
        2.8516025543,243.209839,        2.5581809282,-141.723633
        3.5719203949,-21.072388,        3.1558084488,-106.643677
        4.2461888790,225.387573,        3.9399574995,-138.534546
        4.8920350075,-17.623901,        4.5134789944,-108.779907
        5.6188914776,191.894531,        5.3339588642,-124.114990
        6.3115910292,-22.583008,        5.9647754431,-89.920044
        7.0453820229,221.588135,        6.8023065329,-129.013062
        7.8433109522,-20.172119,        7.4693579674,-108.901978
        8.5902190208,209.182739,        8.2483555079,-133.895874
        8.9493179321,-19.989014,        8.8585299253,-71.151733
        9.9785044193,223.098755,        9.6688444614,-136.123657
       10.6580654383,-17.654419,       10.2567265034,-87.661743
       11.3623684645,197.998047,       11.0847299099,-125.061035
       12.0572804213,-6.881714,       11.6089354753,-98.205566
       12.6762944460,245.071411,       12.3879164457,-121.444702
       13.3608839512,-28.091431,       12.8832709789,-78.369141
       13.9286090136,209.518433,       13.6726069450,-134.536743
       14.3184649944,-50.903320,       14.2967839241,-103.713989
       14.7134839296,-18.753052,       14.3449319601,-146.804810
       15.3241834641,222.808838,       15.0658429861,-135.223389
       16.0380849838,-28.427124,       15.6650729179,-117.584229
       16.6698340178,226.821899,       16.4167939425,-121.841431
,,,       17.0739874840,-125.778198
