P_t,P_x,T_t,T_p
        0.3792859316,59.265137,        1.6729505062,-115.615845
        1.9665484428,210.311890,        2.1927169561,-120.956421
        2.3656765223,-15.731812,        2.9760450125,-96.633911
        3.3185163736,204.650879,        3.4984449148,-109.313965
        3.6611864567,-7.781982,        4.2561744452,-136.474609
        4.5499974489,201.110840,        5.5432440042,-131.729126
        5.9022334814,218.399048,        6.0708009005,-107.238770
        6.3476929665,-20.797729,        6.8535484076,-133.529663
        7.1905773878,213.226318,        7.3585380316,-128.662109
        7.6683304310,-16.555786,        8.1171339750,-143.783569
        8.4159510136,193.771362,        8.6316335201,-83.328247
        8.8955425024,-17.974854,        9.3308678865,-143.035889
        9.6302288771,232.788086,        9.8304944038,-104.324341
       10.0352970362,-18.768311,       10.5894523859,-133.209229
       10.8774650097,238.723755,       11.0564899445,-108.566284
       11.2449589968,-20.080566,       11.8128619194,-128.784180
       12.1255348921,237.792969,       12.3143575191,-126.708984
       12.6125965118,-15.396118,       13.0612349510,-123.443604
       13.3720505238,217.697144,       13.5432574749,-95.504761
       13.7456275225,-16.235352,       14.3132148981,-116.302490
       14.6755654812,224.807739,       14.7793929577,-104.431152
       14.7871139050,-28.320312,       14.8113443851,-89.477539
       14.9898369312,-15.640259,       15.5526454449,-124.862671
       15.8863239288,201.812744,       16.0628809929,-75.561523
