P_t,P_x,T_t,T_p
        1.5640474558,332.717896,        1.3259904385,-210.571289
        1.9595004320,-49.179077,        1.7907735109,-147.903442
        2.4990559816,378.845215,        2.2567934990,-248.779297
        2.6535754204,-98.327637,        2.6352034807,-159.896851
        2.8747749329,-58.837891,        2.6723300219,-214.111328
        3.3668289185,398.529053,        3.1298655272,-248.535156
        3.5301779509,-87.249756,        3.5140018463,-146.820068
        3.6625759602,-56.365967,        3.5565924644,-186.050415
        4.2573044300,390.655518,        4.0202894211,-253.173828
        4.4141829014,-90.148926,        4.4036289454,-153.350830
        4.6240808964,-45.333862,        4.4409494400,-224.166870
        5.1575099230,389.022827,        4.8936624527,-238.861084
        5.3201164007,-93.658447,        5.3040229082,-146.087646
        5.5302778482,-38.558960,        5.3708894253,-217.559814
        6.0649573803,368.057251,        5.8076653481,-249.435425
        6.2283594608,-98.510742,        6.2094774246,-149.642944
        6.4496679306,-49.026489,        6.2495000362,-221.481323
        6.9822164774,383.605957,        6.7135808468,-246.536255
        7.1341204643,-105.804443,        7.1236720085,-162.521362
        7.3612954617,-51.055908,        7.1556863785,-235.656738
        7.8910093307,359.542847,        7.6325554848,-241.561890
        8.0488644838,-113.708496,        8.0326789618,-165.115356
        8.2745285034,-56.304932,        8.0698659420,-233.505249
        8.8003028631,393.737793,        8.5438474417,-250.671387
        8.9636669159,-94.635010,        8.9476704597,-157.424927
        9.1852929592,-47.882080,        8.9849089384,-230.178833
        9.6903349161,356.491089,        9.4519714117,-237.365723
        9.8583990335,-95.169067,        9.8426514864,-150.573730
       10.0852744579,-53.375244,        9.8746719360,-207.824707
       10.6222714186,378.356934,       10.3635898829,-224.411011
       10.7794278860,-75.942993,       10.7639579773,-132.583618
       11.0038338900,-48.355103,       10.8063514233,-208.129883
       11.5532764196,384.643555,       11.2939329147,-224.822998
       11.7217024565,-83.648682,       11.7109049559,-136.840820
       11.9583868980,-42.999268,       11.7513079643,-202.850342
       12.5296094418,351.882935,       12.2578634024,-218.750000
       12.6818934679,-82.626343,       12.6630499363,-157.089233
       12.9137895107,-44.387817,       12.7029908895,-201.812744
       13.5032994747,343.887329,       13.2150983810,-217.239380
       13.6657484770,-74.218750,       13.6469199657,-147.537231
       13.9028909206,-55.252075,       13.6920930147,-181.823730
       14.4883414507,369.140625,       14.2179659605,-213.256836
       14.6597985029,-59.555054,       14.6333689690,-123.962402
       14.9027484655,-43.014526,       14.6972744465,-184.921265
       15.5189849138,361.938477,       15.2276724577,-215.393066
       15.9438613653,-1.296997,       15.7395514250,-169.006348
,,,       16.2902404070,-131.118774
