S_i,S_t,S_x
588,        1.5640474558,332.717896
939,        2.4990559816,378.845215
1265,        3.3668289185,398.529053
1599,        4.2573044300,390.655518
1937,        5.1575099230,389.022827
2277,        6.0649573803,368.057251
2621,        6.9822164774,383.605957
2962,        7.8910093307,359.542847
3303,        8.8003028631,393.737793
3637,        9.6903349161,356.491089
3986,       10.6222714186,378.356934
4335,       11.5532764196,384.643555
4701,       12.5296094418,351.882935
5066,       13.5032994747,343.887329
5435,       14.4883414507,369.140625
5821,       15.5189849138,361.938477
