S_i,S_t,S_x
258,        0.6886954308,132.904053
828,        2.2093024254,261.520386
1329,        3.5439695120,270.355225
1817,        4.8440635204,281.524658
2302,        6.1326804161,277.404785
2777,        7.3992869854,274.353027
3230,        8.6089110374,264.923096
3694,        9.8462644815,271.087646
4153,       11.0704543591,271.438599
4635,       12.3544985056,262.039185
5100,       13.5942825079,281.616211
5558,       14.8216584921,262.100220
6026,       16.0677834749,262.451172
6482,       17.2835578918,265.274048
6948,       18.5239664316,277.664185
7416,       19.7716214657,291.290283
7887,       21.0226269960,276.321411
8376,       22.3275994062,276.977539
8847,       23.5823614597,263.610840
9335,       24.8836275339,248.092651
