P_t,P_x,T_t,T_p
        0.9410486221,110.397339,        0.7408194542,-64.956665
        2.5770784616,255.676270,        2.2808399200,-135.620117
        3.3397880793,-29.922485,        2.9667830467,-91.690063
        4.1437571049,241.104126,        3.8375995159,-143.035889
        4.4131669998,-26.748657,        4.3808075190,-79.330444
        4.8289605379,-31.890869,        4.4798715115,-92.941284
        5.6948145628,217.605591,        5.3970714808,-124.359131
        6.2738554478,-25.833130,        6.0312144756,-82.702637
        7.1636730433,217.788696,        6.8677765131,-140.121460
        7.7367700338,-31.433105,        7.5259860754,-115.859985
        8.6297430992,240.554810,        8.3251935244,-136.718750
        9.1925780773,-24.536133,        8.9553680420,-99.655151
       10.1146984100,262.435913,        9.8034864664,-141.677856
       10.7605775595,-24.459839,       10.4140610695,-106.689453
       11.5334925652,241.210938,       11.2347615957,-147.476196
       12.1708569527,-29.220581,       11.8753504753,-113.830566
       12.9973020554,226.348877,       12.7072160244,-147.872925
       13.6051275730,-19.683838,       13.3545775414,-111.160278
       14.4415730238,225.296021,       14.1833904982,-141.754150
       15.0831810236,-32.501221,       14.8044550419,-108.993530
       15.9162509441,240.615845,       15.6249254942,-143.554688
       16.5527709723,-27.648926,       16.2205265760,-94.406128
       17.3400560617,248.458862,       17.0149915218,-132.415771
       17.8307285309,-31.509399,       17.5563415289,-99.899292
       18.7172085047,249.511719,       18.3971550465,-136.795044
       19.3438670635,-25.497437,       19.0182540417,-106.277466
       20.1273765564,257.553101,       19.8337364197,-140.853882
       20.8209695816,-24.276733,       20.4599560499,-100.311279
       21.6276090145,238.479614,       21.3124675751,-134.628296
       22.2154829502,-23.376465,       21.9840250015,-98.785400
       23.1161249876,256.668091,       22.7882815599,-144.577026
       23.7205599546,-18.325806,       23.4780880213,-102.691650
       24.6361595392,237.319946,       24.3045960665,-138.656616
       25.1972575188,-25.711060,       24.9672634602,-93.719482
       26.1072810888,235.290527,       25.7990950346,-140.991211
       26.6617549658,-31.723022,       26.4408919811,-102.813721
       27.5547685623,240.432739,       27.2378195524,-141.784668
       28.2536494732,-34.378052,       27.8744654655,-108.016968
       28.9917604923,228.454590,       28.6966859102,-143.371582
       29.3171370029,-28.274536,       29.2852089405,-86.898804
       29.7002624273,-26.702881,       29.3746690750,-108.367920
       30.5575745106,231.689453,       30.2424980402,-136.154175
       31.1690604687,-18.737793,       30.8952414989,-107.711792
       32.0895135403,175.735474,       31.8572524786,-109.878540
