S_i,S_t,S_x
351,        0.9410486221,110.397339
964,        2.5770784616,255.676270
1553,        4.1437571049,241.104126
2135,        5.6948145628,217.605591
2687,        7.1636730433,217.788696
3237,        8.6297430992,240.554810
3795,       10.1146984100,262.435913
4327,       11.5334925652,241.210938
4876,       12.9973020554,226.348877
5418,       14.4415730238,225.296021
5971,       15.9162509441,240.615845
6506,       17.3400560617,248.458862
7022,       18.7172085047,249.511719
7551,       20.1273765564,257.553101
8115,       21.6276090145,238.479614
8675,       23.1161249876,256.668091
9245,       24.6361595392,237.319946
9797,       26.1072810888,235.290527
10340,       27.5547685623,240.432739
10880,       28.9917604923,228.454590
11460,       30.5575745106,231.689453
12033,       32.0895135403,175.735474
