Stride_Max,Stride_Min,Period
2.036133,-3.734802,        0.8475123644
4.153381,-4.033813,        0.8275490999
4.940369,-4.814941,        0.8793759346
4.358459,-5.409302,        0.8576405048
4.034180,-4.753784,        0.8861324787
5.184631,-5.958435,        0.8375051022
5.422302,-5.570435,        0.8670819998
4.009644,-4.892944,        0.9063818455
4.484070,-5.700256,        0.8858366013
5.092163,-5.429260,        0.8598829508
4.853394,-5.208252,        0.8770411015
4.795715,-5.961914,        0.8559318781
5.187744,-5.728638,        0.8975615501
4.913269,-5.065979,        0.8768365383
3.517090,-4.442505,        0.8977639675
3.933838,-4.641174,        0.8767020702
4.213989,-4.156677,        0.8576898575
3.511780,-3.388916,        0.8980035782
3.853271,-5.056824,        0.9347079992
3.063171,-4.153931,        1.1507140398
