T_max,Max,T_min,Min
        1.3039449453,0.557922,        1.3167558908,-0.722900
        2.4258048534,2.682312,        2.4757044315,-3.056946
        3.4372788668,2.570618,        3.4804923534,-2.705383
        4.4112974405,3.069397,        4.4631369114,-3.713562
        5.3785214424,2.797852,        5.4593029022,-4.582764
        6.3711059093,3.084778,        6.4216849804,-3.797607
        7.3471109867,2.864319,        7.3961774111,-4.066589
        8.3114244938,3.016113,        8.3709294796,-3.671265
        9.2756398916,2.661072,        9.3179454803,-2.263733
       10.2393573523,2.741821,       10.2932615280,-3.908936
       11.2150524855,3.079102,       11.2765223980,-3.194092
       12.1690510511,2.835571,       12.2013149261,-3.443665
       13.1159424782,2.979126,       13.1574409008,-3.884583
       14.0520573854,3.267517,       14.1208624840,-4.497070
       15.0268108845,2.913025,       15.0578525066,-2.852966
       15.9703754187,3.506104,       16.0217494965,-4.254639
       16.9457049370,3.184021,       16.9981085062,-2.943420
       17.9099293947,3.350281,       17.9619870186,-3.790649
       18.8939844370,3.368042,       18.9467349052,-3.663574
       19.9271340370,2.872009,       19.9702303410,-2.809387
       20.9328063726,2.224365,       20.9937889576,-3.402466
