P_t,P_x,T_t,T_p
        1.3039449453,0.557922,        2.0545890331,-1.044617
        2.0726563931,0.891907,        2.1034239531,-1.657471
        2.4258048534,2.682312,        2.4834774733,-3.056946
        2.5019065142,0.794312,        3.0391504765,-1.635315
        3.0886470079,1.814575,        3.1181758642,-2.223267
        3.4372788668,2.570618,        3.4881439209,-2.705383
        3.5060443878,0.522400,        3.5165489912,-0.479187
        3.5553649664,0.864624,        4.0506999493,-1.791138
        4.0811024904,1.936890,        4.1117554903,-2.637268
        4.4112974405,3.069397,        4.4710353613,-3.713562
        4.4822194576,1.118774,        5.0168955326,-1.764954
        5.0375075340,2.387329,        5.0743938684,-1.531677
        5.3785214424,2.797852,        5.4646904469,-4.582764
        5.4831378460,1.125000,        6.0117229223,-2.260620
        6.0399475098,2.190308,        6.0683854818,-2.933716
        6.3711059093,3.084778,        6.4293608665,-3.797607
        6.4497795105,1.070984,        6.9764789343,-1.419067
        7.0050539970,1.512085,        7.0333999395,-1.939453
        7.3471109867,2.864319,        7.3961774111,-4.066589
        7.4252610207,1.382629,        7.9501749277,-1.962708
        7.9799180031,1.612061,        8.0082354546,-2.089783
        8.3114244938,3.016113,        8.3789949417,-3.671265
        8.3977549076,1.030884,        8.9150624275,-1.818970
        8.9433809519,1.549255,        8.9743444920,-2.350891
        9.2756398916,2.661072,        9.3255999088,-2.263733
        9.3436694145,0.996826,        9.8711059093,-1.905212
        9.9081208706,1.321838,        9.9397244453,-2.097839
       10.2393573523,2.741821,       10.2983739376,-3.908936
       10.3191199303,1.267090,       10.8550064564,-1.869141
       10.8755264282,1.293457,       10.9143295288,-2.335327
       11.2150524855,3.079102,       11.2842988968,-3.194092
       11.3031613827,0.808960,       11.7901024818,-1.525818
       11.8293104172,1.112732,       11.8501944542,-2.048584
       12.1690510511,2.835571,       12.2090159655,-3.443665
       12.2297585011,1.341797,       12.2377054691,-0.252686
       12.2672965527,0.753845,       12.7346619368,-1.948242
       12.7660009861,1.974792,       12.7950204611,-1.937439
       13.1159424782,2.979126,       13.1652584076,-3.884583
       13.1846244335,1.516113,       13.7110474110,-1.955933
       13.7393054962,1.793701,       13.7677489519,-2.004456
       14.0520573854,3.267517,       14.1208624840,-4.497070
       14.1491694450,1.686951,       14.6555819511,-1.555664
       14.6838895082,1.302979,       14.7132574320,-1.987427
       15.0268108845,2.913025,       15.0657004118,-2.852966
       15.0840328932,1.068420,       15.1050804853,-0.380676
       15.1346684694,0.676025,       15.6007523537,-1.650696
       15.6397174597,1.553467,       15.6706634760,-1.894409
       15.9703754187,3.506104,       16.0294544697,-4.254639
       16.0508550406,1.114746,       16.5663429499,-1.562073
       16.6152058840,0.843567,       16.6447780132,-1.423828
       16.9457049370,3.184021,       17.0032819510,-2.943420
       17.0240349770,1.007629,       17.5608699322,-1.684937
       17.5903010368,1.516479,       17.6190583706,-2.095642
       17.9099293947,3.350281,       17.9700468779,-3.790649
       17.9865449667,1.406616,       18.5239465237,-1.324219
       18.5625014305,1.417786,       18.5939959288,-2.006836
       18.8939844370,3.368042,       18.9544373751,-3.663574
       18.9726248980,1.255005,       19.5181039572,-1.751770
       19.5682339668,1.566101,       19.6075215340,-1.638245
       19.9271340370,2.872009,       19.9779249430,-2.809387
       20.0064144135,0.799622,       20.5333725214,-1.918030
       20.5795143843,1.575073,       20.6109883785,-1.975342
       20.9328063726,2.224365,       20.9989954233,-3.402466
       21.0197244883,1.092773,       21.0481904745,-0.397339
       21.0772730112,0.751282,       21.7110688686,-0.852905
       21.7703089714,1.054871,       21.7997254133,-0.953430
       22.1107289791,1.688232,,,
