S_t,S_x
        1.3039449453,0.557922
        2.4258048534,2.682312
        3.4372788668,2.570618
        4.4112974405,3.069397
        5.3785214424,2.797852
        6.3711059093,3.084778
        7.3471109867,2.864319
        8.3114244938,3.016113
        9.2756398916,2.661072
       10.2393573523,2.741821
       11.2150524855,3.079102
       12.1690510511,2.835571
       13.1159424782,2.979126
       14.0520573854,3.267517
       15.0268108845,2.913025
       15.9703754187,3.506104
       16.9457049370,3.184021
       17.9099293947,3.350281
       18.8939844370,3.368042
       19.9271340370,2.872009
       20.9328063726,2.224365
       21.7703089714,1.054871
