Stride_Max,Stride_Min,Period
1.528931,-1.161987,        1.0938998461
3.887085,-1.308716,        0.9947736263
3.999023,-1.849731,        0.9927430153
3.999023,-1.623291,        0.9952135086
3.993896,-1.864746,        0.9668234587
3.999023,-1.693604,        0.9546689987
3.999023,-1.815063,        0.9859634638
3.999023,-1.784302,        0.9732589722
3.999023,-2.112793,        0.9380719662
3.999023,-1.093750,        1.0047291517
3.930908,-1.362061,        0.9646844864
3.216919,-1.564941,        0.9842873812
3.935425,-1.598389,        0.9461065531
3.978638,-1.593262,        0.9658584595
3.993164,-1.850708,        0.9833935499
3.989258,-1.569702,        0.9676924944
3.864502,-1.274780,        1.0838954449
