P_t,P_x,T_t,T_p
        0.6148345470,1.528931,        0.6815019846,-2.258667
        0.7019864321,0.895874,        1.2938280106,-1.161987
        1.7087343931,3.887085,        1.7758914232,-3.926147
        1.7949004173,1.836182,        2.4158269167,-1.308716
        2.7035080194,3.999023,        2.7610764503,-3.992798
        2.7799503803,2.515503,        3.4218734503,-1.849731
        3.6962510347,3.999023,        3.7657244205,-3.766113
        3.7964235544,3.475586,        4.3087269068,-1.623291
        4.6914645433,3.993896,        4.7609659433,-3.735107
        4.7916134596,3.963135,        5.2925524712,-1.864746
        5.6582880020,3.999023,        5.7163214684,-3.999023
        5.7372684479,2.693237,        6.2398020029,-1.693604
        6.6129570007,3.999023,        6.6833249331,-3.877563
        6.7017514706,3.103516,        7.2241419554,-1.815063
        7.5989204645,3.999023,        7.6664874554,-3.983154
        7.6979314089,2.919922,        8.2086474895,-1.784302
        8.5721794367,3.999023,        8.6312730312,-3.906616
        8.6527154446,1.954712,        9.1361960173,-2.112793
        9.5102514029,3.999023,        9.5693744421,-3.648682
        9.6369969845,1.951538,       10.1108045578,-1.093750
       10.5149805546,3.930908,       10.5727069378,-2.971436
       10.6429214478,1.521484,       11.1841853857,-1.362061
       11.4796650410,3.216919,       11.5574790239,-3.492554
       11.5782694817,2.061890,       12.1696504354,-1.564941
       12.4639524221,3.935425,       12.5422195196,-3.913208
       12.5627719164,3.770996,       13.1241844893,-1.598389
       13.4100589752,3.978638,       13.4882963896,-3.999023
       13.5087994337,3.152344,       14.0215969086,-1.593262
       14.3759174347,3.993164,       14.4540029764,-3.890625
       14.4826405048,2.217407,       14.9841535091,-1.850708
       15.3593109846,3.989258,       15.4190468788,-3.551147
       15.4782050848,1.257568,       15.9420770407,-1.569702
       16.3270034790,3.864502,       16.3859584332,-3.152344
       16.4551860094,1.849731,       16.9770359993,-1.274780
       17.4108989239,1.404419,       17.5374283791,-3.524658
