S_t,S_x
        0.6148345470,1.528931
        1.2938280106,-1.161987
        1.7087343931,3.887085
        2.4158269167,-1.308716
        2.7035080194,3.999023
        3.4218734503,-1.849731
        3.6962510347,3.999023
        4.3087269068,-1.623291
        4.6914645433,3.993896
        5.2925524712,-1.864746
        5.6582880020,3.999023
        6.2398020029,-1.693604
        6.6129570007,3.999023
        7.2241419554,-1.815063
        7.5989204645,3.999023
        8.2086474895,-1.784302
        8.5721794367,3.999023
        9.1361960173,-2.112793
        9.5102514029,3.999023
       10.1108045578,-1.093750
       10.5149805546,3.930908
       11.1841853857,-1.362061
       11.4796650410,3.216919
       12.1696504354,-1.564941
       12.4639524221,3.935425
       13.1241844893,-1.598389
       13.4100589752,3.978638
       14.0215969086,-1.593262
       14.3759174347,3.993164
       14.9841535091,-1.850708
       15.3593109846,3.989258
       15.9420770407,-1.569702
       16.3270034790,3.864502
       16.9770359993,-1.274780
       17.4108989239,1.404419
