P_t,P_x,T_t,T_p
        1.6436275244,2.036133,        1.6808789968,-3.734802
        1.7106214762,0.438721,        2.2178928852,-2.686340
        2.4911398888,4.153381,        2.5601278543,-4.033813
        2.5781024694,2.746216,        2.6071324348,-0.236572
        2.6283969879,1.330994,        2.9212110043,-1.699036
        3.0172394514,-0.251770,        3.0480599403,-2.884644
        3.3186889887,4.940369,        3.3880720139,-4.814941
        3.4169180393,4.299500,        3.7865455151,-1.342529
        3.8668909073,-0.170471,        3.9036029577,-2.273071
        4.1980649233,4.358459,        4.2567939758,-5.409302
        4.2859339714,2.888123,        4.3150534630,-0.335266
        4.3343229294,1.245667,        4.6953634024,-1.476562
        4.7426369190,0.272095,        4.7638673782,-2.155884
        5.0557054281,4.034180,        5.1147009134,-4.753784
        5.1434619427,3.128357,        5.1730259657,0.028564
        5.1996779442,1.150085,        5.5426404476,-1.408997
        5.6190643311,0.082764,        5.6487299204,-1.784912
        5.9418379068,5.184631,        6.0005319118,-5.958435
        6.0189130306,3.548401,        6.0593324900,-0.406494
        6.0777088404,1.317993,        6.3816044331,-1.791687
        6.4585803747,0.133301,        6.4960919619,-2.555054
        6.7793430090,5.422302,        6.8379490376,-5.570435
        6.8568439484,4.257385,        6.8860689402,-0.074341
        6.9157209396,1.116760,        7.2859719992,-1.360291
        7.3258494139,-0.164429,        7.3552190065,-2.083191
        7.6464250088,4.009644,        7.7049344778,-4.892944
        7.7341818810,3.439819,        7.7632724047,-0.675476
        7.7929519415,1.271484,        8.1741819382,-1.289062
        8.2303678989,0.014282,        8.2621339560,-1.491211
        8.5528068542,4.305908,        8.6116589308,-5.700256
        8.6410894394,4.484070,        8.6598489285,-1.094421
        8.6893785000,1.034912,        9.0415998697,-1.432251
        9.1266484261,-0.171753,        9.1560969353,-1.594666
        9.4386434555,4.356262,        9.4972333908,-5.429260
        9.5265605450,5.092163,        9.5559228659,-1.030701
        9.5853229761,1.317627,        9.8892524242,-1.384277
        9.9855409861,-0.310547,       10.0154159069,-1.804321
       10.2985264063,4.853394,       10.3549139500,-5.208252
       10.3840314150,4.043152,       10.4131540060,-1.454407
       10.4345594645,1.446533,       10.8047884703,-1.653259
       10.8819154501,-0.515259,       10.9115549326,-2.183716
       11.1755675077,4.795715,       11.2341929674,-5.961914
       11.2528588772,4.278992,       11.2924573421,-0.904724
       11.3112989664,1.106873,       11.7502775192,-1.514099
       12.0314993858,5.187744,       12.0915974379,-5.728638
       12.1104530096,3.628784,       12.1485824585,-0.726013
       12.1693040133,0.942444,       12.5477014780,-1.124268
       12.6083859205,0.023804,       12.6377638578,-1.057800
       12.9290609360,4.913269,       12.9767320156,-5.065979
       13.0060974360,3.605713,       13.0461238623,-0.832031
       13.0650069714,1.201538,       13.5236248970,-1.644287
       13.8058974743,3.361633,       13.8643894196,-4.442505
       13.8832179308,3.517090,       13.9150419235,-1.089111
       13.9418964386,0.970093,       14.3220394850,-1.269287
       14.3733954430,0.270630,       14.4002515078,-1.179199
       14.7036614418,3.933838,       14.7622823715,-4.641174
       14.7811844349,2.681396,       14.8209304810,-0.604065
       14.8393030167,1.001221,       15.1903309822,-1.347107
       15.2677184343,0.002014,       15.2968324423,-1.644836
       15.5803635120,4.213989,       15.6494255066,-4.156677
       15.6677424908,3.028198,       15.6893509626,-0.600403
       15.7158619165,1.219482,       16.1659729481,-1.989624
       16.4380533695,3.511780,       16.4964754581,-3.388916
       16.5153199434,2.683777,       16.5444729328,-0.746704
       16.5740418434,1.732178,       16.9850409031,-1.320557
       17.0139199495,0.081116,       17.0428594351,-1.449646
       17.3360569477,3.853271,       17.3840724230,-5.056824
       17.4131360054,3.208557,       17.4434094429,-0.818665
       17.4619784355,0.993713,       17.9301434755,-1.502197
       17.9590319395,0.277954,       17.9989224672,-1.599792
       18.2707649469,2.964478,       18.3577263355,-4.153931
       18.3789700270,3.063171,       18.3972584009,-0.806396
       18.4475585222,0.908203,       18.9345843792,-1.173340
       19.4214789867,1.817505,       19.4507925510,-1.640808
