P_t,P_x,T_t,T_p
        2.0875560045,1.100098,        0.7981408834,-2.567749
        2.1762279272,1.305542,        2.1465694904,-3.556641
        3.2512874603,2.418823,        2.7980920076,-0.857300
        3.3598339558,1.957153,        3.3286064863,-3.948853
        4.4897840023,1.565186,        4.0274679661,-0.680176
        4.6295149326,1.784668,        4.6006064415,-3.805420
        5.7530704737,2.023804,        4.6680104733,-0.837158
        5.8594264984,1.696289,        5.8293390274,-3.708862
        6.9520829916,2.044678,        6.4797209501,-0.962646
        7.0708359480,2.039429,        7.0417120457,-3.925415
        8.1654894352,1.977783,        7.6524630785,-0.659790
        8.2532894611,1.878174,        8.2223025560,-3.923706
        9.3057140112,2.353149,        8.9221565723,-0.803955
        9.4240075350,2.383789,        9.3955879211,-3.976929
       10.4779200554,2.939331,        9.9858845472,-0.925903
       10.5779989958,2.473999,       10.5479949713,-3.997925
       11.6703540087,2.048218,       11.1788309813,-0.798096
       11.7694070339,1.410767,       11.7284420729,-3.213135
       12.8304594755,3.148926,       12.4478149414,-1.017822
       12.9296895266,2.198364,       12.8903449774,-3.718750
       14.0044710636,2.166748,       13.5909794569,-1.031738
       14.0833160877,1.656006,       14.0535199642,-3.861572
       15.1171909571,3.245483,       14.7335230112,-1.099609
       15.2161124945,2.126587,       15.1762640476,-3.963867
       16.2395479679,3.101685,       15.8463474512,-1.170044
       16.3198695183,2.372803,       16.2886400223,-3.870605
       17.3435109854,2.880615,       16.8796985149,-1.051514
       17.4411414862,2.360840,       17.4010159969,-3.868042
       18.4651739597,2.399658,       18.0031204224,-1.195923
       18.5547775030,2.401245,       18.5245103836,-3.963989
       19.6072844267,2.419678,       19.1456725597,-1.004883
       19.6977025270,2.198364,       19.6586445570,-3.621460
       20.7714689970,2.843506,       20.3552805185,-0.889648
       20.8599145412,2.589600,       20.8293094635,-3.974487
       21.9332234859,2.727539,       21.4390175343,-0.778687
       22.0217394829,1.958618,       21.9900540113,-3.918823
       23.0641731024,1.796265,       22.5824680328,-0.803467
       23.1842849255,2.179321,       23.1534700394,-3.967896
       24.2473444939,2.048340,       23.7536325455,-0.659180
       24.3454930782,2.141235,       24.3165080547,-3.868408
       25.4287914038,2.330811,       24.9473299980,-0.805298
       25.5280045271,1.749512,       25.4989523888,-3.520020
       26.6312829256,1.682495,       26.1375859976,-1.144897
       26.7493075132,2.168091,       26.7198565006,-3.751953
       27.9104919434,1.570801,       26.7775214911,-0.627930
       28.0182075500,1.583984,       27.9901034832,-3.223145
,,,       29.4074879885,-1.710571
