Stride_Max,Stride_Min,Period
0.199219,-2.428345,        2.2300685644
0.365845,-1.395264,        2.0933433771
0.377747,-2.158447,        2.0475870371
0.463806,-1.659851,        1.9855079651
0.336731,-1.380066,        1.8506200314
0.205994,-1.241638,        1.9497685432
0.257263,-1.421997,        2.0267238617
0.361267,-0.798157,        1.8979806900
0.463074,-1.041321,        2.2389019728
0.661377,-1.426575,        1.7550768852
0.231262,-1.182678,        1.3633326292
0.282715,-1.011292,        1.7434053421
0.270264,-0.932739,        2.0443260670
0.374451,-0.942078,        2.2207695246
0.542358,-1.435730,        1.2744439840
0.320068,-1.627075,        2.1746795177
0.410706,-1.478394,        1.8006845713
0.294067,-1.412109,        1.2555394173
0.216797,-1.501831,        1.8611710072
0.143005,-2.144165,        1.8709264994
0.206726,-1.714966,        1.8871774673
0.292786,-1.993652,        1.9187829494
0.215149,-2.507446,        1.6573179960
0.175049,-2.149475,        0.6732746363
0.246643,-1.558044,        1.2439789772
0.309631,-1.282654,        1.7260115147
0.195374,-1.023193,        1.8970364332
0.432129,-1.816589,        1.8617790937
