P_t,P_x,T_t,T_p
        4.5196603537,1.205933,        1.8004274368,-1.896606
        5.8166015148,1.030334,        4.5688890219,-2.089233
        7.1201074123,1.044983,        5.8737334013,-1.924072
        8.4171084166,1.126282,        7.1785384417,-1.971863
        9.2658764124,1.029419,        8.4750324488,-2.084290
       10.9111899137,1.197876,        9.7047419548,-1.733276
       12.1406459808,1.248962,       10.9693268538,-1.942932
       13.3571175337,1.265442,       12.1970914602,-2.553040
       14.6240124702,1.214539,       13.4249584675,-1.850281
       15.4245493412,1.198425,       14.6538159847,-2.010864
       17.0419404507,1.588623,       15.8728194237,-2.063965
       18.2487279177,1.717712,       17.0891654491,-2.049866
       19.3981409073,1.731995,       18.2985149622,-2.252197
       20.6174440384,1.297852,       19.4669458866,-2.391357
       21.8062578440,1.891113,       20.6561359167,-2.566772
       23.0146503448,1.311768,       21.8558319807,-2.191772
       24.1940829754,1.327698,       23.0645660162,-1.882507
       25.3851253986,1.447998,       24.2628039122,-2.332581
       26.5326714516,1.793518,       25.4521529675,-1.979187
       27.7010804415,1.604004,       26.5918219090,-2.797302
       28.8719354868,1.407349,       27.7610783577,-1.977356
       30.0803194046,1.419067,       28.9393614531,-2.067078
       31.2388819456,1.684387,       30.1194769144,-2.160645
       32.4079464674,1.564087,       31.2988153696,-2.101501
       33.5688585043,1.956665,       32.4492044449,-2.429260
       34.7178488970,1.255005,       33.6167399883,-2.901672
       35.8688914776,1.650696,       34.7761520147,-2.397400
       37.0676873922,1.208130,       35.9281120300,-2.552307
       38.3044835329,1.043884,       37.1170164347,-2.133362
       39.4938994646,1.525269,       38.3632735014,-2.254028
       40.7205868959,1.551270,       39.5420240164,-2.676453
,,,       40.7816579342,-1.829041
