S_t,S_x
        3.3724235296,0.199219
        7.6958354712,0.377747
        9.7434225082,0.463806
       11.7289304733,0.336731
       13.5795505047,0.205994
       15.5293190479,0.257263
       17.5560429096,0.361267
       19.4540235996,0.463074
       21.6929255724,0.661377
       23.4480024576,0.231262
       24.8113350868,0.282715
       26.5547404289,0.270264
       28.5990664959,0.374451
       30.8198360205,0.542358
       32.0942800045,0.320068
       34.2689595222,0.410706
       36.0696440935,0.294067
       37.3251835108,0.216797
       39.1863545179,0.143005
       41.0572810173,0.206726
       42.9444584846,0.292786
       44.8632414341,0.215149
       46.5205594301,0.175049
       47.1938340664,0.246643
       48.4378130436,0.309631
       50.1638245583,0.195374
       52.0608609915,0.432129
       53.9226400852,0.307617
       55.7808190584,0.293518
       57.6226150990,0.339844
       59.5698986053,0.293884
       61.3156105280,0.444214
       63.1375060081,0.260376
       65.2698254585,0.773987
       67.1020239592,0.443298
       68.9233704805,0.292603
       71.0950239897,0.357422
       73.2193194628,0.141357
