timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1489556775.388632, 1489556775.392001, -0.267151, -1.200439, -0.352661, +9.490967, -0.488281, -4.882812
1489556775.392381, 1489556775.394983, -0.267151, -1.200439, -0.352661, +9.338379, -0.488281, -4.882812
1489556775.395249, 1489556775.398338, -0.217346, -0.927063, -0.284729, +10.452271, -0.091553, -6.362915
1489556775.398609, 1489556775.400916, -0.217346, -0.927063, -0.284729, +10.452271, -0.091553, -6.362915
1489556775.401180, 1489556775.403474, -0.217346, -0.927063, -0.284729, +9.277344, -0.534058, -5.493164
1489556775.403731, 1489556775.406015, -0.217346, -0.973938, -0.300842, +9.277344, -0.534058, -5.493164
1489556775.406272, 1489556775.408596, -0.230164, -0.950684, -0.300842, +9.399414, -0.091553, -5.966187
1489556775.408855, 1489556775.411203, -0.230164, -0.950684, -0.300842, +9.399414, -0.091553, -5.966187
1489556775.411462, 1489556775.413748, -0.230164, -0.950684, -0.300842, +9.399414, -0.122070, -6.057739
1489556775.414009, 1489556775.416298, -0.230164, -0.964966, -0.302673, +9.414673, -0.122070, -6.057739
1489556775.416560, 1489556775.418840, -0.213135, -0.964966, -0.302673, +9.414673, +3.784180, -5.523682
1489556775.419098, 1489556775.421458, -0.213135, -0.964966, -0.302673, +9.521484, +0.152588, -5.523682
1489556775.421716, 1489556775.424007, -0.213135, -0.964966, -0.302673, +9.521484, +0.152588, -5.523682
1489556775.424264, 1489556775.426550, -0.205444, -0.973206, -0.299011, +9.994507, +0.366211, -5.325317
1489556775.426806, 1489556775.429096, -0.205444, -0.973206, -0.299011, +9.994507, +0.366211, -5.325317
1489556775.429353, 1489556775.431745, -0.205444, -0.973206, -0.299011, +9.613037, +0.610352, -4.959106
1489556775.432003, 1489556775.434293, -0.205444, -0.973206, -0.299011, +9.613037, +0.610352, -4.959106
1489556775.434551, 1489556775.436839, -0.207642, -0.972656, -0.291321, +9.902954, +1.342773, -5.004883
1489556775.437095, 1489556775.439383, -0.207642, -0.972656, -0.291321, +9.902954, +1.342773, -5.004883
1489556775.439650, 1489556775.442068, -0.207642, -0.972656, -0.291321, +10.406494, +1.724243, -5.630493
1489556775.442336, 1489556775.444762, -0.207642, -0.972656, -0.295349, +10.406494, +1.724243, -5.630493
1489556775.445029, 1489556775.447442, -0.213867, -0.968262, -0.295349, +10.925293, +2.273560, -5.340576
1489556775.447713, 1489556775.450142, -0.213867, -0.968262, -0.295349, +10.925293, +2.273560, -5.340576
1489556775.450411, 1489556775.452831, -0.213867, -0.968262, -0.295349, +10.971069, +2.029419, -5.706787
1489556775.453098, 1489556775.455518, -0.220276, -0.964050, -0.294800, +10.971069, +2.029419, -5.706787
1489556775.455786, 1489556775.458209, -0.220276, -0.964050, -0.294800, +10.971069, +1.846313, -5.630493
1489556775.458477, 1489556775.460909, -0.220276, -0.964050, -0.294800, +10.360718, +1.846313, -5.630493
1489556775.461179, 1489556775.463594, -0.220276, -0.964050, -0.294800, +10.360718, +1.495361, -5.233765
1489556775.463863, 1489556775.466288, -0.227051, -0.969910, -0.289307, +10.131836, +1.495361, -5.233765
1489556775.466557, 1489556775.468977, -0.227051, -0.969910, -0.289307, +10.131836, +1.037598, -5.142212
1489556775.469245, 1489556775.471614, -0.227051, -0.969910, -0.289307, +10.192871, +1.037598, -5.142212
1489556775.471875, 1489556775.474168, -0.227051, -0.969910, -0.292419, +10.192871, +1.037598, -5.126953
1489556775.474427, 1489556775.476837, -0.227783, -0.965698, -0.292419, +10.009766, +0.839233, -5.126953
1489556775.477098, 1489556775.479391, -0.227783, -0.965698, -0.292419, +10.009766, +0.839233, -5.126953
1489556775.479716, 1489556775.482137, -0.227783, -0.965698, -0.292419, +10.086060, +0.518799, -5.035400
1489556775.482405, 1489556775.484819, -0.212402, -0.967896, -0.283447, +10.086060, +0.518799, -5.035400
1489556775.485089, 1489556775.487503, -0.212402, -0.967896, -0.283447, +10.620117, +0.518799, -5.447388
1489556775.487772, 1489556775.490201, -0.212402, -0.967896, -0.283447, +10.620117, +0.518799, -5.447388
1489556775.490470, 1489556775.492880, -0.212402, -0.967896, -0.283447, +10.208130, +0.381470, -5.218506
1489556775.493289, 1489556775.495705, -0.210388, -0.970642, -0.286011, +10.208130, +0.381470, -5.218506
1489556775.495975, 1489556775.498389, -0.210388, -0.970642, -0.286011, +10.009766, +0.167847, -5.432129
1489556775.498658, 1489556775.501112, -0.210388, -0.970642, -0.286011, +10.009766, +0.167847, -5.432129
1489556775.501382, 1489556775.503799, -0.210388, -0.963684, -0.287109, +10.147095, -0.045776, -5.630493
1489556775.504070, 1489556775.506489, -0.209839, -0.963684, -0.287109, +10.147095, -0.045776, -5.630493
1489556775.506760, 1489556775.509175, -0.209839, -0.963684, -0.287109, +10.406494, -0.122070, -5.447388
1489556775.509444, 1489556775.511775, -0.209839, -0.963684, -0.287109, +10.406494, -0.122070, -5.447388
1489556775.512037, 1489556775.514329, -0.208374, -0.963501, -0.291321, +10.314941, -0.274658, -5.111694
1489556775.514590, 1489556775.516880, -0.208374, -0.963501, -0.291321, +10.314941, -0.274658, -5.111694
1489556775.517140, 1489556775.519428, -0.208374, -0.963501, -0.291321, +10.147095, +0.015259, -5.432129
1489556775.519879, 1489556775.522177, -0.208374, -0.963501, -0.291321, +10.147095, +0.015259, -5.432129
1489556775.522440, 1489556775.524729, -0.210938, -0.962769, -0.298096, +10.070801, +0.000000, -5.661011
1489556775.524989, 1489556775.527278, -0.210938, -0.962769, -0.298096, +10.070801, +0.000000, -5.661011
1489556775.527538, 1489556775.529999, -0.210938, -0.962769, -0.298096, +10.070801, +0.000000, -5.599976
1489556775.530262, 1489556775.532545, -0.210938, -0.962769, -0.307983, +10.162354, +0.015259, -5.599976
1489556775.532808, 1489556775.535267, -0.225220, -0.960754, -0.307983, +10.162354, +0.015259, -5.371094
1489556775.535530, 1489556775.537814, -0.225220, -0.960754, -0.307983, +10.284424, +0.030518, -5.371094
1489556775.538076, 1489556775.540456, -0.225220, -0.960754, -0.307983, +10.284424, +0.030518, -5.371094
1489556775.540719, 1489556775.543007, -0.225220, -0.962585, -0.287476, +10.299683, +0.183105, -5.447388
1489556775.543269, 1489556775.545673, -0.218628, -0.962585, -0.287476, +10.299683, +0.183105, -5.447388
1489556775.545934, 1489556775.548220, -0.218628, -0.962585, -0.287476, +10.101318, +0.534058, -5.599976
1489556775.549253, 1489556775.551891, -0.218628, -0.962585, -0.240601, +10.101318, +0.534058, -5.645752
1489556775.552156, 1489556775.554640, -0.218262, -0.969177, -0.277039, +9.933472, +0.106812, -5.645752
1489556775.554902, 1489556775.557655, -0.218262, -0.969177, -0.277039, +9.933472, +0.244141, -5.737305
1489556775.557915, 1489556775.560263, -0.218262, -0.969177, -0.277039, +9.628296, +0.244141, -5.737305
1489556775.560522, 1489556775.562806, -0.216980, -0.976318, -0.282532, +9.628296, +0.244141, -5.798340
1489556775.563065, 1489556775.565346, -0.216980, -0.976318, -0.282532, +9.658813, +0.030518, -5.798340
1489556775.565606, 1489556775.567893, -0.216980, -0.976318, -0.282532, +9.658813, +0.030518, -5.798340
1489556775.568151, 1489556775.570481, -0.216980, -0.976318, -0.282532, +10.711670, -0.106812, -6.164551
1489556775.570745, 1489556775.573030, -0.218628, -0.972839, -0.282166, +10.711670, -0.106812, -6.164551
1489556775.573291, 1489556775.575582, -0.218628, -0.972839, -0.282166, +10.818481, +0.259399, -6.210327
1489556775.575843, 1489556775.578127, -0.218628, -0.972839, -0.282166, +10.818481, +0.259399, -6.210327
1489556775.578387, 1489556775.580700, -0.218628, -0.972839, -0.282166, +11.276245, -0.091553, -6.713867
1489556775.580964, 1489556775.583254, -0.214417, -0.968262, -0.301025, +11.276245, -0.091553, -6.713867
1489556775.583517, 1489556775.586400, -0.214417, -0.968262, -0.301025, +11.383057, +0.167847, -6.576538
1489556775.586663, 1489556775.590019, -0.214417, -0.968262, -0.301025, +11.383057, +0.167847, -6.576538
1489556775.590289, 1489556775.592881, -0.221008, -0.958557, -0.306702, +11.062622, -0.122070, -6.454468
1489556775.593153, 1489556775.595570, -0.221008, -0.958557, -0.306702, +11.062622, -0.122070, -6.454468
1489556775.595839, 1489556775.598254, -0.221008, -0.958557, -0.306702, +11.123657, -0.610352, -6.454468
1489556775.598523, 1489556775.600874, -0.221008, -0.958557, -0.308533, +11.123657, -0.610352, -6.454468
1489556775.601254, 1489556775.603541, -0.213867, -0.952881, -0.308533, +11.260986, -0.335693, -6.286621
1489556775.603803, 1489556775.606089, -0.213867, -0.952881, -0.308533, +11.260986, -0.335693, -6.286621
1489556775.606350, 1489556775.608637, -0.213867, -0.952881, -0.308533, +11.413574, -0.457764, -6.347656
1489556775.608898, 1489556775.611328, -0.213867, -0.957275, -0.293701, +11.413574, -0.457764, -6.347656
1489556775.611596, 1489556775.614008, -0.210022, -0.957275, -0.293701, +11.047363, -0.610352, -6.256104
1489556775.614276, 1489556775.616692, -0.210022, -0.957275, -0.293701, +11.047363, -0.610352, -6.256104
1489556775.616961, 1489556775.619370, -0.210022, -0.957275, -0.293701, +11.367798, -0.366211, -6.164551
1489556775.619631, 1489556775.621914, -0.207458, -0.966064, -0.288940, +11.367798, -0.366211, -6.164551
1489556775.622176, 1489556775.624464, -0.207458, -0.966064, -0.288940, +11.367798, -0.427246, -5.935669
1489556775.624726, 1489556775.627014, -0.207458, -0.966064, -0.288940, +10.818481, -0.427246, -5.935669
1489556775.627276, 1489556775.629569, -0.207458, -0.966064, -0.288940, +10.818481, -0.427246, -6.317139
1489556775.629830, 1489556775.632119, -0.210938, -0.969910, -0.285645, +10.772705, -0.381470, -6.317139
1489556775.632381, 1489556775.634668, -0.210938, -0.969910, -0.285645, +10.772705, -0.381470, -6.317139
