Stride_Max,Stride_Min,Period
1.100098,-2.567749,        1.1637314558
2.418823,-0.857300,        1.2384965420
1.565186,-0.680176,        1.2632864714
2.023804,-0.837158,        1.1990125179
2.044678,-0.962646,        1.2134064436
1.977783,-0.659790,        1.1402245760
2.353149,-0.803955,        1.1722060442
2.939331,-0.925903,        1.1924339533
2.048218,-0.798096,        1.1601054668
3.148926,-1.017822,        1.1740115881
2.166748,-1.031738,        1.1127198935
3.245483,-1.099609,        1.1223570108
3.101685,-1.170044,        1.1039630175
2.880615,-1.051514,        1.1216629744
2.399658,-1.195923,        1.1421104670
2.419678,-1.004883,        1.1641845703
2.843506,-0.889648,        1.1617544889
2.727539,-0.778687,        1.1309496164
1.796265,-0.803467,        1.1831713915
2.048340,-0.659180,        1.1814469099
2.330811,-0.805298,        1.2024915218
1.682495,-1.144897,        1.2792090178
