P_t,P_x,T_t,T_p
        0.6597764492,2.011719,        0.6283258200,-3.142700
        1.6918283701,3.406738,        1.3183584213,-1.480469
        1.7916744947,2.749512,        1.7711819410,-3.648804
        2.6992233992,3.999023,        2.3229569197,-1.766724
        2.7767188549,2.283813,        2.7560364008,-3.566772
        3.6335308552,3.945679,        3.2902383804,-1.811279
        3.7325989008,2.697754,        3.7018427849,-3.576782
        4.6195108891,3.949585,        4.2623488903,-1.747070
        4.7460539341,1.256226,        4.6884343624,-1.452881
        5.5834689140,3.999023,        5.2197449207,-1.691895
        5.6722683907,3.625122,        5.6438163519,-3.999023
        6.5689408779,3.999023,        6.1858383417,-1.396973
        6.6473748684,2.155029,        6.6293758154,-3.904419
        7.5539698601,3.999023,        7.2581318617,-0.981934
        7.6338113546,2.212036,        7.6151039600,-3.896606
        8.5203038454,3.999023,        8.1372973919,-1.484863
        8.6090394258,2.964844,        8.5781209469,-3.788330
        9.5042989254,3.999023,        9.0702928305,-1.356201
        9.5840613842,2.754761,        9.5634313822,-3.949463
       10.4699224234,3.979370,       10.0870783329,-1.460083
       10.5778049231,3.346924,       10.5494143963,-3.999023
       11.4551368952,3.999023,       11.0808768272,-1.754517
       11.5545468330,3.650513,       11.5245928764,-3.999023
       12.4503508806,3.955078,       12.0755258799,-1.759644
       12.5290188789,2.120239,       12.5085188150,-3.969849
       13.4367933273,3.929932,       13.0804419518,-1.489624
       13.5437964201,3.036255,       13.5153903961,-3.718750
       14.4398148060,3.999023,       14.0648692846,-2.091919
       14.5388758183,3.731812,       14.5082423687,-3.996582
       15.4348299503,3.999023,       15.0603469610,-1.626099
       15.5324869156,2.581055,       15.5043863058,-3.994385
       16.4391769171,3.958496,       16.0555154085,-1.492310
       16.5382858515,2.979980,       16.5094958544,-3.971802
       17.4548244476,3.976440,       17.0601449013,-1.121704
       17.5431623459,3.258911,       17.5123949051,-3.999023
       18.4694182873,3.964966,       18.0744658709,-1.358154
       18.5578739643,2.071045,       18.5268363953,-3.971191
       19.5215678215,2.248047,       19.0512089729,-1.265137
,,,       19.5913523436,-2.967163
