S_t,S_x
        1.6436275244,2.036133
        2.2178928852,-2.686340
        2.4911398888,4.153381
        2.6071324348,-0.236572
        2.9212110043,-1.699036
        3.0480599403,-2.884644
        3.3186889887,4.940369
        3.7865455151,-1.342529
        3.9036029577,-2.273071
        4.1980649233,4.358459
        4.3150534630,-0.335266
        4.6953634024,-1.476562
        5.0557054281,4.034180
        5.1730259657,0.028564
        5.5426404476,-1.408997
        5.6487299204,-1.784912
        5.9418379068,5.184631
        6.0593324900,-0.406494
        6.3816044331,-1.791687
        6.4960919619,-2.555054
        6.7793430090,5.422302
        6.8860689402,-0.074341
        7.2859719992,-1.360291
        7.6464250088,4.009644
        7.7632724047,-0.675476
        8.1741819382,-1.289062
        8.5528068542,4.305908
        8.6598489285,-1.094421
        9.0415998697,-1.432251
        9.1560969353,-1.594666
        9.4386434555,4.356262
        9.5559228659,-1.030701
        9.8892524242,-1.384277
       10.0154159069,-1.804321
       10.2985264063,4.853394
       10.4131540060,-1.454407
       10.8047884703,-1.653259
       10.9115549326,-2.183716
       11.1755675077,4.795715
       11.2924573421,-0.904724
       11.7502775192,-1.514099
       12.0314993858,5.187744
       12.1485824585,-0.726013
       12.5477014780,-1.124268
       12.9290609360,4.913269
       13.0461238623,-0.832031
       13.5236248970,-1.644287
       13.8058974743,3.361633
       13.9150419235,-1.089111
       14.3220394850,-1.269287
       14.7036614418,3.933838
       14.8209304810,-0.604065
       15.1903309822,-1.347107
       15.2968324423,-1.644836
       15.5803635120,4.213989
       15.6893509626,-0.600403
       16.1659729481,-1.989624
       16.4380533695,3.511780
       16.5444729328,-0.746704
       16.9850409031,-1.320557
       17.3360569477,3.853271
       17.4434094429,-0.818665
       17.9301434755,-1.502197
       18.2707649469,2.964478
       18.3789700270,3.063171
       18.9345843792,-1.173340
       19.4214789867,1.817505
