timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1488411152.426393, 1488411152.433472, +0.875854, +0.079468, -0.279297, -8.651733, +9.933472, -40.588379
1488411152.433843, 1488411152.436194, +0.891846, +0.085449, -0.279297, -8.651733, +9.933472, -42.083740
1488411152.436471, 1488411152.438795, +0.891846, +0.085449, -0.279297, -8.636475, +10.040283, -42.083740
1488411152.439067, 1488411152.441352, +0.891846, +0.085449, -0.248047, -8.636475, +10.040283, -42.083740
1488411152.441619, 1488411152.443897, +0.866333, +0.120972, -0.240356, -8.575439, +9.353638, -40.924072
1488411152.444160, 1488411152.446445, +0.866333, +0.120972, -0.240356, -8.575439, +9.353638, -40.924072
1488411152.446708, 1488411152.449132, +0.866333, +0.120972, -0.240356, -8.590698, +9.658813, -40.985107
1488411152.449396, 1488411152.451686, +0.866333, +0.152222, -0.203735, -8.590698, +9.658813, -40.985107
1488411152.451948, 1488411152.454230, +0.894653, +0.131714, -0.203735, -9.704590, +10.040283, -41.610718
1488411152.454494, 1488411152.456774, +0.894653, +0.131714, -0.203735, -9.704590, +10.040283, -41.610718
1488411152.457038, 1488411152.459492, +0.894653, +0.131714, -0.203735, -10.726929, +9.887695, -42.358398
1488411152.459757, 1488411152.462042, +0.894653, +0.140259, -0.215088, -10.726929, +9.887695, -42.358398
1488411152.462306, 1488411152.464809, +0.895630, +0.140259, -0.215088, -8.743286, +9.307861, -42.831421
1488411152.465073, 1488411152.467352, +0.895630, +0.140259, -0.215088, -8.743286, +9.307861, -42.831421
1488411152.467751, 1488411152.470041, +0.895630, +0.140259, -0.215088, -8.132935, +8.911133, -41.976929
1488411152.470305, 1488411152.472590, +0.888062, +0.150024, -0.244873, -8.132935, +8.911133, -41.976929
1488411152.473657, 1488411152.476422, +0.888062, +0.150024, -0.244873, -9.002686, +8.331299, -43.350220
1488411152.476689, 1488411152.479014, +0.888062, +0.150024, -0.244873, -9.002686, +8.331299, -43.350220
1488411152.479279, 1488411152.481559, +0.888062, +0.163208, -0.259277, -11.627197, +8.377075, -43.716431
1488411152.481824, 1488411152.484108, +0.901611, +0.163208, -0.259277, -11.627197, +8.377075, -43.716431
1488411152.484371, 1488411152.486658, +0.901611, +0.163208, -0.259277, -13.885498, +8.911133, -44.082642
1488411152.486922, 1488411152.489262, +0.901611, +0.163208, -0.259277, -13.885498, +8.911133, -44.082642
1488411152.489526, 1488411152.491969, +0.954712, +0.154419, -0.253540, -15.350342, +9.323120, -44.418335
1488411152.492234, 1488411152.494519, +0.954712, +0.154419, -0.253540, -15.350342, +9.323120, -44.418335
1488411152.494782, 1488411152.497065, +0.954712, +0.154419, -0.253540, -17.608643, +9.872437, -45.837402
1488411152.497330, 1488411152.499666, +0.954712, +0.154419, -0.253540, -17.608643, +9.872437, -45.837402
1488411152.499929, 1488411152.502212, +0.975098, +0.164062, -0.271851, -19.348145, +11.001587, -48.324585
1488411152.502480, 1488411152.504761, +0.975098, +0.164062, -0.271851, -19.348145, +11.001587, -48.324585
1488411152.505028, 1488411152.507318, +0.975098, +0.164062, -0.271851, -23.254395, +11.520386, -50.231934
1488411152.507593, 1488411152.509876, +0.975098, +0.164062, -0.271851, -22.537231, +11.520386, -50.231934
1488411152.510143, 1488411152.512427, +1.013306, +0.140991, -0.288696, -22.537231, +15.426636, -51.834106
1488411152.512695, 1488411152.514972, +1.013306, +0.140991, -0.288696, -26.290894, +12.832642, -51.834106
